Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8
2024-05-16;23952;50722,50;0;0,00;0;20000,00;1;2.000,00;5;200,00;64;20,00;612;5,00;6086;2,00;2897;1,50
2024-05-15;124325;232587,00;0;0,00;1;20000,00;1;2.000,00;30;200,00;303;20,00;2844;5,00;28593;2,00;13365;1,50
2024-05-14;99201;192243,00;0;0,00;0;20000,00;4;2.000,00;21;200,00;268;20,00;2316;5,00;23094;2,00;10474;1,50
2024-05-13;23589;48877,50;0;0,00;0;20000,00;1;2.000,00;8;200,00;67;20,00;554;5,00;5857;2,00;2664;1,50
2024-05-12;3784;12183,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;12;20,00;158;5,00;1477;2,00;746;1,50
2024-05-11;173259;310783,50;0;0,00;0;20000,00;5;2.000,00;42;200,00;351;20,00;3663;5,00;37442;2,00;19405;1,50
2024-05-10;127910;241456,50;0;0,00;0;20000,00;2;2.000,00;24;200,00;271;20,00;2944;5,00;29186;2,00;12833;1,50
2024-05-09;22322;46963,50;0;0,00;0;20000,00;0;2.000,00;4;200,00;51;20,00;529;5,00;5729;2,00;2385;1,50
2024-05-08;126815;237085,50;0;0,00;0;20000,00;1;2.000,00;24;200,00;276;20,00;2884;5,00;28800;2,00;14803;1,50
2024-05-07;99691;192343,50;0;0,00;0;20000,00;1;2.000,00;24;200,00;222;20,00;2259;5,00;23083;2,00;11234;1,50
2024-05-06;24585;51712,50;0;0,00;0;20000,00;1;2.000,00;6;200,00;56;20,00;648;5,00;6070;2,00;2761;1,50
2024-05-05;3965;12955,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;15;20,00;143;5,00;1519;2,00;849;1,50
2024-05-04;184715;332673,00;0;0,00;0;20000,00;2;2.000,00;54;200,00;397;20,00;4094;5,00;40155;2,00;17664;1,50
2024-05-03;134032;253599,00;0;0,00;0;20000,00;2;2.000,00;31;200,00;322;20,00;3012;5,00;30499;2,00;13691;1,50
2024-05-02;24476;52038,00;0;0,00;0;20000,00;1;2.000,00;8;200,00;70;20,00;617;5,00;6234;2,00;2742;1,50
2024-05-01;125140;235143,00;0;0,00;0;20000,00;3;2.000,00;30;200,00;263;20,00;2860;5,00;28075;2,00;13541;1,50
2024-04-30;141735;284221,50;0;0,00;1;20000,00;3;2.000,00;29;200,00;314;20,00;3364;5,00;33769;2,00;15032;1,50
2024-04-29;24251;50361,00;0;0,00;0;20000,00;1;2.000,00;8;200,00;65;20,00;573;5,00;6084;2,00;2684;1,50
2024-04-28;3875;12597,00;0;0,00;0;20000,00;0;2.000,00;2;200,00;15;20,00;151;5,00;1434;2,00;711;1,50
2024-04-27;193373;349380,00;0;0,00;0;20000,00;4;2.000,00;22;200,00;422;20,00;4231;5,00;42335;2,00;19910;1,50
2024-04-26;192324;382542,00;0;0,00;0;20000,00;5;2.000,00;44;200,00;453;20,00;4597;5,00;45738;2,00;21310;1,50
2024-04-25;24376;50371,50;0;0,00;0;20000,00;0;2.000,00;5;200,00;53;20,00;551;5,00;5996;2,00;2726;1,50
2024-04-24;117816;215704,50;0;0,00;0;20000,00;2;2.000,00;28;200,00;244;20,00;2581;5,00;25846;2,00;12300;1,50
2024-04-23;120429;237427,50;0;0,00;0;20000,00;1;2.000,00;32;200,00;262;20,00;2747;5,00;28858;2,00;13645;1,50
2024-04-22;23162;48448,50;0;0,00;0;20000,00;1;2.000,00;10;200,00;60;20,00;597;5,00;5658;2,00;2769;1,50
2024-04-21;3792;12291,00;0;0,00;0;20000,00;0;2.000,00;3;200,00;9;20,00;154;5,00;1504;2,00;643;1,50
2024-04-20;185446;332439,00;0;0,00;0;20000,00;7;2.000,00;44;200,00;413;20,00;4028;5,00;40286;2,00;19474;1,50
2024-04-19;176108;344275,50;0;0,00;0;20000,00;3;2.000,00;36;200,00;395;20,00;4156;5,00;41317;2,00;19284;1,50
2024-04-18;22564;45871,50;0;0,00;0;20000,00;0;2.000,00;6;200,00;49;20,00;571;5,00;5511;2,00;2455;1,50
2024-04-17;118415;219322,50;0;0,00;0;20000,00;2;2.000,00;27;200,00;278;20,00;2561;5,00;25579;2,00;13786;1,50
2024-04-16;105920;206433,00;0;0,00;0;20000,00;4;2.000,00;27;200,00;273;20,00;2430;5,00;24968;2,00;11749;1,50
2024-04-15;23194;47163,00;0;0,00;0;20000,00;0;2.000,00;6;200,00;52;20,00;622;5,00;5630;2,00;2663;1,50
2024-04-14;3644;11614,50;0;0,00;0;20000,00;0;2.000,00;3;200,00;14;20,00;150;5,00;1432;2,00;645;1,50
2024-04-13;195706;353419,50;0;0,00;0;20000,00;7;2.000,00;43;200,00;418;20,00;4229;5,00;43018;2,00;19451;1,50
2024-04-12;138902;262173,00;0;0,00;0;20000,00;7;2.000,00;30;200,00;288;20,00;3159;5,00;31541;2,00;13966;1,50
2024-04-11;23847;49312,50;0;0,00;0;20000,00;0;2.000,00;2;200,00;55;20,00;577;5,00;5882;2,00;2519;1,50
2024-04-10;130340;242593,50;0;0,00;0;20000,00;1;2.000,00;32;200,00;311;20,00;2896;5,00;29799;2,00;15012;1,50
2024-04-09;100148;193737,00;0;0,00;1;20000,00;6;2.000,00;22;200,00;267;20,00;2405;5,00;23260;2,00;11768;1,50
2024-04-08;24232;49368,00;0;0,00;0;20000,00;0;2.000,00;10;200,00;63;20,00;599;5,00;5897;2,00;2685;1,50
2024-04-07;3751;11695,50;0;0,00;0;20000,00;0;2.000,00;1;200,00;16;20,00;132;5,00;1330;2,00;644;1,50
