Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2014-12-31;481848;2890040,00;1;1000000,00;2;53321,20;95;1064,70;224;225,70;4124;22,70;5467;9,10;66889;5,00;49730;3,00;0;0,00
2014-12-27;744263;5117053,00;1;3853876,00;2;94409,60;132;1356,70;183;489,30;6223;26,60;5290;16,70;107524;5,00;51702;3,00;0;0,00
2014-12-24;517694;3229270,00;0;0,00;0;0,00;85;2731,50;200;282,50;3972;26,30;5413;10,30;66540;5,00;45369;3,00;0;0,00
2014-12-20;783331;5253995,00;0;0,00;6;32312,00;169;1088,10;468;196,40;8068;21,00;11168;8,10;127235;5,00;95856;3,00;0;0,00
2014-12-17;415355;2438966,00;0;0,00;2;44998,90;62;1376,80;185;230,70;2905;27,20;5145;8,20;49004;5,00;39038;3,00;0;0,00
2014-12-13;766909;5100538,00;0;0,00;2;94104,90;82;2177,00;231;386,40;4281;38,60;6240;14,10;80915;5,00;63684;3,00;0;0,00
2014-12-10;403215;2310991,00;0;0,00;1;85275,50;64;1263,80;174;232,40;3181;23,50;4683;8,50;47785;5,00;41637;3,00;0;0,00
2014-12-06;769021;5105944,00;1;1000000,00;3;62803,10;232;770,20;458;195,00;8756;18,80;9152;9,60;124313;5,00;80852;3,00;0;0,00
2014-12-03;471427;2997637,00;2;2273545,00;1;110612,80;159;659,80;227;231,00;5337;18,10;5897;8,70;77118;5,00;49818;3,00;0;0,00
2014-11-29;822007;5652685,00;0;0,00;2;104292,00;111;1782,30;345;286,70;5651;32,40;9181;10,60;104763;5,00;87246;3,00;0;0,00
2014-11-26;426426;2578751,00;0;0,00;4;23788,90;65;1388,50;198;227,90;3559;23,40;4173;10,60;61321;5,00;37094;3,00;0;0,00
2014-11-22;776969;5228007,00;0;0,00;14;13779,50;204;896,90;829;110,30;8590;19,70;17286;5,20;118813;5,00;129932;3,00;0;0,00
2014-11-19;414483;2437035,00;0;0,00;1;89926,50;62;1375,70;137;311,30;2665;29,60;3680;11,40;45928;5,00;37170;3,00;0;0,00
2014-11-15;774487;5155736,00;0;0,00;6;31707,70;200;902,20;460;196,10;7266;22,90;11109;8,00;107612;5,00;91817;3,00;0;0,00
2014-11-12;386364;2224876,00;0;0,00;1;82097,90;30;2595,60;105;370,80;1942;37,10;3197;12,00;38174;5,00;34755;3,00;0;0,00
2014-11-08;761183;5043679,00;0;0,00;3;62037,20;104;1697,30;316;279,30;5197;31,40;9495;9,10;93668;5,00;96505;3,00;0;0,00
2014-11-05;424433;2483244,00;1;1925867,00;2;45815,80;82;1059,90;180;241,40;4340;18,50;4332;9,90;57901;5,00;38187;3,00;0;0,00
