Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2003-12-31;1122189;5964117,50;5;176400,00;10;19600,00;464;845,00;22366;21,90;336933;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-27;2617856;17241191,50;5;1000000,00;29;20410,00;1067;1109,00;54906;26,90;873348;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-24;1327702;6877887,50;2;877800,00;10;24350,00;329;1480,00;18391;33,10;318912;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-20;2300115;13816905,00;8;375000,00;53;8130,00;1459;591,00;61246;17,60;872253;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-17;912591;4309500,00;0;0,00;4;36660,00;222;1321,00;13633;26,80;223608;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-13;2118683;12262308,00;2;1000000,00;22;18900,00;799;1040,00;40206;25,80;641951;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-10;747603;3665846,00;2;270100,00;4;30010,00;353;680,00;14367;20,80;208909;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-06;3053691;11871797,50;2;1863800,00;25;15350,00;922;832,00;46966;20,40;696091;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-12-03;1316375;6780472,00;1;2621200,00;10;22320,00;524;852,00;28259;19,70;381663;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-29;1905755;11116790,50;0;0,00;18;20650,00;759;979,00;37320;24,90;602976;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-26;1172144;5850723,00;0;0,00;4;50240,00;345;1165,00;17851;28,10;295948;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-22;1540933;8295651,50;2;568100,00;39;6470,00;1011;499,00;42171;14,90;549624;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-19;858067;3992520,00;0;0,00;7;19570,00;212;1292,00;11948;28,60;202556;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-15;1556575;8406658,50;4;311900,00;403;745,00;713;745,00;33226;20,80;471292;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-12;659330;3173531,00;1;497000,00;4;27610,00;209;1057,00;9513;29,00;154776;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-08;2039741;12492006,00;9;333400,00;38;10730,00;1320;618,00;51424;19,80;716867;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-05;677905;3267274,00;2;244900,00;11;9890,00;275;791,00;11853;22,90;178861;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-11-01;1358415;7256272,00;1;1117300,00;28;8860,00;429;1157,00;22586;27,40;370980;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-29;667958;3192226,00;1;460100,00;14;7300,00;320;639,00;13440;19,00;191122;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-25;1512440;8109758,00;1;1227200,00;10;27270,00;553;986,00;28072;24,20;433771;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-22;674303;3232676,50;4;111400,00;8;12380,00;597;331,00;17476;14,10;211465;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-18;1538128;8261960,50;4;305400,00;14;19390,00;620;875,00;29521;22,90;467308;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-15;688321;3320740,00;1;503300,00;8;13980,00;253;884,00;12118;23,00;176850;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-11;1565879;8440684,00;2;654400,00;22;13220,00;458;1270,00;25161;28,80;423438;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-08;705471;3430208,50;2;262900,00;8;14600,00;199;1174,00;10387;28,10;177397;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-04;2121563;12921984,50;6;549300,00;42;9840,00;1370;603,00;55884;18,40;775234;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-10-01;792657;4028539,50;5;220300,00;12;11420,00;267;1026,00;12754;26,80;209002;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-27;1515702;8150006,50;0;0,00;13;22150,00;322;1788,00;20930;34,30;380343;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-24;674436;3263444,00;0;0,00;3;35890,00;184;1170,00;11080;24,20;182765;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-20;1501314;8074062,00;3;374900,00;20;12490,00;604;827,00;35731;17,40;518188;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-17;773885;3930132,00;2;521800,00;18;6730,00;545;444,00;20050;15,10;253868;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-13;1518104;8173684,00;1;1255500,00;10;27900,00;489;1141,00;26590;26,20;420587;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-10;681303;3302625,00;0;0,00;6;18440,00;190;1164,00;10357;26,70;178214;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-06;1528113;8260859,50;2;661100,00;13;22600,00;483;1216,00;23635;31,00;377687;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-09-03;689313;3336398,00;3;175500,00;3;39000,00;195;1200,00;9158;31,90;159199;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-30;1847164;11107661,00;13;153900,00;34;10580,00;1551;463,00;49285;18,20;649174;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-27;677677;3276378,00;1;498500,00;3;36930,00;210;1055,00;10075;27,40;172763;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-23;1493956;8036304,00;1;1252500,00;11;25300,00;355;1568,00;21320;32,60;397448;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-20;775157;3932174,50;3;383500,00;15;9090,00;326;837,00;12038;28,30;193371;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-16;1447231;7809732,00;5;243900,00;11;24640,00;557;973,00;23532;28,70;383921;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-13;668337;3258071,00;0;0,00;4;29800,00;136;1752,00;7718;38,60;135714;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-09;1452783;7851350,00;1;1256000,00;9;31010,00;426;1310,00;21117;33,00;359560;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-06;756598;3856359,00;1;1040100,00;7;17860,00;251;996,00;13313;23,40;224736;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-08-02;1757457;10506698,00;2;1000000,00;23;15260,00;680;1032,00;34468;25,40;570855;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-30;658588;3189216,50;0;0,00;7;15150,00;219;968,00;10877;24,30;175272;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-26;1426493;7703212,00;2;572800,00;16;15910,00;720;707,00;31181;20,40;429778;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-23;637273;3087922,00;1;505100,00;2;56120,00;125;1796,00;7807;35,90;131512;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-19;1433242;7731315,00;2;561300,00;12;20790,00;762;654,00;32864;18,90;455503;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-16;738509;3730399,00;7;144900,00;13;8350,00;597;363,00;22373;12,10;266821;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-12;1469807;7951541,00;1;1207200,00;16;16760,00;409;1311,00;23536;28,40;421765;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-09;673824;3272101,50;0;0,00;3;38960,00;158;1479,00;8535;34,20;147524;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-05;1523173;8260223,00;2;652100,00;13;22290,00;517;1121,00;24288;29,80;393469;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-07-02;682026;3333244,50;1;491600,00;10;10920,00;341;640,00;14102;19,30;189610;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-28;1751335;10422414,00;3;666700,00;21;16510,00;869;798,00;38633;22,40;572123;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-25;680876;3315925,50;3;172100,00;4;28690,00;207;1109,00;9874;29,00;164255;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-21;1531348;8305596,50;6;214900,00;14;20470,00;804;713,00;28236;25,30;414822;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-18;793017;4058414,00;1;1090200,00;12;11000,00;348;759,00;16329;20,20;234540;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-14;2049763;12566000,50;3;1000000,00;18;22380,00;1413;570,00;55458;18,10;750928;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-11;662026;3218673,00;0;0,00;6;18350,00;239;921,00;10208;26,90;164479;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-07;1528675;8306292,00;4;306800,00;9;30300,00;751;726,00;32786;20,70;470675;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-06-04;679172;3309653,50;1;487200,00;17;6360,00;256;845,00;12718;21,20;189080;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-05-31;1448483;7844753,00;1;1234000,00;17;16130,00;610;899,00;26291;26,00;377893;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2003-05-28;800802;4095252,00;1;1121700,00;3;48730,00;203;1440,00;10533;34,70;185061;2,50;0;0,00;0;0,00;0;0,00;0;0,00
