Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2002-12-28;2566299;16694335,00;5;1000000,00;19;30080,00;1088;1050,00;53536;26,60;852122;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-25;804451;4036189,00;6;98100,00;8;16360,00;666;393,00;18464;17,70;235210;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-21;2082452;12826164,50;2;1500000,00;42;10010,00;968;869,00;47338;22,20;728071;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-18;767279;3840763,00;1;1032100,00;12;10590,00;415;612,00;14396;22,00;213738;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-14;1953148;11497868,50;8;250000,00;37;9550,00;1229;575,00;52865;16,70;747877;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-11;657090;3143156,00;0;0,00;17;6010,00;246;831,00;11849;21,50;181760;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-07;1504256;8061830,00;2;581600,00;26;9940,00;773;668,00;33682;19,10;481621;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-12-04;665475;3194241,00;4;119400,00;12;8840,00;281;755,00;12317;21,50;175913;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-30;1506409;8063049,50;3;359000,00;13;18410,00;831;576,00;39378;15,10;558275;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-27;819683;4291439,00;1;1658800,00;7;19380,00;366;741,00;16637;20,30;264088;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-23;1507052;8055955,50;3;377100,00;16;15710,00;792;634,00;35730;17,50;508871;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-20;763772;3843900,00;0;0,00;8;15860,00;224;1133,00;12655;25,00;214970;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-16;1517055;8132784,00;1;1229500,00;22;12410,00;515;1061,00;27148;25,10;436044;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-13;648559;3100193,00;0;0,00;3;35340,00;171;1240,00;9622;27,50;158688;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-09;1939030;11711436,00;5;600000,00;18;22730,00;608;1346,00;32508;31,40;564644;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-06;657963;3150883,50;1;510200,00;1;113380,00;147;1542,00;7614;37,20;138838;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-11-02;1488755;8010257,50;1;1119300,00;26;9560,00;642;774,00;34788;17,80;510967;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-30;753771;3799713,00;1;1030600,00;15;8030,00;434;555,00;16464;18,20;232404;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-26;1667654;9332898,50;1;2778700,00;13;25550,00;423;1570,00;24580;33,70;425881;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-23;640194;3045100,00;0;0,00;6;18090,00;145;1497,00;8035;33,70;138295;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-19;1490292;7992388,50;0;0,00;15;19020,00;395;1444,00;20193;35,30;361279;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-16;651334;3119627,00;1;473600,00;6;17540,00;223;943,00;10605;24,80;165486;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-12;1874877;11292742,50;1;3000000,00;18;21020,00;838;903,00;40791;23,10;609436;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-09;651106;3116120,50;4;110200,00;17;5760,00;531;369,00;16347;14,90;193925;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-05;1644456;9192026,00;1;2531100,00;20;15300,00;626;977,00;30757;24,80;503979;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2002-10-02;638073;3051041,00;1;450800,00;4;25040,00;270;742,00;11475;21,80;172815;2,50;0;0,00;0;0,00;0;0,00;0;0,00
