Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2007-12-29;1288549;6799495,00;0;0,00;11;19750,00;451;963,00;26320;20,60;381785;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-26;595838;2831468,00;4;89700,00;10;7980,00;491;325,00;16565;12,00;201706;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-22;1324198;6981187,50;4;222900,00;15;13210,00;766;517,00;34683;14,20;491825;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-19;681420;3351378,00;1;1864200,00;6;18290,00;283;775,00;11990;22,80;177617;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-15;1349735;7214643,00;4;502400,00;23;9690,00;681;654,00;28742;19,30;435698;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-12;682675;3324885,50;0;0,00;2;56590,00;142;1594,00;9412;30,00;159001;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-08;1278166;6716732,00;0;0,00;10;22360,00;515;868,00;22683;24,60;341199;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-05;643726;3080922,00;0;0,00;1;102350,00;208;984,00;9476;27,00;157469;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-12-01;1496167;8632913,00;1;2000000,00;28;9800,00;775;708,00;34343;19,90;489925;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-28;592938;2762466,50;0;0,00;5;17790,00;155;1148,00;9449;23,50;152400;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-24;1267928;6664269,00;2;457600,00;10;20330,00;585;695,00;26935;18,80;412678;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-21;638923;3061548,50;4;210400,00;6;16250,00;268;727,00;11972;20,30;173202;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-17;1240411;6486384,00;1;988200,00;13;16890,00;491;894,00;20657;26,50;315029;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-14;582917;2708760,00;0;0,00;3;29840,00;141;1270,00;8095;27,60;140219;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-10;1244643;6517391,00;2;490100,00;9;24200,00;382;1140,00;20114;27,00;327866;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-07;586195;2740206,00;3;133400,00;5;17790,00;247;720,00;10096;22,00;148366;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-11-03;1272359;6772680,50;2;1020100,00;14;16480,00;385;1199,00;19930;28,90;322792;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-31;668360;3210234,00;1;891900,00;1;108780,00;223;975,00;9260;29,30;155543;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-27;1235898;6473643,00;0;0,00;15;14830,00;381;1168,00;17719;31,40;300903;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-24;576490;2677718,00;0;0,00;1;89420,00;206;868,00;8826;25,30;134983;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-20;1244430;6511772,00;4;223900,00;40;4970,00;917;434,00;30204;16,40;401962;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-17;589521;2742830,50;1;429800,00;4;23880,00;119;1605,00;7072;33,70;122564;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-13;1266272;6623041,00;4;244500,00;25;8690,00;457;951,00;21851;24,80;349047;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-10;675367;3295949,50;1;1337200,00;5;21930,00;209;1049,00;11411;24,00;167853;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-06;1263882;6615454,00;1;1003300,00;9;24770,00;341;1307,00;19711;28,20;325355;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-10-03;651323;3110304,50;0;0,00;13;7560,00;285;689,00;13745;17,80;179062;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-29;1303933;6892462,00;1;1977700,00;14;15510,00;599;725,00;47857;11,30;399118;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-26;583838;2721713,00;0;0,00;8;11150,00;179;996,00;8701;25,60;143966;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-22;1274457;6663968,00;4;243900,00;12;18060,00;410;1057,00;22503;24,00;358920;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-19;633022;3007407,00;2;416400,00;23;4150,00;377;507,00;12692;18,80;170796;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-15;1276522;6699967,50;4;480800,00;33;6210,00;598;686,00;26841;19,10;411839;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-12;617644;2888855,50;0;0,00;15;5960,00;272;657,00;11179;20,00;173740;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-08;1282391;6711978,50;6;149200,00;21;9470,00;1600;248,00;35257;14,10;438907;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-05;621527;2914308,00;1;428900,00;3;31770,00;189;1008,00;9430;25,20;154952;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-09-01;1296646;6813993,50;1;2481500,00;16;13630,00;466;936,00;23878;22,80;381280;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-08-29;688573;3391112,50;2;920200,00;12;9570,00;156;1473,00;9981;28,70;164140;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-08-25;1267539;6643624,00;1;1026500,00;3;76040,00;276;1653,00;16186;35,20;309905;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-08-22;663719;3218866,00;0;0,00;7;14540,00;286;711,00;12130;20,90;185093;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-08-18;1273665;6659162,50;6;162600,00;26;8330,00;611;709,00;23346;23,20;358033;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-08-15;581441;2748758,00;0;0,00;27;3530,00;310;615,00;9347;25,50;124279;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2007-08-11;1273481;6677720,50;3;853400,00;15;15710,00;425;1108,00;17176;34,20;286082;2,50;0;0,00;0;0,00;0;0,00;0;0,00
