Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2015-12-30;465404;2722059,00;0;0,00;3;33481,30;85;1120,80;327;145,60;4685;18,80;6883;6,80;67132;5,00;55309;3,00;0;0,00
2015-12-26;693708;4596460,00;0;0,00;0;0,00;89;3713,30;250;321,70;4633;32,10;6563;12,10;82418;5,00;65649;3,00;0;0,00
2015-12-23;451865;2582712,00;0;0,00;2;47651,00;67;1349,10;181;249,70;3826;21,80;5043;8,80;56699;5,00;44413;3,00;0;0,00
2015-12-19;751084;4891408,00;0;0,00;3;60164,30;161;1063,30;357;239,70;7882;20,10;7646;11,00;116619;5,00;67744;3,00;0;0,00
2015-12-16;442601;2623713,00;1;3066081,00;4;24203,70;76;1208,20;201;228,40;3957;21,40;4658;9,70;58853;5,00;40120;3,00;0;0,00
2015-12-12;779423;5138345,00;0;0,00;2;94802,40;167;1076,80;401;224,20;7355;22,60;8563;10,30;110681;5,00;75334;3,00;0;0,00
2015-12-09;430720;2493133,00;0;0,00;3;30665,50;49;1780,80;119;366,60;2186;36,90;2868;15,00;39004;5,00;29581;3,00;0;0,00
2015-12-05;770027;5049109,00;0;0,00;2;93156,00;110;1606,50;348;253,90;5070;32,20;9340;9,30;88691;5,00;84319;3,00;0;0,00
2015-12-02;418357;2373438,00;0;0,00;0;0,00;74;2306,00;155;267,90;3078;24,90;4014;10,20;49640;5,00;38098;3,00;0;0,00
2015-11-28;894757;6569750,00;1;7798608,00;8;30302,90;147;1564,20;413;278,30;8129;26,10;10657;10,60;135893;5,00;102310;3,00;0;0,00
2015-11-25;537945;3675365,00;0;0,00;2;67810,40;113;1138,30;243;264,60;5899;20,10;6418;9,90;88734;5,00;57888;3,00;0;0,00
2015-11-21;863839;6079102,00;0;0,00;3;74772,90;93;2287,80;404;263,30;6134;32,10;10773;9,70;113449;5,00;103347;3,00;0;0,00
2015-11-18;517436;3341721,00;0;0,00;0;0,00;52;4620,50;182;321,30;2954;36,60;4947;11,60;52826;5,00;47461;3,00;0;0,00
2015-11-14;780906;5122150,00;0;0,00;3;63002,40;173;1036,20;424;211,40;7052;23,50;10869;8,10;108837;5,00;78498;3,00;0;0,00
2015-11-11;371138;2089198,00;0;0,00;1;77091,40;134;545,60;248;147,40;4248;15,90;5317;6,70;54998;5,00;40634;3,00;0;0,00
2015-11-07;760497;4964251,00;0;0,00;4;45795,20;104;1670,60;331;262,40;4422;36,30;8339;10,20;82485;5,00;76717;3,00;0;0,00
2015-11-04;400664;2252606,00;0;0,00;2;41560,50;43;1833,50;87;453,10;1862;39,10;2835;13,70;34408;5,00;29866;3,00;0;0,00
2015-10-31;792275;5220349,00;2;1356238,00;2;96315,40;99;1845,50;271;337,10;5030;33,60;7410;12,10;88368;5,00;76320;3,00;0;0,00
2015-10-28;432249;2488846,00;0;0,00;2;45919,20;53;1643,50;112;388,80;2430;33,10;3218;13,30;42959;5,00;34992;3,00;0;0,00
2015-10-24;764023;4975803,00;0;0,00;1;183607,10;96;1814,00;304;286,40;4847;33,20;8486;10,10;90620;5,00;77986;3,00;0;0,00
2015-10-21;411681;2317663,00;0;0,00;1;85521,70;86;943,20;250;162,20;3457;21,70;5010;8,00;53057;5,00;44195;3,00;0;0,00
2015-10-17;776080;5053875,00;1;1682274,00;4;46621,90;100;1768,80;298;296,70;5451;30,00;8792;9,90;97863;5,00;84347;3,00;0;0,00
2015-10-14;418932;2370151,00;0;0,00;3;29152,80;56;1481,30;157;264,10;2412;31,80;3533;11,60;41999;5,00;34941;3,00;0;0,00
2015-10-10;951408;6954390,00;2;3411039,00;16;16038,50;312;780,10;598;203,50;9539;23,60;12076;9,90;150813;5,00;108476;3,00;0;0,00
