Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2019-12-28;695038;5107145,00;1;1500000,00;6;25110,10;116;1232,70;296;241,50;5690;23,20;6715;10,40;90748;6,25;58537;3,75;202691;1,25
2019-12-25;419620;2653901,25;0;0,00;2;39145,00;52;1429,00;158;235,10;2704;25,40;3583;10,20;43232;6,25;30611;3,75;111914;1,25
2019-12-21;715176;5200993,75;2;750000,00;8;19178,60;182;800,10;776;93,80;6688;20,10;12790;6,25;97663;6,25;95811;3,75;295286;1,25
2019-12-18;430312;2679627,50;0;0,00;1;79049,00;34;2206,70;135;277,80;2710;25,60;3598;10,20;44736;6,25;31811;3,75;107530;1,25
2019-12-14;803377;6127565,00;1;5000000,00;1;180763,10;89;1927,70;218;393,50;4928;32,20;6194;13,60;87244;6,25;59720;3,75;224612;1,25
2019-12-11;503347;3475550,00;0;0,00;2;51264,30;118;824,70;258;188,50;4097;21,90;6217;7,70;61660;6,25;51274;3,75;165251;1,25
2019-12-07;776381;5835660,00;0;0,00;4;43037,90;80;2042,40;287;284,60;4024;37,50;7950;10,10;75396;6,25;68514;3,75;259107;1,25
2019-12-04;479928;3192057,50;0;0,00;0;0,00;93;961,00;147;304,00;3872;21,30;3610;12,20;53477;6,25;33739;3,75;121394;1,25
2019-11-30;736740;5439620,00;0;0,00;0;0,00;68;2239,80;240;317,30;4338;32,40;6920;10,80;79605;6,25;66044;3,75;226151;1,25
2019-11-27;442879;2859851,25;0;0,00;1;84365,60;78;1026,60;157;255,00;3582;20,60;4384;9,00;51514;6,25;38751;3,75;128453;1,25
2019-11-23;701938;5119831,25;0;0,00;5;30207,00;94;1525,00;327;219,10;4936;26,80;8682;8,10;85225;6,25;73529;3,75;238069;1,25
2019-11-20;419226;2614936,25;0;0,00;1;77140,60;64;1144,00;119;307,60;2638;25,60;3355;10,70;41277;6,25;29034;3,75;100478;1,25
2019-11-16;679902;4875875,00;0;0,00;5;28767,60;113;1208,10;275;248,20;5488;23,00;7192;9,30;88250;6,25;59006;3,75;191592;1,25
2019-11-13;414783;2588885,00;2;750000,00;4;19093,00;47;1542,30;131;276,60;3335;20,10;3233;11,00;47579;6,25;28904;3,75;102471;1,25
2019-11-09;691265;4970543,75;0;0,00;0;0,00;91;1529,30;212;328,20;4051;31,70;5447;12,50;71322;6,25;57978;3,75;221491;1,25
2019-11-06;429230;2680600,00;2;750000,00;1;79077,70;81;926,60;145;258,80;3624;19,10;3740;9,80;52623;6,25;32197;3,75;107810;1,25
2019-11-02;651378;4713782,50;0;0,00;0;0,00;79;1670,70;217;304,10;4422;27,60;5715;11,30;77739;6,25;56972;3,75;212034;1,25
2019-10-30;422064;2598375,00;1;1000000,00;3;25550,60;45;1616,70;154;236,20;2618;25,70;3466;10,30;43112;6,25;30404;3,75;103596;1,25
2019-10-26;725975;5343048,75;2;1500000,00;4;39404,90;116;1289,70;312;239,70;5639;24,50;6681;11,00;85738;6,25;56989;3,75;198088;1,25
2019-10-23;448927;2853731,25;0;0,00;0;0,00;41;1948,80;140;285,30;3092;23,90;3575;11,00;49140;6,25;32793;3,75;118523;1,25
