Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2011-12-31;1506951;13166590,00;2;2888745,00;8;60730,80;361;1276,50;956;241,00;18249;23,30;24260;9,30;281666;5,00;222903;3,00;0;0,00
2011-12-28;482897;3064910,00;0;0,00;4;28273,70;87;1233,00;228;235,20;4327;22,90;5186;10,20;66157;5,00;49664;3,00;0;0,00
2011-12-24;1058207;7574410,00;1;2022546,00;5;55899,10;137;1935,00;394;336,40;7407;33,10;11036;11,80;129079;5,00;109729;3,00;0;0,00
2011-12-21;462934;2905319,00;0;0,00;0;0,00;84;2486,80;134;379,40;3391;27,70;3780;13,20;57898;5,00;36196;3,00;0;0,00
2011-12-17;912685;6424711,00;3;622446,00;4;59267,90;315;713,80;587;191,50;16151;12,80;13427;8,20;187976;5,00;105481;3,00;0;0,00
2011-12-14;440234;2757880,00;0;0,00;1;101765,70;49;1969,90;157;307,40;3014;29,60;4457;10,70;53829;5,00;41176;3,00;0;0,00
2011-12-10;904385;6337817,00;2;554559,00;7;33409,30;191;1161,30;667;166,20;8663;23,70;13593;8,00;135997;5,00;110996;3,00;0;0,00
2011-12-07;492681;3171954,00;1;2311833,00;1;117045,10;84;1321,60;192;289,10;4320;23,70;4881;11,20;73938;5,00;46919;3,00;0;0,00
2011-12-03;928006;6545325,00;0;0,00;10;24152,20;186;1231,60;455;251,70;7501;28,20;11399;9,90;125279;5,00;108983;3,00;0;0,00
2011-11-30;454496;2819915,00;0;0,00;3;34684,90;82;1203,60;262;188,30;3460;26,40;6469;7,50;57658;5,00;55550;3,00;0;0,00
2011-11-26;958486;6810519,00;1;3211870,00;7;35901,10;97;2457,40;460;259,00;7017;31,40;11556;10,10;115499;5,00;110578;3,00;0;0,00
2011-11-23;488038;3124693,00;0;0,00;4;28825,20;84;1301,90;291;187,90;4184;24,10;7706;7,00;67996;5,00;61739;3,00;0;0,00
2011-11-19;918824;6449010,00;0;0,00;13;18305,20;335;673,70;888;127,00;11712;17,80;17631;6,30;162375;5,00;126684;3,00;0;0,00
2011-11-16;441302;2752479,00;0;0,00;2;50783,20;61;1579,20;144;334,50;3084;28,90;3997;11,90;51243;5,00;39481;3,00;0;0,00
2011-11-12;881489;6246220,00;2;921620,00;16;14405,30;226;967,30;641;170,50;9630;21,00;14475;7,40;150852;5,00;118054;3,00;0;0,00
2011-11-09;450810;2817186,00;0;0,00;1;103954,10;86;1146,50;180;273,80;3205;28,40;4478;10,80;51647;5,00;45305;3,00;0;0,00
2011-11-05;936559;6630214,00;2;947540,00;9;27183,80;268;865,80;520;223,10;9943;21,60;11076;10,30;148982;5,00;98236;3,00;0;0,00
2011-11-02;429793;2699493,00;0;0,00;3;33203,70;54;1749,60;250;188,90;2992;29,20;6785;6,80;51962;5,00;61061;3,00;0;0,00
2011-10-29;929100;6551584,00;1;1146528,00;5;48350,60;189;1213,20;543;211,10;8181;25,90;13389;8,40;133428;5,00;121269;3,00;0;0,00
2011-10-26;450695;2842157,00;1;1000000,00;2;52437,70;91;1093,10;317;156,90;4657;19,70;7299;6,70;67197;5,00;58967;3,00;0;0,00
2011-10-22;954663;6839662,00;3;1533522,00;8;31547,90;266;899,90;754;158,70;11578;19,10;18376;6,40;184612;5,00;138161;3,00;0;0,00
2011-10-19;479597;3122086,00;0;0,00;1;115204,90;74;1476,60;208;262,60;3749;26,90;5339;10,10;62650;5,00;42816;3,00;0;0,00
