Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2022-12-31;692089;4940995,00;3;333334,00;4;36439,80;97;1426,20;277;249,70;4374;29,20;6899;9,80;73983;6,25;62629;3,75;221990;1,25
2022-12-28;441632;2750613,75;1;1500000,00;2;40571,50;66;1166,90;141;273,10;3064;23,20;3387;11,20;47860;6,25;31254;3,75;107710;1,25
2022-12-24;677596;4866468,75;0;0,00;3;47853,60;99;1376,30;323;210,90;4643;27,10;9820;6,80;75666;6,25;89728;3,75;278970;1,25
2022-12-21;443187;2747615,00;1;1000000,00;0;0,00;92;836,20;141;272,80;3912;18,10;3520;10,70;57879;6,25;33813;3,75;113955;1,25
2022-12-17;701637;5094427,50;1;2500000,00;1;150285,60;74;1927,60;266;268,10;4145;31,80;6848;10,20;73013;6,25;64591;3,75;230238;1,25
2022-12-14;471088;2955391,25;0;0,00;0;0,00;72;1149,30;104;397,80;3481;21,90;2861;14,20;54330;6,25;27962;3,75;102583;1,25
2022-12-10;689020;4921017,50;0;0,00;2;72585,00;141;977,20;300;229,60;5849;21,70;6980;9,70;85888;6,25;63834;3,75;230824;1,25
2022-12-07;444191;2705372,50;0;0,00;0;0,00;47;1611,70;85;445,50;2436;28,70;3072;12,10;39939;6,25;29757;3,75;107017;1,25
2022-12-03;688929;4906507,50;1;1500000,00;2;72370,90;123;1116,90;239;287,40;4681;27,10;6816;9,90;81443;6,25;60402;3,75;214173;1,25
2022-11-30;431565;2659077,50;0;0,00;1;78442,70;66;1128,00;141;264,00;2915;23,60;3775;9,70;44873;6,25;32278;3,75;109885;1,25
2022-11-26;718519;5295663,75;1;3500000,00;4;39055,50;291;509,50;367;202,00;9271;14,70;7152;10,20;122703;6,25;55857;3,75;182059;1,25
2022-11-23;471047;2992771,25;0;0,00;3;29428,90;70;1197,10;204;205,30;3177;24,30;4216;9,70;50525;6,25;34783;3,75;119532;1,25
2022-11-19;658424;4684993,75;1;1500000,00;4;34551,80;103;1273,50;275;238,50;4251;28,50;6312;10,20;72304;6,25;57296;3,75;204824;1,25
2022-11-16;422554;2614930,00;0;0,00;2;38570,20;50;1464,30;133;275,20;2496;27,10;3528;10,20;42357;6,25;35839;3,75;128332;1,25
2022-11-12;641312;4587755,00;2;750000,00;0;0,00;66;1946,30;171;375,60;3923;30,20;5057;12,50;69128;6,25;49436;3,75;182452;1,25
2022-11-09;432648;2663380,00;0;0,00;2;39284,80;36;2071,50;126;295,90;2149;32,00;3097;11,80;39448;6,25;31160;3,75;111179;1,25
2022-11-05;656479;4674493,75;1;1000000,00;2;68948,70;154;849,90;322;203,20;5793;20,80;7577;8,50;82436;6,25;66722;3,75;214922;1,25
2022-11-02;479258;3220501,25;1;4000000,00;0;0,00;85;1060,80;129;349,50;3327;25,00;3697;12,00;50327;6,25;35342;3,75;131124;1,25
2022-10-29;709208;5226623,75;0;0,00;1;154185,40;110;1330,40;219;334,10;5207;25,90;5617;12,80;85349;6,25;56415;3,75;210959;1,25
2022-10-26;468738;3037183,75;0;0,00;2;44798,40;66;1288,50;248;171,40;3129;25,10;5803;7,20;48884;6,25;50239;3,75;169618;1,25
2022-10-22;668309;4799122,50;0;0,00;5;28314,80;134;1002,80;433;155,10;5925;20,90;9824;6,70;93848;6,25;76073;3,75;234284;1,25
2022-10-19;434019;2686098,75;0;0,00;6;13206,60;89;845,00;201;187,00;3876;17,90;4296;8,60;53862;6,25;33227;3,75;102085;1,25
2022-10-15;664914;4781272,50;1;2000000,00;8;17630,90;171;782,80;290;230,80;5260;23,50;6270;10,50;79445;6,25;56673;3,75;198807;1,25
2022-10-12;439712;2734176,25;0;0,00;6;13443,00;52;1472,20;266;143,90;2759;25,60;5029;7,50;46199;6,25;40011;3,75;126974;1,25
2022-10-08;672973;4839098,75;1;2000000,00;0;0,00;125;1083,90;325;208,40;6879;18,20;7596;8,70;97202;6,25;62528;3,75;203919;1,25
2022-10-05;443340;2755022,50;0;0,00;1;81273,10;88;876,50;168;229,50;4205;16,90;3827;9,90;54812;6,25;32565;3,75;109481;1,25
2022-10-01;661469;4760802,50;2;750000,00;2;70221,80;120;1110,80;387;172,20;6300;19,50;8085;8,10;92698;6,25;68372;3,75;229473;1,25
2022-09-28;413314;2561280,00;0;0,00;2;37778,80;70;1024,50;152;235,90;2815;23,50;3735;9,40;45136;6,25;32772;3,75;109996;1,25
2022-09-24;708075;5280632,50;1;4000000,00;3;51926,20;126;1173,40;277;266,80;5998;22,80;6960;10,40;90823;6,25;65595;3,75;235753;1,25
2022-09-21;476842;3151187,50;0;0,00;3;30986,60;50;1764,60;140;315,10;2982;27,30;3591;12,10;52376;6,25;32249;3,75;116865;1,25
2022-09-17;689737;5019137,50;0;0,00;0;0,00;87;1615,30;220;319,30;4742;27,40;5464;12,60;71832;6,25;54384;3,75;197039;1,25
2022-09-14;456752;2898232,50;0;0,00;1;85497,80;56;1449,10;105;386,40;2590;28,90;2993;13,30;47548;6,25;29132;3,75;104356;1,25
2022-09-10;682137;4873338,75;0;0,00;1;143763,40;114;1196,90;245;278,40;5126;24,60;5639;11,90;74359;6,25;53773;3,75;210438;1,25
2022-09-07;439814;2734685,00;0;0,00;0;0,00;38;2015,00;122;313,80;2534;27,90;3175;11,80;43867;6,25;29049;3,75;107672;1,25
2022-09-03;651617;4650772,50;0;0,00;2;68598,80;119;1094,20;337;193,20;5293;22,70;7454;8,60;81035;6,25;63374;3,75;215317;1,25
2022-08-31;508361;3453358,75;1;4000000,00;1;101874,00;132;732,50;220;219,70;4820;18,50;5555;8,50;67263;6,25;48491;3,75;163446;1,25
