Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2006-12-30;1480465;7970358,00;1;1147800,00;19;13420,00;944;540,00;30324;21,00;446195;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-27;609310;2861352,00;1;393300,00;4;21850,00;247;707,00;11283;19,30;176876;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-23;1420930;7539638,00;1;2227900,00;14;18560,00;496;1047,00;22204;29,20;347913;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-20;627906;2927915,00;1;443300,00;2;49260,00;150;1313,00;8847;27,80;144656;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-16;1356944;7106778,50;0;0,00;15;15680,00;422;1114,00;22297;26,30;366629;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-13;632052;2950842,00;1;425900,00;4;23660,00;210;901,00;10448;22,60;164314;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-09;1341202;7025040,50;9;109300,00;40;5460,00;1039;421,00;32898;16,60;417550;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-06;682396;3257585,50;1;914700,00;8;13090,00;277;756,00;11656;22,40;180472;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-12-02;1409940;7489774,00;3;695100,00;18;12850,00;614;753,00;29788;19,40;452709;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-29;615734;2866307,00;0;0,00;3;32850,00;133;1482,00;7470;32,90;133179;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-25;1337410;7019603,00;0;0,00;5;46410,00;446;1040,00;24251;23,90;363341;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-22;681394;3275821,50;2;454100,00;5;20900,00;271;771,00;11823;22,10;184684;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-18;1330041;6983919,00;2;498300,00;15;14760,00;529;837,00;24962;22,10;399171;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-15;613432;2860248,50;0;0,00;1;97310,00;114;1707,00;7729;31,40;137024;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-11;1162978;6039949,00;1;831800,00;15;12320,00;611;605,00;26920;17,10;371898;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-08;680116;3256733,00;1;870600,00;3;36950,00;206;1076,00;9383;29,50;155808;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-04;1342856;7078122,50;2;512400,00;26;8750,00;691;659,00;29196;19,50;391365;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-11-01;562325;2593695,00;0;0,00;7;11800,00;168;983,00;9258;22,30;146772;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-28;1334932;7015214,50;3;375200,00;7;35730,00;250;2001,00;16519;37,80;290197;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-25;604952;2811245,00;1;355300,00;12;6580,00;360;438,00;14552;13,50;201397;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-21;1408340;7508364,00;1;2182600,00;8;32380,00;372;1392,00;20308;31,80;345360;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-18;606453;2817583,50;1;413400,00;6;15310,00;159;1155,00;9536;24,00;150942;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-14;1324240;6959482,50;0;0,00;11;20540,00;520;869,00;24009;23,50;376555;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-11;599302;2798492,00;1;404000,00;6;14960,00;474;378,00;12214;18,30;155733;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-07;1332809;7009130,00;7;131700,00;20;10240,00;935;438,00;35515;14,40;469704;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-10-04;616083;2884653,00;1;410200,00;5;18230,00;192;949,00;10413;21,80;166083;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-30;1313593;6902988,50;4;234200,00;20;10410,00;755;551,00;32541;15,90;437220;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-27;663453;3192462,50;2;422000,00;3;33430,00;235;853,00;11855;21,10;186246;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-23;1313204;6903214,50;4;263800,00;9;26050,00;392;1196,00;19658;29,80;332162;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-20;614795;2882919,50;0;0,00;8;10900,00;213;819,00;12397;17,50;181399;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-16;1320499;6938352,50;2;528300,00;11;21340,00;471;997,00;21571;27,20;337409;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-13;626964;2958100,00;1;414500,00;12;7670,00;270;682,00;11344;20,30;175835;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-09;1335689;7035890,50;1;1031500,00;6;38200,00;467;981,00;22871;25,00;377659;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-06;689866;3377764,00;1;1452300,00;9;11950,00;388;554,00;15176;17,70;191138;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-09-02;1448320;7773555,00;1;2662100,00;20;12910,00;454;1137,00;23044;28,00;397348;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-30;681697;3295331,00;0;0,00;5;21950,00;224;980,00;10252;26,70;167297;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-26;1399899;7495734,00;2;1095400,00;22;11200,00;397;1242,00;23395;26,30;392788;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-23;656844;3122907,00;0;0,00;10;10530,00;195;1080,00;9754;27,00;153047;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-19;1349711;7130605,50;0;0,00;9;26690,00;435;1104,00;25510;23,50;350904;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-16;624408;2960175,00;1;429401,00;7;13630,00;205;931,00;10164;23,40;162952;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-12;1401419;7494230,50;6;757200,00;21;11040,00;847;547,00;31416;18,40;451549;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-09;692577;3352092,50;1;459300,00;11;9270,00;303;673,00;14047;18,10;208501;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2006-08-05;1392053;7426149,50;2;538000,00;20;11950,00;608;786,00;27019;22,10;409893;2,50;0;0,00;0;0,00;0;0,00;0;0,00
