Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2008-12-31;656864;3266992,00;0;0,00;10;10770,00;244;882,00;11917;22,50;170285;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-27;1142333;6192973,50;2;428100,00;40;4750,00;641;593,00;27297;17,40;378316;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-24;820234;4197015,50;3;332800,00;6;22970,00;248;1111,00;13129;26,20;220810;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-20;1197956;6438125,00;3;323000,00;13;16560,00;426;1011,00;19610;27,40;323021;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-17;562496;2678319,00;0;0,00;4;21000,00;209;803,00;10164;20,60;156746;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-13;1192561;6411574,00;2;476000,00;20;10570,00;412;1027,00;21882;24,10;333451;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-10;644849;3260718,50;1;1735800,00;3;34640,00;261;796,00;11728;22,10;184208;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-06;1198523;6464501,50;1;916700,00;12;16970,00;603;675,00;25978;19,60;374585;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-12-03;604636;2989119,50;0;0,00;2;49290,00;222;888,00;10183;24,20;155609;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-29;1276276;6975249,00;2;975900,00;15;14380,00;563;766,00;29414;18,30;420587;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-26;583187;2811636,00;0;0,00;2;46580,00;162;1150,00;8595;27,10;144623;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-22;1181017;6322467,50;0;0,00;19;11470,00;309;1411,00;16079;33,80;291225;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-19;556121;2616992,50;0;0,00;6;15000,00;130;1385,00;7170;31,30;121390;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-15;1208942;6484368,00;5;165400,00;18;10210,00;812;452,00;33764;13,60;457634;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-12;523362;2461065,00;1;337600,00;8;9370,00;253;593,00;10661;17,50;152688;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-08;1342349;7796360,50;1;2784200,00;10;25600,00;559;916,00;26966;23,70;410162;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-05;547958;2588227,50;1;349200,00;3;25870,00;277;560,00;12576;15,40;165776;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-11-01;1021075;5435950,00;0;0,00;9;19360,00;404;862,00;19100;22,80;303140;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-29;543575;2563932,50;1;364900,00;7;11580,00;189;858,00;9159;22,10;147383;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-25;1179584;6313357,00;4;218100,00;17;11400,00;564;687,00;25277;19,10;385845;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-22;551716;2609882,50;5;68700,00;8;9540,00;505;302,00;14740;12,90;174750;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-18;1227095;6665100,50;1;2012600,00;12;19270,00;380;1217,00;24703;23,40;301350;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-15;552696;2592909,50;1;383800,00;4;21320,00;161;1059,00;8083;26,30;135900;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-11;1186800;6307272,00;0;0,00;8;27000,00;424;1018,00;18871;28,60;296511;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-08;601861;2889572,00;1;779800,00;7;12630,00;427;414,00;14275;15,40;177907;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-04;1179213;6194397,50;1;910300,00;17;11890,00;305;1326,00;18645;27,10;330600;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-10-01;543355;2510979,00;0;0,00;2;42420,00;122;1391,00;7199;29,40;122608;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-27;1165026;6089875,50;1;837400,00;3;62030,00;536;694,00;25729;18,00;376150;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-24;537582;2468345,50;2;166800,00;11;6740,00;282;525,00;11542;16,00;157600;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-20;1165776;6098152,50;1;880800,00;10;19570,00;388;1009,00;21363;22,90;339063;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-17;551912;2558334,50;2;187700,00;11;7580,00;205;814,00;10169;20,50;136942;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-13;1189033;6237606,00;2;442300,00;9;21840,00;369;1065,00;21437;22,90;361329;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-10;607016;2870451,50;3;265700,00;10;8710,00;241;722,00;11118;19,50;179743;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-06;1331846;7306916,50;4;500000,00;10;23260,00;690;674,00;29046;20,00;414059;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-09-03;556584;2578754,50;0;0,00;5;18010,00;132;1364,00;6255;35,90;114239;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-30;1221446;6505307,50;4;456600,00;29;6920,00;595;674,00;28075;17,80;394251;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-27;587162;2779620,00;1;814500,00;7;13690,00;143;1341,00;7323;32,70;127879;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-23;1155758;6063874,00;0;0,00;11;18650,00;326;1259,00;16686;30,70;294820;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-20;546189;2524617,50;0;0,00;7;12160,00;130;1309,00;7865;27,00;124045;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-16;1158340;6159866,00;3;579300,00;22;8770,00;14418;26,00;27434;17,50;361000;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-13;547283;2529180,50;1;369400,00;6;13680,00;264;621,00;8336;24,60;136999;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-09;1115516;5825379,50;0;0,00;10;19310,00;391;987,00;17690;27,20;299385;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-06;536366;2474507,50;1;369400,00;4;20520,00;96;1710,00;7363;27,80;126907;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-08-02;1148190;6027911,00;3;273200,00;20;9100,00;742;490,00;29014;15,60;380512;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-07-30;542637;2517725,50;2;194600,00;8;10810,00;125;1384,00;7053;30,60;117223;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-07-26;1184072;6303900,50;1;3365900,00;16;12020,00;510;754,00;25452;18,90;390150;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2008-07-23;556504;2614533,50;2;186300,00;7;11830,00;177;935,00;9997;20,70;149802;2,50;0;0,00;0;0,00;0;0,00;0;0,00
