Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2004-12-29;917507;4851327,00;0;0,00;7;22930,00;305;1052,00;16626;24,10;269914;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-25;2211475;13568345,50;10;500000,00;29;15220,00;1285;687,00;52857;20,80;784571;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-22;1036287;4958937,00;0;0,00;7;24370,00;246;1387,00;14488;29,40;249761;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-18;1998194;11164479,00;16;187500,00;35;9520,00;1673;398,00;59957;13,80;765711;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-15;986913;4650450,50;2;500000,00;12;13170,00;361;876,00;15286;25,80;241771;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-11;1892744;10240635,50;1;2000000,00;16;22690,00;455;1595,00;26438;34,30;473071;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-08;792837;3956979,50;5;210200,00;9;14880,00;329;814,00;15074;22,20;208109;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-04;1512360;8084741,50;5;227100,00;38;6640,00;813;621,00;34429;18,30;510164;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-12-01;700108;3365197,50;0;0,00;13;7660,00;502;397,00;17719;14,00;233936;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-11-27;1649038;9100658,50;4;628600,00;65;4550,00;929;636,00;36284;20,30;527724;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-11-24;697410;3354585,00;1;506000,00;3;37480,00;407;552,00;17548;16,00;180844;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-11-20;1484197;7908040,50;0;0,00;20;13140,00;494;1064,00;27918;23,50;434795;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-11-17;883271;4597335,00;2;903900,00;7;21180,00;333;890,00;17377;21,30;271252;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2004-11-13;1470345;7868772,50;6;196600,00;13;20170,00;494;1061,00;26221;25,00;430489;2,50;0;0,00;0;0,00;0;0,00;0;0,00
