Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2016-12-31;926245;6192133,00;1;5104697,00;4;57122,40;202;1072,80;456;237,60;9367;21,40;10646;10,00;146773;5,00;94310;3,00;0;0,00
2016-12-28;512203;3056391,00;0;0,00;2;56390,40;81;1320,60;211;253,40;3889;25,40;4793;11,00;61985;5,00;43669;3,00;0;0,00
2016-12-24;882201;5838235,00;0;0,00;4;53857,70;130;1571,80;386;264,60;6502;29,00;9403;10,70;111806;5,00;89521;3,00;0;0,00
2016-12-21;480362;2766209,00;0;0,00;3;34024,30;66;1466,90;148;327,00;2932;30,50;3777;12,60;47527;5,00;39341;3,00;0;0,00
2016-12-17;792138;5100943,00;0;0,00;4;47056,10;78;2288,80;220;405,70;5162;32,00;6098;14,40;91215;5,00;63632;3,00;0;0,00
2016-12-14;456555;2547084,00;0;0,00;1;93987,30;61;1461,40;179;249,00;2684;30,70;4080;10,80;47240;5,00;39091;3,00;0;0,00
2016-12-10;771145;4904161,00;0;0,00;4;45240,80;164;1046,60;492;174,40;7509;21,10;10503;8,00;111875;5,00;90392;3,00;0;0,00
2016-12-07;436139;2377556,00;0;0,00;1;87731,80;63;1320,80;143;290,90;3081;25,00;3728;11,00;48528;5,00;27575;3,00;0;0,00
2016-12-03;775666;4957689,00;1;1669289,00;0;0,00;120;2970,40;303;286,30;5838;27,50;8325;10,30;98541;5,00;77893;3,00;0;0,00
2016-11-30;448223;2427103,00;0;0,00;0;0,00;44;3966,10;119;356,90;2716;28,90;3303;12,70;45492;5,00;32971;3,00;0;0,00
2016-11-26;910590;6245768,00;1;6347847,00;2;115234,40;128;1707,80;458;238,60;7180;28,10;12185;8,80;124814;5,00;111864;3,00;0;0,00
2016-11-23;561485;3531112,00;0;0,00;5;26059,60;83;1489,00;234;264,00;3848;29,70;6276;9,70;67628;5,00;58481;3,00;0;0,00
2016-11-19;871660;5840525,00;0;0,00;2;107757,60;87;2349,60;235;434,90;5929;31,90;7651;13,20;109341;5,00;77804;3,00;0;0,00
2016-11-16;530951;3170198,00;0;0,00;1;116980,30;49;2264,40;160;346,70;2939;34,90;4483;12,20;53176;5,00;47703;3,00;0;0,00
2016-11-12;806247;5249761,00;0;0,00;2;96858,00;123;1493,80;161;570,60;5765;29,50;5171;17,50;97293;5,00;51581;3,00;0;0,00
2016-11-09;494352;2834596,00;0;0,00;6;17432,70;86;1153,60;240;206,60;3599;25,50;5346;9,10;59447;5,00;49985;3,00;0;0,00
2016-11-05;814924;5220091,00;0;0,00;1;192621,30;78;2342,30;294;310,70;4742;35,60;9334;9,60;90809;5,00;91359;3,00;0;0,00
2016-11-02;450972;2506404,00;0;0,00;3;30828,70;51;1720,00;119;368,50;2497;32,50;3311;13,00;47495;5,00;34505;3,00;0;0,00
2016-10-29;791602;5015222,00;0;0,00;4;46265,40;130;1350,20;267;328,70;6636;24,40;7293;11,80;103347;5,00;69787;3,00;0;0,00
2016-10-26;430235;2324396,00;0;0,00;3;28590,00;77;1056,50;321;126,70;3048;24,70;5346;7,50;50729;5,00;41190;3,00;0;0,00
2016-10-22;763553;4853292,00;1;1655195,00;8;22385,80;179;948,90;471;180,30;7833;20,00;9963;8,40;115961;5,00;84658;3,00;0;0,00
2016-10-19;427683;2320290,00;0;0,00;0;0,00;57;2926,80;187;217,10;3020;24,80;4561;8,80;46482;5,00;39602;3,00;0;0,00
2016-10-15;834846;5480943,00;2;1891121,00;0;0,00;122;3230,10;271;353,90;6029;29,40;7039;13,40;94645;5,00;70654;3,00;0;0,00
2016-10-12;483150;2783107,00;0;0,00;1;102696,60;109;893,60;187;260,40;3765;23,90;4548;10,50;60323;5,00;41420;3,00;0;0,00
2016-10-08;785171;5026194,00;0;0,00;4;46366,60;122;1441,90;431;204,00;5907;27,50;10479;8,20;98283;5,00;87344;3,00;0;0,00
2016-10-05;449852;2478597,00;0;0,00;1;91460,20;93;932,80;155;279,80;3575;22,40;4182;10,20;58342;5,00;38674;3,00;0;0,00
2016-10-01;765300;4840355,00;0;0,00;5;35721,80;141;1201,50;388;218,30;7185;21,80;10597;7,90;118014;5,00;88727;3,00;0;0,00
2016-09-28;418190;2249853,00;0;0,00;0;0,00;56;2888,60;190;207,20;2430;29,90;4956;7,80;42399;5,00;44632;3,00;0;0,00
2016-09-24;802843;5233363,00;1;3734902,00;3;64370,30;77;2378,80;279;328,20;4202;40,30;6666;13,50;76201;5,00;61364;3,00;0;0,00
2016-09-21;480455;2774653,00;0;0,00;0;0,00;45;4433,20;133;365,00;2541;35,30;3779;12,70;47073;5,00;38279;3,00;0;0,00
2016-09-17;778306;4984195,00;0;0,00;7;26273,80;116;1503,80;327;266,70;6064;26,60;7922;10,80;102576;5,00;72284;3,00;0;0,00
