Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2021-12-29;500801;3356995,00;0;0,00;0;0,00;84;1118,90;269;174,70;4329;20,00;5741;8,00;64095;6,25;49185;3,75;162806;1,25
2021-12-25;693258;5110935,00;0;0,00;2;75386,20;98;1460,20;266;268,90;5125;25,80;7218;9,70;85635;6,25;64060;3,75;223257;1,25
2021-12-22;479037;3115310,00;0;0,00;2;45950,80;65;1341,90;159;274,30;3124;25,80;4221;10,10;52176;6,25;39244;3,75;143779;1,25
2021-12-18;716068;5230722,50;0;0,00;0;0,00;72;2034,10;376;194,70;4147;32,60;7245;9,90;71493;6,25;62938;3,75;230969;1,25
2021-12-15;454825;2881287,50;0;0,00;0;0,00;43;1876,10;105;384,10;2402;31,00;3062;12,90;42701;6,25;32316;3,75;121056;1,25
2021-12-11;689381;4963788,75;0;0,00;8;18303,90;73;1903,90;207;335,70;4058;31,60;5782;11,80;74089;6,25;59386;3,75;219422;1,25
2021-12-08;585788;4279578,75;1;6500000,00;1;126247,50;87;1377,30;195;307,20;4081;27,10;5221;11,30;68769;6,25;48495;3,75;173681;1,25
2021-12-04;784621;5984976,25;0;0,00;5;35311,30;170;985,70;459;182,50;7924;19,50;9623;8,50;109806;6,25;81185;3,75;286703;1,25
2021-12-01;467716;3042128,75;0;0,00;1;89742,70;51;1670,10;183;232,70;2995;26,30;4689;8,90;49414;6,25;44380;3,75;150959;1,25
2021-11-27;704250;5136431,25;0;0,00;14;10823,10;197;730,00;476;151,00;6273;21,20;7567;9,30;91366;6,25;62356;3,75;209537;1,25
2021-11-24;449701;2835172,50;0;0,00;1;83637,50;82;968,10;200;198,40;3612;20,30;4741;8,20;52757;6,25;40797;3,75;133512;1,25
2021-11-20;682027;4908968,75;0;0,00;4;36203,60;95;1446,80;237;289,90;6952;18,20;5620;12,00;76316;6,25;56561;3,75;220614;1,25
2021-11-17;530429;3742110,00;1;4500000,00;0;0,00;89;1177,20;212;247,10;3886;24,90;5081;10,10;60524;6,25;48833;3,75;178590;1,25
2021-11-13;720930;5466458,75;0;0,00;5;32252,10;128;1195,70;317;241,40;6433;22,00;7836;9,60;102514;6,25;74126;3,75;264532;1,25
2021-11-10;511620;3473403,75;0;0,00;1;102465,40;82;1186,00;174;279,40;3365;26,70;4799;9,90;57234;6,25;45117;3,75;161789;1,25
2021-11-06;725548;5389820,00;0;0,00;1;158999,60;79;1910,30;203;371,70;4452;31,30;6402;11,60;77130;6,25;64761;3,75;237430;1,25
2021-11-03;455729;2952385,00;0;0,00;1;87095,30;79;1046,40;202;204,60;3596;21,20;4648;8,70;56422;6,25;38037;3,75;123326;1,25
2021-10-30;718276;5247962,50;0;0,00;0;0,00;94;1563,20;184;399,30;4307;31,50;5296;13,60;78230;6,25;49282;3,75;175127;1,25
2021-10-27;461613;2925806,25;0;0,00;0;0,00;45;1820,50;112;365,70;2315;32,70;3053;13,20;39824;6,25;29711;3,75;113822;1,25
