Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2013-12-28;797992;5395606,00;0;0,00;4;49774,40;87;2170,60;169;558,70;4434;39,40;5868;15,90;86864;5,00;64617;3,00;0;0,00
2013-12-25;369514;2168211,00;0;0,00;0;0,00;48;3247,70;130;291,80;2408;29,10;4186;8,90;42094;5,00;36216;3,00;0;0,00
2013-12-21;829797;5629894,00;7;402856,00;12;17311,90;1152;171,00;936;105,20;7965;22,90;8582;11,30;112963;5,00;82909;3,00;0;0,00
2013-12-18;428449;2528062,00;0;0,00;0;0,00;43;4227,10;148;298,90;2230;36,70;4083;10,70;41291;5,00;41838;3,00;0;0,00
2013-12-14;791264;5323443,00;0;0,00;4;49108,70;132;1411,50;604;154,20;6659;25,90;14136;6,50;105411;5,00;120140;3,00;0;0,00
2013-12-11;391266;2255494,00;0;0,00;3;27742,50;82;962,70;83;475,50;2571;28,40;2678;14,50;40779;5,00;26845;3,00;0;0,00
2013-12-07;800494;5395622,00;1;1728409,00;5;39819,60;117;1614,00;257;367,40;5865;29,80;7241;12,80;107041;5,00;70917;3,00;0;0,00
2013-12-04;397228;2307017,00;0;0,00;0;0,00;67;2475,70;142;284,30;3523;21,20;3844;10,30;55920;5,00;34827;3,00;0;0,00
2013-11-30;800304;5396532,00;3;576178,00;2;99566,00;151;1250,80;376;251,10;7443;23,40;9656;9,60;115743;5,00;85385;3,00;0;0,00
2013-11-27;393715;2286101,00;0;0,00;3;28119,00;40;2000,30;150;266,70;2444;30,30;3783;10,40;41901;5,00;36143;3,00;0;0,00
2013-11-23;824026;5620479,00;1;2827972,00;2;103697,80;126;1561,20;256;384,20;6604;27,50;7459;13,00;98504;5,00;70595;3,00;0;0,00
2013-11-20;422256;2520681,00;0;0,00;1;93013,10;71;1242,50;146;302,10;3645;22,40;3046;14,30;57854;5,00;27031;3,00;0;0,00
2013-11-16;802598;5399372,00;0;0,00;2;99618,40;102;1852,70;274;344,80;5445;32,10;8031;11,60;97350;5,00;81944;3,00;0;0,00
2013-11-13;383249;2221377,00;0;0,00;0;0,00;49;3259,50;131;296,70;2520;28,50;3704;10,30;43456;5,00;33129;3,00;0;0,00
2013-11-09;798697;5379753,00;1;1726267,00;3;66170,90;146;1289,60;337;279,30;6977;24,90;9998;9,30;111976;5,00;94302;3,00;0;0,00
2013-11-06;397876;2314822,00;0;0,00;0;0,00;31;5368,80;80;506,30;2211;33,90;2917;13,70;40390;5,00;29229;3,00;0;0,00
2013-11-02;784285;5373854,00;2;1396060,00;3;66098,40;188;1000,40;267;352,20;8466;20,50;8275;11,20;124493;5,00;79734;3,00;0;0,00
2013-10-30;430062;2573344,00;0;0,00;0;0,00;56;3303,90;130;346,40;2834;29,40;3536;12,50;48193;5,00;36841;3,00;0;0,00
2013-10-26;791697;5327760,00;0;0,00;1;196594,30;56;3329,80;342;272,60;4159;41,50;8766;10,50;79401;5,00;80939;3,00;0;0,00
2013-10-23;395724;2285257,00;0;0,00;2;42162,90;81;987,40;151;264,80;3839;19,20;4868;8,10;55467;5,00;42161;3,00;0;0,00
2013-10-19;798409;5353560,00;1;1722731,00;2;98773,10;99;1892,60;236;396,90;5973;29,00;5832;15,80;110755;5,00;57441;3,00;0;0,00
2013-10-16;402414;2308544,00;0;0,00;2;42592,60;150;538,60;216;187,00;3644;20,50;5011;7,90;52136;5,00;42754;3,00;0;0,00
2013-10-12;798431;5354878,00;2;861455,00;3;65864,90;225;832,90;351;266,90;7992;21,70;7877;11,70;120003;5,00;71016;3,00;0;0,00
2013-10-09;403725;2343600,00;0;0,00;1;86478,80;56;1464,70;149;275,20;3226;23,50;3852;10,50;54915;5,00;36198;3,00;0;0,00
2013-10-05;843345;5784954,00;2;1595515,00;4;53366,20;196;1033,00;394;256,90;8950;20,90;9444;10,50;139357;5,00;86665;3,00;0;0,00
2013-10-02;437283;2631315,00;0;0,00;1;97095,50;68;1354,30;126;365,40;3608;23,60;3465;13,10;59656;5,00;31153;3,00;0;0,00
2013-09-28;810946;5471628,00;0;0,00;1;201903,00;75;2553,40;255;375,50;4361;40,60;6977;13,50;82191;5,00;66341;3,00;0;0,00
2013-09-25;400674;2341948,00;0;0,00;0;0,00;68;2476,20;161;254,50;3603;21,00;3806;10,60;56206;5,00;33241;3,00;0;0,00
2013-09-21;775957;5204975,00;0;0,00;2;96031,70;127;1434,40;308;295,70;6749;24,90;7108;12,60;115966;5,00;69003;3,00;0;0,00
2013-09-18;397934;2315791,00;1;1000000,00;3;28484,20;76;1066,40;208;194,80;3810;19,60;5203;7,70;55582;5,00;46492;3,00;0;0,00
2013-09-14;808469;5507184,00;1;2800083,00;5;40643,00;146;1320,20;428;225,10;7743;23,00;11421;8,30;126957;5,00;104003;3,00;0;0,00
2013-09-11;418750;2483378,00;0;0,00;1;91636,60;68;1278,20;239;181,80;3432;23,40;5120;8,30;53766;5,00;45397;3,00;0;0,00
2013-09-07;790539;5343382,00;0;0,00;3;65723,50;100;1870,10;283;330,40;5675;30,50;8764;10,50;101355;5,00;86472;3,00;0;0,00
2013-09-04;398168;2324709,00;0;0,00;4;21445,40;74;1099,50;169;240,70;3028;24,80;3687;10,90;46438;5,00;32762;3,00;0;0,00
2013-08-31;785388;5313980,00;1;1717388,00;5;39217,10;160;1162,40;384;242,10;6525;26,30;10318;8,90;111159;5,00;93225;3,00;0;0,00
2013-08-28;393579;2297482,00;0;0,00;1;84777,00;101;796,10;127;316,50;2604;28,50;3096;12,80;41751;5,00;31898;3,00;0;0,00
