Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2024-06-29;649023;4635073,75;0;0,00;3;45578,20;162;801,10;305;212,70;6849;17,50;6353;10,00;90717;6,25;56405;3,75;187290;1,25
2024-06-26;437759;2692793,75;0;0,00;1;79437,40;52;1449,90;133;283,40;2370;29,40;3625;10,20;39744;6,25;33627;3,75;123429;1,25
2024-06-22;673738;4778041,25;1;1500000,00;1;140952,20;115;1163,30;277;241,40;5468;22,60;6409;10,20;87313;6,25;52551;3,75;170303;1,25
2024-06-19;436316;2674576,25;0;0,00;2;39449,90;51;1468,30;175;213,90;2520;27,40;4275;8,60;41806;6,25;38121;3,75;125826;1,25
2024-06-15;659227;4659466,25;1;1000000,00;6;22909,00;138;945,30;336;194,10;5939;20,30;7755;8,20;90792;6,25;62005;3,75;193610;1,25
2024-06-12;515979;3479832,50;1;3500000,00;6;17109,10;61;1597,30;154;316,30;3227;27,90;3892;12,30;50422;6,25;38478;3,75;147683;1,25
2024-06-08;721571;5305557,50;0;0,00;4;39128,40;57;2606,20;235;316,00;4310;31,80;6868;10,60;75620;6,25;66470;3,75;238401;1,25
2024-06-05;477955;3076485,00;0;0,00;1;90756,30;45;1914,20;157;274,30;2660;29,90;4376;9,70;45942;6,25;41935;3,75;148172;1,25
2024-06-01;676409;4902323,75;0;0,00;1;144618,50;71;1933,30;207;331,50;4317;29,40;6121;11,00;77074;6,25;58521;3,75;202908;1,25
2024-05-29;448635;2822462,50;0;0,00;2;41631,30;41;1927,50;134;294,80;2327;31,40;3291;11,80;41792;6,25;33643;3,75;129808;1,25
2024-05-25;645822;4612573,75;0;0,00;1;136070,90;66;1956,80;138;467,90;3489;34,20;4036;15,70;56570;6,25;40414;3,75;156625;1,25
2024-05-22;468193;3081997,50;1;3000000,00;0;0,00;57;1513,90;139;310,40;2730;29,20;3746;11,30;43155;6,25;35810;3,75;133759;1,25
2024-05-18;684640;4973665,00;0;0,00;1;146723,10;114;1221,60;295;236,00;5597;23,00;6996;9,80;91020;6,25;62918;3,75;204640;1,25
2024-05-15;459918;2920012,50;0;0,00;0;0,00;69;1184,90;147;278,00;3453;21,90;3976;10,10;53178;6,25;35760;3,75;120995;1,25
2024-05-11;622584;4446070,00;0;0,00;3;43719,60;99;1257,40;234;266,00;5046;22,80;5316;11,50;75904;6,25;46543;3,75;168376;1,25
2024-05-08;453551;2799423,75;0;0,00;1;82583,00;38;2062,70;128;306,10;2164;33,50;3341;11,50;38737;6,25;31259;3,75;113109;1,25
2024-05-04;660151;4696061,25;1;1000000,00;1;138533,80;70;1878,40;262;250,90;4411;27,50;6492;9,90;76885;6,25;59859;3,75;213469;1,25
2024-05-01;475113;3095283,75;1;3000000,00;0;0,00;55;1575,70;164;264,20;3176;25,20;3693;11,50;48881;6,25;33223;3,75;118710;1,25
2024-04-27;711065;5140041,25;0;0,00;3;50543,70;134;1074,00;328;219,30;6250;21,30;8223;8,60;96785;6,25;73451;3,75;250738;1,25
2024-04-24;431471;2733450,00;0;0,00;0;0,00;56;1366,70;136;281,30;2668;26,50;3331;11,30;42557;6,25;30252;3,75;107542;1,25
2024-04-20;677205;4814521,25;0;0,00;2;71014,10;146;923,30;295;228,40;6037;20,60;7101;9,30;87111;6,25;62409;3,75;221178;1,25
2024-04-17;433771;2672912,50;0;0,00;10;7885,00;416;179,90;267;140,10;2667;25,90;3483;10,50;40459;6,25;30519;3,75;107469;1,25
