Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2005-12-31;1534844;8326742,00;3;412600,00;21;13090,00;655;839,00;28814;23,80;431742;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-28;718521;3551624,00;0;0,00;5;23040,00;222;1038,00;11893;24,20;192621;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-24;1522577;8214957,00;1;1195700,00;8;33210,00;545;975,00;27598;24,00;448689;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-21;655336;3126268,00;0;0,00;2;52370,00;184;1138,00;9920;26,30;156247;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-17;1383995;7362891,00;2;548600,00;13;18750,00;441;1105,00;22831;26,70;379307;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-14;645470;3061638,50;1;446600,00;2;49630,00;267;743,00;10458;23,70;166289;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-10;1384965;7367276,50;4;284300,00;14;18050,00;530;953,00;22731;27,70;344563;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-07;648903;3088642,00;2;211900,00;13;7240,00;293;642,00;12948;18,10;191540;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-12-03;1387773;7391300,00;1;1057900,00;17;13820,00;581;809,00;27912;21,00;419628;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-30;645437;3084360,00;1;420500,00;5;18690,00;323;578,00;14548;16,00;193672;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-26;1354828;7210250,00;4;268000,00;17;14010,00;452;1054,00;23445;25,40;373770;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-23;714830;3533662,50;4;251800,00;1;120360,00;286;841,00;11582;25,90;168753;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-19;1407360;7476106,50;3;372200,00;14;17720,00;476;1042,00;22141;28,00;382952;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-16;670126;3205471,50;0;0,00;4;25870,00;231;896,00;11296;22,90;175789;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-12;1498415;8184509,00;1;2434400,00;14;19980,00;438;1277,00;23651;29,50;386910;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-09;904394;4932361,50;2;1715000,00;6;23980,00;505;570,00;24302;14,80;331796;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-05;1439112;7637157,50;0;0,00;12;21760,00;399;1309,00;21173;30,80;360278;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-11-02;792187;4188058,00;0;0,00;14;9270,00;526;493,00;19607;16,50;267902;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-29;1459620;7774978,50;3;374100,00;21;11870,00;606;823,00;30385;20,50;463889;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-26;797735;4121753,50;0;0,00;7;19510,00;219;1247,00;13199;25,80;228421;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-22;2184840;13586017,50;6;1507500,00;21;21640,00;1101;825,00;52156;21,70;736382;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-19;724383;3604141,00;0;0,00;9;14290,00;185;1391,00;9549;33,60;162870;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-15;1389838;7339341,00;4;287000,00;8;31890,00;349;1462,00;19652;32,40;359220;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-12;703074;3431668,00;0;0,00;7;15790,00;280;789,00;13057;21,10;203019;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-08;1393134;7372082,50;5;222600,00;8;30920,00;741;667,00;30568;20,20;396398;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-05;654917;3100752,00;0;0,00;6;18770,00;123;1831,00;7530;37,30;132460;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-10-01;1488655;8092700,00;1;2468500,00;11;25430,00;395;1416,00;21810;32,00;402311;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-09-28;706376;3437634,50;1;975900,00;7;16020,00;291;770,00;13794;20,30;197653;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-09-24;1382938;7321439,00;0;0,00;11;24430,00;261;2059,00;15953;42,10;301300;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-09-21;646289;3053749,00;0;0,00;8;13090,00;169;1239,00;10264;25,50;155215;2,50;0;0,00;0;0,00;0;0,00;0;0,00
2005-09-17;1383847;7339854,00;4;273300,00;11;22090,00;560;867,00;25737;23,60;407920;2,50;0;0,00;0;0,00;0;0,00;0;0,00
