Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2020-12-30;478884;3064918,75;0;0,00;0;0,00;57;1505,50;160;268,10;3376;23,50;4361;9,60;52705;6,25;40136;3,75;139583;1,25
2020-12-26;684140;5064101,25;1;2500000,00;5;29878,10;125;1134,30;245;289,30;6291;20,80;5487;12,70;97989;6,25;47037;3,75;165485;1,25
2020-12-23;502120;3269830,00;0;0,00;1;96459,90;77;1189,00;169;270,80;3629;23,30;4517;9,90;53741;6,25;39832;3,75;138603;1,25
2020-12-19;735672;5348362,50;0;0,00;6;26296,10;63;2377,00;285;262,70;3685;37,50;5888;12,50;69056;6,25;56154;3,75;208983;1,25
2020-12-16;454913;2855038,75;0;0,00;1;84223,60;69;1158,50;145;275,60;3006;24,50;3223;12,20;47899;6,25;32438;3,75;116757;1,25
2020-12-12;790452;5855608,75;2;1500000,00;6;28790,00;216;759,00;296;276,90;8073;18,70;6853;11,70;116744;6,25;58687;3,75;199929;1,25
2020-12-09;515372;3357147,50;0;0,00;1;99035,80;68;1382,30;120;391,60;3096;28,00;3767;12,20;52932;6,25;36189;3,75;136077;1,25
2020-12-05;785675;5716415,00;0;0,00;3;56211,40;114;1404,00;396;202,00;5715;25,90;9054;8,70;90181;6,25;79365;3,75;279490;1,25
2020-12-02;470029;2991270,00;0;0,00;4;22060,60;54;1551,00;175;239,30;2846;27,20;3950;10,40;46236;6,25;35835;3,75;134573;1,25
2020-11-28;719047;5209952,50;0;0,00;3;51231,10;86;1696,20;196;372,10;4692;28,70;5302;13,50;77374;6,25;54564;3,75;212110;1,25
2020-11-25;558282;3962572,50;3;1500000,00;1;116895,80;168;660,40;208;266,70;5313;19,30;4909;11,10;77321;6,25;42551;3,75;141933;1,25
2020-11-21;811177;6173795,00;0;0,00;1;182126,90;100;1728,60;223;387,50;5344;29,90;6028;14,10;97590;6,25;58463;3,75;211197;1,25
2020-11-18;519046;3525111,25;0;0,00;3;34663,50;86;1147,70;182;271,10;4121;22,10;4802;10,10;64422;6,25;41403;3,75;144342;1,25
2020-11-14;779590;5700456,25;2;1250000,00;2;84081,70;73;2186,40;351;227,30;5239;28,10;8766;8,90;88808;6,25;80848;3,75;281014;1,25
2020-11-11;429351;2727893,75;0;0,00;3;26824,20;35;2182,30;101;378,10;2139;33,00;2994;12,50;39904;6,25;30075;3,75;111113;1,25
2020-11-07;699158;5094248,75;0;0,00;3;50093,40;95;1501,40;248;287,50;4556;28,90;5631;12,40;75205;6,25;53942;3,75;205104;1,25
2020-11-04;426457;2675893,75;0;0,00;1;78938,80;53;1413,60;133;281,60;2907;23,80;2941;12,50;47499;6,25;29243;3,75;106882;1,25
2020-10-31;724372;5347921,25;1;2500000,00;6;26293,90;102;1468,00;215;348,20;4928;28,10;5433;13,50;91110;6,25;51195;3,75;182840;1,25
2020-10-28;462222;2977778,75;0;0,00;2;43922,20;82;1016,80;220;189,40;2680;28,70;5132;8,00;44580;6,25;38214;3,75;123564;1,25
2020-10-24;688202;4948496,25;0;0,00;6;24330,10;153;905,60;306;226,40;5442;23,50;7096;9,60;76908;6,25;70464;3,75;251164;1,25
2020-10-21;457769;2924540,00;1;2000000,00;2;43136,90;41;1997,20;151;271,10;2411;31,40;4259;9,40;43717;6,25;40328;3,75;142025;1,25
2020-10-17;692264;4966303,75;0;0,00;0;0,00;93;1495,20;308;225,70;4625;27,80;8113;8,40;80834;6,25;71235;3,75;232152;1,25
2020-10-14;455522;2848202,50;1;1500000,00;1;84021,90;82;972,50;238;167,50;3125;23,60;5428;7,20;46992;6,25;46807;3,75;159516;1,25
2020-10-10;742563;5322055,00;4;500000,00;1;157000,60;237;628,70;290;256,90;8952;15,30;7371;9,90;115738;6,25;68573;3,75;225681;1,25
2020-10-07;473155;2917218,75;0;0,00;1;86057,90;91;897,60;207;197,20;3444;21,90;4476;8,90;49173;6,25;38796;3,75;134667;1,25
2020-10-03;714416;5071968,75;1;1000000,00;2;74811,50;109;1302,80;289;245,70;6148;21,30;6119;11,40;94286;6,25;56489;3,75;198258;1,25
2020-09-30;437000;2759683,75;1;1500000,00;1;81410,60;54;1430,90;175;220,70;2531;28,20;4262;8,90;41997;6,25;37345;3,75;127712;1,25
2020-09-26;683106;4942865,00;0;0,00;2;72907,20;148;935,10;304;227,60;5986;21,30;8012;8,50;88013;6,25;73227;3,75;245877;1,25
2020-09-23;419579;2610667,50;2;500000,00;4;19253,60;198;369,10;155;235,80;4210;16,00;3955;9,10;51711;6,25;35214;3,75;118438;1,25
2020-09-19;676185;4912985,00;1;1500000,00;2;72466,50;162;849,10;314;219,00;5400;23,50;8540;7,90;79239;6,25;82718;3,75;260097;1,25
