Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2012-12-29;838842;5746125,00;0;0,00;8;26504,00;216;931,00;467;215,30;9496;19,60;12438;7,90;141036;5,00;91725;3,00;0;0,00
2012-12-26;423082;2646134,00;1;2553908,00;1;97642,30;56;1653,80;335;138,20;3930;21,80;7737;5,90;61767;5,00;60638;3,00;0;0,00
2012-12-22;884369;6078177,00;0;0,00;2;112142,30;135;1575,80;334;318,40;6539;30,10;9931;10,50;116240;5,00;98896;3,00;0;0,00
2012-12-19;448387;2690074,00;0;0,00;7;14180,50;63;1494,40;206;228,50;3395;25,60;5377;8,60;55055;5,00;47379;3,00;0;0,00
2012-12-15;850454;5788374,00;0;0,00;5;42718,20;158;1282,20;393;257,70;8260;22,70;10639;9,40;130150;5,00;100157;3,00;0;0,00
2012-12-12;457093;2721655,00;1;1000000,00;1;100429,00;87;1094,90;157;303,30;3495;25,20;3789;12,40;50351;5,00;35662;3,00;0;0,00
2012-12-08;868173;5953150,00;1;1803676,00;1;219671,20;94;2216,50;357;291,80;5670;34,00;11371;9,00;105622;5,00;90144;3,00;0;0,00
2012-12-05;421490;2513066,00;0;0,00;1;92732,10;37;2377,20;101;435,40;2216;36,70;3015;14,40;42086;5,00;30524;3,00;0;0,00
2012-12-01;921085;6431062,00;2;1523416,00;8;29663,20;195;1154,20;592;190,10;8444;24,60;14173;7,80;135564;5,00;119977;3,00;0;0,00
2012-11-28;454542;2817834,00;0;0,00;3;34659,30;60;1643,70;194;254,10;3742;24,30;5640;8,60;64214;5,00;49937;3,00;0;0,00
2012-11-24;861684;5912815,00;0;0,00;6;36363,80;151;1370,50;479;216,00;7285;26,20;10644;9,60;121319;5,00;93662;3,00;0;0,00
2012-11-21;409743;2436027,00;0;0,00;0;0,00;60;2919,10;127;335,60;2766;28,50;2860;14,70;44706;5,00;26487;3,00;0;0,00
2012-11-17;896887;6294460,00;2;1514577,00;6;38710,90;193;1141,40;432;254,90;8597;23,70;10661;10,20;136047;5,00;94671;3,00;0;0,00
2012-11-14;454635;2842064,00;0;0,00;2;52436,00;52;1912,90;133;373,90;2612;35,20;3949;12,40;49225;5,00;40950;3,00;0;0,00
2012-11-10;858373;5894243,00;0;0,00;4;54374,30;167;1235,30;493;209,20;9032;21,10;11906;8,50;145541;5,00;105299;3,00;0;0,00
2012-11-07;408478;2427267,00;0;0,00;2;44783,00;47;1807,50;97;437,90;2389;32,90;3003;13,90;45595;5,00;29573;3,00;0;0,00
2012-11-03;817456;5667057,00;2;882527,00;2;104557,20;204;972,20;377;263,00;8112;22,60;10203;9,60;119356;5,00;96700;3,00;0;0,00
2012-10-31;429046;2570354,00;0;0,00;2;47423,00;66;1363,00;202;222,60;3241;25,60;4513;9,80;52286;5,00;40710;3,00;0;0,00
2012-10-27;833957;5742772,00;1;1775275,00;4;52977,00;247;813,70;576;174,40;10178;18,20;13424;7,40;146163;5,00;105777;3,00;0;0,00
2012-10-24;399958;2378644,00;0;0,00;0;0,00;19;9001,20;107;389,00;1878;41,00;3245;12,60;37152;5,00;32854;3,00;0;0,00
2012-10-20;840282;5761898,00;2;888929,00;3;70871,30;153;1318,00;311;324,20;7420;25,10;8135;12,20;117635;5,00;73030;3,00;0;0,00
2012-10-17;404786;2412512,00;0;0,00;1;89021,60;58;1455,80;120;351,80;2607;29,90;3239;12,80;46850;5,00;31379;3,00;0;0,00
2012-10-13;849296;5841518,00;2;894303,00;5;43110,40;207;987,60;462;221,20;10753;17,60;10717;9,40;139488;5,00;94216;3,00;0;0,00
2012-10-10;410427;2449729,00;0;0,00;0;0,00;32;5504,20;84;510,30;1718;46,10;2787;15,20;31353;5,00;31988;3,00;0;0,00
2012-10-06;829910;5700952,00;1;1000000,00;2;105182,50;117;1705,40;348;286,60;6607;27,90;10006;9,80;118990;5,00;90441;3,00;0;0,00
2012-10-03;413087;2472413,00;3;333334,00;2;45616,00;90;961,40;271;159,60;4142;19,30;5402;7,90;58406;5,00;43342;3,00;0;0,00
2012-09-29;839251;5763253,00;1;1008570,00;3;70888,00;130;1551,60;345;292,30;6531;28,50;9561;10,40;112512;5,00;92824;3,00;0;0,00
2012-09-26;462702;2985404,00;3;1127198,00;2;55080,70;114;916,50;280;186,50;4783;20,20;6650;7,70;70823;5,00;53948;3,00;0;0,00
2012-09-22;876827;6113309,00;0;0,00;2;112790,50;95;2252,20;240;445,70;5071;39,00;7867;13,40;97469;5,00;82308;3,00;0;0,00
2012-09-19;443890;2760143,00;0;0,00;4;25462,30;65;1486,20;237;203,80;3893;22,90;5853;8,10;59166;5,00;50383;3,00;0;0,00
2012-09-15;839421;5782572,00;0;0,00;6;35562,80;301;672,30;675;149,90;13061;14,30;13579;7,30;177508;5,00;104909;3,00;0;0,00
2012-09-12;412377;2469860,00;0;0,00;0;0,00;81;2192,30;122;354,20;3485;22,90;3431;12,40;54363;5,00;33461;3,00;0;0,00
