Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2023-12-30;725744;5217760,00;0;0,00;2;76961,90;109;1340,30;250;292,10;4478;30,10;7288;9,80;80722;6,25;67773;3,75;244931;1,25
2023-12-27;429619;2660585,00;0;0,00;1;78487,20;39;1910,10;174;214,00;3035;22,70;4326;8,40;46719;6,25;37564;3,75;124033;1,25
2023-12-23;696878;4958103,75;0;0,00;6;24377,30;127;1093,10;316;219,60;5888;21,80;7140;9,50;95085;6,25;60667;3,75;206750;1,25
2023-12-20;477795;3054836,25;1;2500000,00;3;30039,20;70;1221,90;230;185,90;2906;27,20;4695;8,90;47655;6,25;43046;3,75;145820;1,25
2023-12-16;705924;5057592,50;0;0,00;2;74599,40;94;1506,50;246;287,80;4703;27,80;6378;10,90;85049;6,25;62941;3,75;227059;1,25
2023-12-13;460638;2839643,75;0;0,00;1;83769,40;47;1691,70;110;361,40;2180;33,70;3019;12,90;37704;6,25;31032;3,75;125844;1,25
2023-12-09;687375;4833637,50;0;0,00;4;35648,00;66;2050,60;163;415,10;3514;35,60;4720;14,10;65431;6,25;52272;3,75;214574;1,25
2023-12-06;527516;3487506,25;1;3500000,00;2;51440,70;82;1190,80;161;303,20;3619;24,90;4166;11,50;59326;6,25;39299;3,75;141730;1,25
2023-12-02;744744;5430613,75;0;0,00;0;0,00;91;1670,90;245;310,30;4808;29,20;6499;11,50;82919;6,25;59081;3,75;204157;1,25
2023-11-29;458620;2920367,50;0;0,00;1;86150,80;80;1022,10;178;229,60;3198;23,60;4051;9,90;49367;6,25;34679;3,75;116013;1,25
2023-11-25;662420;4761412,50;0;0,00;1;140461,60;151;882,90;373;178,70;7086;17,40;8155;8,00;100211;6,25;64371;3,75;201888;1,25
2023-11-22;425317;2615766,25;0;0,00;1;77165,10;59;1241,30;122;300,10;2381;28,40;3368;10,70;40463;6,25;30732;3,75;110122;1,25
2023-11-18;637253;4510793,75;0;0,00;4;33267,10;150;842,00;381;165,70;6141;19,00;9475;6,50;86611;6,25;63086;3,75;212353;1,25
2023-11-15;421334;2566555,00;1;1000000,00;3;25237,70;41;1752,70;131;274,20;2609;25,40;3549;9,90;43316;6,25;32748;3,75;117759;1,25
2023-11-11;634590;4503663,75;1;2000000,00;3;44286,00;61;2067,20;236;267,10;3391;34,30;6359;9,70;62255;6,25;60861;3,75;209564;1,25
2023-11-08;443575;2737686,25;0;0,00;3;26920,50;80;958,10;204;187,80;3494;20,20;4885;7,70;52665;6,25;41879;3,75;130916;1,25
2023-11-04;660132;4673615,00;0;0,00;0;0,00;99;1321,80;199;328,70;4917;24,60;6279;10,20;83891;6,25;52469;3,75;162249;1,25
2023-11-01;458589;2907225,00;1;2500000,00;2;42881,50;70;1162,80;262;155,30;3321;22,60;5340;7,50;48962;6,25;45158;3,75;141883;1,25
2023-10-28;701221;5026036,25;0;0,00;1;148268,00;151;931,90;455;154,60;6691;19,40;9768;7,10;105871;6,25;77745;3,75;239995;1,25
2023-10-25;444589;2737852,50;0;0,00;0;0,00;44;1742,20;127;301,80;2082;34,00;3349;11,20;35597;6,25;32588;3,75;124706;1,25
2023-10-21;668667;4691152,50;0;0,00;0;0,00;81;1621,60;223;294,50;3954;30,70;6101;10,60;69240;6,25;58116;3,75;215662;1,25
