Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2018-12-29;798611;6018560,00;0;0,00;5;35509,50;148;1138,60;426;197,70;7339;21,20;10394;7,90;109203;6,25;90605;3,75;301367;1,25
2018-12-26;472210;3166140,00;0;0,00;3;31133,70;51;1738,20;151;293,50;2468;33,20;3832;11,40;43591;6,25;37746;3,75;144383;1,25
2018-12-22;773344;5752678,75;0;0,00;3;56568,00;101;1594,80;408;197,30;6442;23,10;9964;7,90;101232;6,25;81945;3,75;260914;1,25
2018-12-19;456411;2948021,25;0;0,00;1;86966,60;70;1179,20;147;280,70;2844;26,80;3527;11,50;46600;6,25;33435;3,75;122515;1,25
2018-12-15;720507;5301842,50;0;0,00;3;52134,70;89;1667,90;328;226,20;4630;29,60;8834;8,20;80169;6,25;89070;3,75;309455;1,25
2018-12-12;421557;2653310,00;0;0,00;1;78272,60;31;2396,50;113;328,70;2280;30,10;3172;11,50;40199;6,25;32838;3,75;119013;1,25
2018-12-08;733601;5430298,75;3;666667,00;2;80096,90;104;1462,00;190;400,10;5866;23,90;5385;13,90;96414;6,25;50595;3,75;182303;1,25
2018-12-05;436624;2771006,25;0;0,00;3;27248,20;55;1410,60;157;247,00;2658;27,00;3955;9,60;43401;6,25;30599;3,75;108448;1,25
2018-12-01;715664;5259022,50;0;0,00;14;11081,50;148;994,90;500;147,20;6382;21,30;9021;8,00;98652;6,25;66596;3,75;210647;1,25
2018-11-28;456694;2977742,50;1;2500000,00;0;0,00;155;537,90;141;295,60;5564;13,80;4130;9,90;69329;6,25;36510;3,75;119112;1,25
2018-11-24;724319;5375902,50;0;0,00;9;17621,00;86;1750,20;301;250,00;3940;35,30;6602;11,20;67169;6,25;61432;3,75;225911;1,25
2018-11-21;423387;2693197,50;0;0,00;0;0,00;31;2432,50;101;373,30;2086;33,40;2671;13,90;38537;6,25;26229;3,75;93143;1,25
2018-11-17;705340;5172025,00;0;0,00;6;25429,10;142;1019,80;524;138,10;6785;19,70;10615;6,70;101959;6,25;74733;3,75;241247;1,25
2018-11-14;475997;3207446,25;1;3000000,00;2;47309,80;48;1871,00;110;408,20;2777;29,90;3364;13,10;49348;6,25;32763;3,75;123791;1,25
2018-11-10;753812;5635221,25;0;0,00;6;27706,50;78;2022,80;263;299,90;4002;36,40;7242;10,70;74644;6,25;72639;3,75;276379;1,25
