Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9
2017-12-30;795904;4975050,00;0;0,00;3;61193,10;145;1200,80;220;395,70;6118;26,30;6631;12,90;103053;5,00;66369;3,00;0;0,00
2017-12-27;411736;2216651,00;1;1000000,00;2;40897,20;42;1847,20;108;359,10;2152;33,30;3487;10,90;40851;5,00;34759;3,00;0;0,00
2017-12-23;788965;4957757,00;1;1500000,00;0;0,00;91;3917,10;287;302,30;4791;33,50;7055;12,10;87069;5,00;66221;3,00;0;0,00
2017-12-20;430554;2312729,00;0;0,00;2;42669,80;73;1108,80;190;213,00;3921;19,10;5514;7,20;59065;5,00;45316;3,00;0;0,00
2017-12-16;741623;4663646,00;1;1500000,00;5;34417,70;112;1457,30;361;226,00;6212;24,30;9110;8,80;101147;5,00;81963;3,00;0;0,00
2017-12-13;414646;2221912,00;0;0,00;3;27329,50;61;1274,80;187;207,90;2850;25,20;4984;7,70;46884;5,00;43416;3,00;0;0,00
2017-12-09;736865;4629833,00;1;1500000,00;4;42710,20;203;798,20;385;210,40;8518;17,60;8584;9,30;117555;5,00;72432;3,00;0;0,00
2017-12-06;425918;2278684,00;0;0,00;1;84083,40;45;1772,30;100;398,70;2023;36,40;2865;13,70;37604;5,00;32084;3,00;0;0,00
2017-12-02;729551;4592466,00;1;1000000,00;2;84730,90;109;1474,60;286;281,00;5518;26,90;7715;10,20;96431;5,00;71812;3,00;0;0,00
2017-11-29;418736;2251400,00;1;1000000,00;1;83076,60;81;972,80;264;149,20;3720;19,60;4382;8,80;54393;5,00;30962;3,00;0;0,00
2017-11-25;774800;5007000,00;1;3500000,00;2;92379,10;166;1055,60;378;231,80;7053;23,00;8714;9,90;110347;5,00;73765;3,00;0;0,00
2017-11-22;466253;2649389,00;0;0,00;1;97762,40;51;1818,20;164;282,70;2748;31,20;4230;10,80;47306;5,00;41367;3,00;0;0,00
2017-11-18;758220;4824884,00;0;0,00;3;59346,00;79;2137,60;265;318,60;4293;36,40;7091;11,70;86166;5,00;73468;3,00;0;0,00
2017-11-15;451605;2489123,00;0;0,00;4;22962,10;84;1037,10;134;325,00;3249;24,80;2991;14,30;51203;5,00;26539;3,00;0;0,00
2017-11-11;669348;4175199,00;0;0,00;3;51354,90;89;1641,90;242;301,90;4438;30,40;8286;8,70;78502;5,00;78323;3,00;0;0,00
2017-11-08;425417;2286402,00;0;0,00;2;42184,10;53;1509,80;130;307,70;2338;31,60;3448;11,40;41428;5,00;34613;3,00;0;0,00
2017-11-04;730762;4586885,00;3;333334,00;6;28209,30;194;827,50;302;265,70;7751;19,10;7722;10,20;111381;5,00;66815;3,00;0;0,00
2017-11-01;422764;2323030,00;1;2000000,00;2;42859,90;93;874,20;124;327,80;3139;23,90;3080;13,00;48212;5,00;27458;3,00;0;0,00
2017-10-28;746724;4711973,00;0;0,00;7;24838,80;173;953,20;439;187,80;7118;21,40;8934;9,10;105986;5,00;74067;3,00;0;0,00
2017-10-25;427021;2299081,00;0;0,00;2;42418,00;86;935,60;173;232,50;3647;20,40;4260;9,30;54058;5,00;36864;3,00;0;0,00
2017-10-21;747508;4685848,00;1;1000000,00;1;172907,70;139;1179,80;359;228,40;6484;23,40;8488;9,50;102403;5,00;74805;3,00;0;0,00
2017-10-18;505011;2935945,00;1;3500000,00;2;54168,10;54;1902,90;189;271,80;2978;31,90;4957;10,20;52613;5,00;51495;3,00;0;0,00
2017-10-14;902941;6023201,00;1;5500000,00;5;44451,20;142;1484,50;419;251,50;7363;26,50;11061;9,40;125852;5,00;96627;3,00;0;0,00
2017-10-11;575687;3562946,00;0;0,00;6;21912,10;148;842,50;308;202,40;5230;22,00;6605;9,30;78367;5,00;57386;3,00;0;0,00
2017-10-07;885863;5787545,00;0;0,00;3;71186,80;113;1792,60;363;279,00;6707;27,90;8517;11,70;109554;5,00;79169;3,00;0;0,00
2017-10-04;560476;3308331,00;0;0,00;2;61038,70;77;1503,70;180;321,60;3673;29,10;5067;11,20;61411;5,00;49298;3,00;0;0,00
2017-09-30;858754;5468945,00;0;0,00;5;40360,80;104;1840,50;404;236,80;6372;27,80;12387;7,60;112368;5,00;104610;3,00;0;0,00
2017-09-27;497636;2837345,00;0;0,00;1;104698,00;70;1418,60;226;219,70;3384;27,10;6291;7,80;59583;5,00;57658;3,00;0;0,00
2017-09-23;781600;4927088,00;0;0,00;4;45452,30;84;2052,90;230;374,80;4813;33,10;7316;11,60;91446;5,00;72294;3,00;0;0,00
2017-09-20;441967;2432094,00;0;0,00;0;0,00;42;4163,50;123;346,00;2140;36,80;3748;11,20;41395;5,00;36311;3,00;0;0,00
2017-09-16;733748;4623764,00;0;0,00;2;85308,40;144;1123,80;301;268,80;6562;22,80;8480;9,40;105299;5,00;77822;3,00;0;0,00
2017-09-13;413082;2222729,00;0;0,00;1;82018,70;42;1852,20;133;292,40;2287;31,40;3303;11,60;40977;5,00;30636;3,00;0;0,00
2017-09-09;715212;4508591,00;2;500000,00;2;83183,50;166;950,60;369;213,80;6054;24,10;6552;11,90;89403;5,00;60553;3,00;0;0,00
2017-09-06;421255;2278157,00;1;1000000,00;4;21015,90;152;524,50;202;197,30;4881;15,10;4710;8,30;59721;5,00;40940;3,00;0;0,00
2017-09-02;754693;4823700,00;1;2000000,00;6;29665,70;129;1308,70;456;185,10;6803;22,90;11086;7,50;105980;5,00;100095;3,00;0;0,00
2017-08-30;442166;2443737,00;0;0,00;1;90173,80;78;1096,50;249;171,70;3793;20,80;5912;7,10;58097;5,00;48965;3,00;0;0,00
2017-08-26;751500;4777446,00;2;1000000,00;3;58762,50;216;774,10;368;227,10;7416;20,80;7994;10,30;107549;5,00;68624;3,00;0;0,00
2017-08-23;444818;2423786,00;0;0,00;2;44718,80;57;1488,20;180;235,60;2738;28,60;4061;10,30;45128;5,00;37158;3,00;0;0,00
2017-08-19;761402;4789986,00;1;2000000,00;2;88375,20;116;1445,20;374;224,10;5928;26,10;8769;9,40;103363;5,00;72723;3,00;0;0,00
2017-08-16;412578;2271982,00;0;0,00;1;83836,10;37;2149,10;116;342,70;2364;31,10;3293;11,90;40573;5,00;34061;3,00;0;0,00
2017-08-12;737080;4719032,00;1;2000000,00;3;58044,00;123;1342,80;408;202,40;6377;23,90;11455;7,10;104383;5,00;101313;3,00;0;0,00
2017-08-09;438217;2429463,00;0;0,00;2;44823,50;68;1250,40;124;342,80;3131;25,10;3518;11,90;51144;5,00;33439;3,00;0;0,00
