Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2023-12-29;630508;4710022,50;0;0,00;0;235723,30;0;33055,40;3;1354,70;51;152,40;135;59,50;110;54,10;2154;12,90;2510;12,80;5163;11,00;11764;5,80;39374;5,60;84283;4,20
2023-12-26;405149;2713592,50;0;0,00;0;0,00;0;0,00;0;32617,80;30;143,80;53;87,60;57;49,70;789;19,90;1294;12,80;2921;10,30;4146;9,30;20879;6,00;46775;4,10
2023-12-22;676808;5129305,00;0;55662868,00;0;113308,60;0;37074,90;4;1069,20;66;152,30;120;72,70;131;45,40;1725;19,00;2539;13,10;5810;10,30;9481;8,80;36114;6,50;87310;4,20
2023-12-19;449906;3073955,00;0;0,00;0;529973,70;0;17694,70;2;2967,70;26;179,40;59;82,10;65;49,40;891;19,50;1390;14,80;3060;11,30;5067;8,90;20594;6,70;49527;4,40
2023-12-15;627563;4614662,50;0;0,00;0;695067,70;0;32489,70;3;1445,60;57;135,20;157;56,20;125;52,10;2306;12,70;2506;12,90;5343;11,10;12694;5,40;38187;5,80;78825;4,40
2023-12-12;459286;3141252,50;0;0,00;0;523847,30;0;61215,80;0;1815,90;34;158,20;65;91,30;91;47,40;898;20,50;1561;14,30;3949;10,60;5077;9,30;22642;6,70;54539;4,30
2023-12-08;1325392;12718080,00;0;240000000,00;0;1584039,10;6;24836,40;9;1390,70;118;152,40;351;64,20;319;48,40;5521;14,10;6627;13,00;14926;10,70;30519;6,20;98427;6,00;221091;4,30
2023-12-05;908073;8309700,00;0;0,00;1;146494,60;2;17119,10;6;969,40;109;103,50;294;46,00;236;34,90;3972;11,50;4887;10,00;11307;8,60;21290;5,60;71614;5,10;155830;3,80
2023-12-01;1415875;13853557,50;0;0,00;0;266632,90;2;20772,10;5;2007,90;178;133,30;358;73,80;377;40,40;4902;17,50;7346;12,40;17120;9,40;25775;8,30;108176;5,90;251836;3,90
2023-11-28;464837;3282890,00;0;83068817,00;0;145719,30;0;22704,60;3;942,90;68;92,30;99;55,00;98;34,60;1260;14,30;2326;8,90;4567;8,90;6654;7,00;31387;4,60;62887;3,90
2023-11-24;635758;4792230,00;0;0,00;1;243253,90;1;21319,60;7;1362,10;39;139,00;117;65,30;133;44,40;1803;14,70;2242;12,60;5093;10,40;10213;6,60;35641;5,80;79779;4,30
2023-11-21;438525;3001780,00;0;0,00;0;175300,00;0;24582,30;2;1531,30;25;161,70;60;74,40;54;54,00;886;17,80;1401;13,50;2795;11,80;6133;7,20;22745;5,80;46647;4,60
2023-11-17;619260;4528302,50;0;0,00;0;171009,90;0;79935,60;5;1508,90;44;141,90;160;52,20;105;53,20;2230;11,70;2321;12,50;4502;11,50;12316;5,10;35974;5,70;71661;4,60
2023-11-14;407152;2720260,00;0;0,00;0;486731,50;1;28439,20;2;1181,00;34;136,80;68;57,40;73;49,90;1175;12,10;1455;12,30;2942;11,10;6788;5,20;22169;5,50;45957;4,40
2023-11-10;594617;4290187,50;0;0,00;1;324751,70;1;15179,90;1;1818,50;52;121,60;94;73,00;129;35,90;1292;18,80;2417;11,80;5721;8,90;7023;8,90;34109;5,90;80222;3,80
2023-11-07;422059;2800110,00;0;0,00;0;0,00;0;189164,10;2;1154,60;47;115,00;70;65,10;88;34,10;1138;15,50;1587;11,00;3963;8,30;5724;7,50;23112;5,40;54952;3,60
2023-11-03;626168;4675287,50;0;31218086,00;1;123697,30;0;43365,10;4;1019,40;58;120,90;165;47,60;103;45,40;2418;11,70;2564;11,60;5526;10,20;12639;5,40;37348;5,60;78052;4,30
2023-10-31;487168;3361505,00;0;0,00;2;96734,80;1;37680,80;0;1676,60;48;112,40;83;57,90;116;34,30;1253;15,20;1984;10,30;4647;8,30;6707;7,30;27843;5,60;63057;3,80
2023-10-27;681000;5074715,00;0;17000000,00;0;322693,90;1;75418,80;3;1879,20;38;165,10;125;65,70;97;57,60;2119;13,80;2110;14,40;4882;12,40;11962;5,70;35884;6,20;78681;4,80
2023-10-24;420300;2818175,00;0;26274769,00;0;484142,90;0;16164,50;1;859,60;47;106,70;101;48,10;93;39,00;1326;12,30;1681;10,70;3772;9,10;7137;5,80;24480;5,30;52366;3,90
2023-10-20;574566;4164370,00;0;0,00;0;0,00;0;114759,50;4;1436,30;45;142,40;93;67,00;94;47,00;1461;15,30;2143;12,40;4720;10,40;8409;7,00;31255;5,80;70842;4,30
