Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2019-12-31;648445;4920027,50;0;0,00;0;641759,50;2;49824,30;2;4061,70;57;189,50;120;128,30;114;72,40;1791;21,40;2387;16,70;5025;14,50;10410;10,50;36887;8,70;77137;4,90
2019-12-27;622214;4738122,50;0;0,00;0;512121,00;1;26506,40;4;3764,00;41;171,60;98;115,20;150;53,60;1815;19,90;2650;14,00;6178;11,20;9221;10,80;38157;7,70;92935;4,00
2019-12-24;544396;3962547,50;0;0,00;0;958335,10;0;55801,70;2;2426,10;68;151,20;132;73,70;95;60,20;1853;13,30;2520;11,60;5024;11,40;9289;8,00;37045;6,60;74046;4,10
2019-12-20;648263;4866320,00;0;0,00;0;1041516,40;0;80860,30;2;3206,80;77;195,60;148;110,70;145;72,30;1798;20,40;3144;13,70;5875;13,30;9707;10,90;43726;7,60;83972;4,70
2019-12-17;493230;3535972,50;0;48949099,00;1;436114,30;0;14510,80;2;1440,10;63;102,20;134;73,40;164;34,50;1810;14,60;2350;11,30;5201;9,60;8938;8,50;32069;7,00;69400;3,90
2019-12-13;793357;6013250,00;0;0,00;0;414803,40;0;26348,80;5;2779,70;104;136,70;158;110,50;236;43,90;2165;20,20;3917;12,90;9482;9,90;11254;11,40;52385;7,70;124633;3,90
2019-12-10;454330;3186255,00;0;0,00;0;0,00;0;248010,20;3;1729,50;48;117,50;133;62,30;92;49,30;2066;12,30;2091;11,90;4375;11,20;10430;7,10;27784;7,10;58492;4,20
2019-12-06;648761;4864715,00;0;0,00;0;520640,30;0;121263,00;2;7414,10;66;205,00;102;139,40;153;62,20;1668;24,60;2478;16,50;6312;12,20;8513;13,10;35639;8,90;89555;4,30
2019-12-03;507665;3654960,00;0;48061132,00;0;883408,70;0;51438,90;2;4025,60;55;235,90;101;149,00;121;73,70;1153;26,80;2002;17,30;4739;13,40;6397;14,30;26305;9,80;63111;4,70
2019-11-29;833011;6555350,00;0;0,00;0;572142,00;1;53303,30;3;3342,60;90;163,50;182;95,10;209;53,50;2751;16,60;4403;12,80;9946;10,60;13883;9,20;59517;7,20;136073;4,00
2019-11-26;468989;3312287,50;0;0,00;0;203096,80;0;31535,70;0;2313,70;42;164,80;107;73,60;85;63,80;1851;12,60;1968;13,20;4261;12,00;9602;6,90;29257;7,10;62682;4,20
2019-11-22;641686;4832297,50;0;0,00;0;265646,80;0;41248,10;4;4323,30;62;175,40;102;122,30;139;59,90;1591;22,50;2620;14,90;5595;13,20;8367;11,90;37357;8,40;81613;4,70
2019-11-19;607696;4856337,50;0;122766852,00;0;394582,90;1;21208,30;4;2697,10;65;146,70;164;80,20;122;53,20;2277;15,80;3030;12,90;6368;11,00;11674;8,90;40605;7,50;89384;4,20
2019-11-15;798179;6556117,50;0;0,00;2;131335,00;3;33648,30;5;4448,20;95;180,20;184;119,90;251;57,80;2634;21,80;3701;15,10;8632;11,70;13460;11,70;53269;8,30;127178;4,10
2019-11-12;542359;4259300,00;0;0,00;1;217342,70;2;25310,80;0;2691,30;48;180,60;103;110,90;119;64,00;1806;18,60;2529;14,20;5193;12,40;9871;9,80;37427;7,60;76117;4,30
2019-11-08;769551;6199825,00;0;0,00;0;376337,40;0;43826,60;7;1602,70;83;129,80;324;60,40;208;52,20;4290;12,20;4214;11,30;8726;10,80;19739;7,40;57223;7,00;120830;4,10
