Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2016-12-30;658689;5239625,00;0;0,00;0;379409,60;0;37872,30;1;3087,40;87;154,50;159;96,30;145;58,10;1983;18,30;3253;13,00;6963;11,30;9985;10,10;44122;7,50;97712;4,20
2016-12-27;404080;2979067,50;0;25251858,00;2;251503,30;0;87866,90;2;6139,70;55;184,40;50;160,90;73;59,50;920;28,30;1635;15,80;4016;12,10;4470;15,30;22444;8,60;56149;4,20
2016-12-23;664173;5232450,00;0;0,00;0;603821,60;0;40181,90;1;2807,70;66;148,30;157;89,10;172;59,20;2510;16,10;2708;14,20;5836;13,20;14400;8,20;40611;7,90;81326;4,90
2016-12-20;460234;3501737,50;0;61653352,00;0;67191,00;1;14606,20;6;1599,40;73;72,20;125;77,90;146;35,50;1451;17,30;2936;8,60;5436;9,10;6685;10,80;38467;5,80;70500;3,80
2016-12-16;663935;5306030,00;0;0,00;1;201174,70;0;28113,50;1;4435,80;73;178,00;120;141,30;160;59,10;1762;24,80;2283;16,80;5827;12,70;9651;12,80;35541;9,10;87331;4,40
2016-12-13;430194;3167387,50;0;0,00;0;276224,80;1;96503,80;3;2950,10;41;199,40;131;85,10;67;76,20;2000;14,40;1704;15,80;3477;14,00;10784;7,30;26340;8,10;54981;4,70
2016-12-09;637505;5012280,00;0;0,00;1;138311,10;0;42952,30;3;2471,60;77;157,60;185;102,00;164;56,40;2267;17,70;3276;13,80;7136;12,00;11794;9,20;44828;7,60;94588;4,40
2016-12-06;407593;2958865,00;0;0,00;0;184977,10;0;21541,60;2;1960,30;44;118,40;126;64,50;97;39,50;1918;13,00;2059;10,80;4426;9,20;9550;7,80;27918;6,70;59725;3,80
2016-12-02;649529;5106667,50;0;29377167,00;0;565854,20;0;65896,90;1;6446,40;46;194,20;106;164,00;145;53,50;1308;28,80;2860;15,20;7519;10,20;6886;15,60;39769;8,70;103250;3,80
2016-11-29;407339;2944647,50;0;0,00;0;189176,20;1;58748,40;3;3918,40;33;211,30;89;127,40;69;73,80;1022;22,30;1505;16,60;3608;13,00;5660;11,70;24221;8,30;55911;4,20
2016-11-25;706672;5685695,00;0;30570889,00;0;209907,90;1;8889,00;2;2928,10;99;112,20;165;112,10;338;25,20;2012;22,30;3738;12,60;11667;7,40;9062;12,90;45953;8,20;141400;3,20
2016-11-22;462178;3449807,50;0;0,00;0;842897,40;0;65440,10;1;4364,80;36;204,80;81;124,70;94;74,30;1236;21,30;1649;16,70;3633;13,50;6741;11,00;25777;8,60;58671;4,50
2016-11-18;666107;5247995,00;0;0,00;0;571704,10;0;16644,50;4;2894,70;68;148,10;152;91,30;162;54,80;2247;16,50;3396;13,10;7292;11,70;11195;9,00;46694;7,40;99984;4,30
2016-11-15;441850;3224000,00;0;0,00;1;395179,00;0;61361,10;9;1637,10;46;165,30;140;63,50;77;65,10;2447;10,80;1718;14,20;3585;14,20;13065;5,50;26202;7,70;52553;4,90
2016-11-11;578656;4534177,50;0;0,00;1;180024,70;2;35939,80;5;3155,20;83;163,20;190;93,70;128;63,70;2563;16,30;2954;13,90;5748;12,90;13023;8,70;42773;7,40;81679;4,50
2016-11-08;482930;3576732,50;0;39336342,00;0;845567,80;0;65647,40;2;4013,70;42;177,70;95;97,50;98;68,00;1176;20,00;1979;14,40;3877;13,50;6749;11,00;29841;7,70;59892;4,70
2016-11-04;713063;5626077,50;0;0,00;1;299189,90;0;39819,80;2;2034,90;67;161,20;242;54,80;125;72,50;5340;8,80;3371;12,30;6278;12,90;26390;5,00;53839;6,50;104217;4,40
2016-11-01;393397;2880732,50;0;0,00;0;245644,50;2;19071,10;3;2209,30;42;144,20;102;85,30;110;48,30;1382;16,60;1833;13,30;4023;11,10;6843;9,40;24352;7,70;54568;4,20
2016-10-28;1058766;8651377,50;0;17375733,00;0;317750,60;0;46254,80;9;1616,00;126;144,90;428;64,30;230;53,70;5656;12,60;5475;12,40;11770;11,00;28811;7,20;78056;7,10;165330;4,10
2016-10-25;491363;3696557,50;1;50108729,00;0;156002,20;2;24223,10;2;2132,60;56;117,70;135;75,30;134;47,20;1807;15,60;2578;11,00;5287;10,50;8019;9,30;33935;6,70;70165;4,10
2016-10-21;684078;5394017,50;0;0,00;0;408989,50;0;28577,50;2;3882,80;60;176,20;88;130,80;140;65,30;1885;21,70;2671;15,90;6459;12,70;9423;11,90;41438;8,40;100297;4,30
2016-10-18;439949;3237390,00;0;0,00;0;0,00;0;177605,00;3;1893,50;48;124,40;116;76,80;114;44,80;1671;14,80;2077;11,90;4639;10,30;8502;8,40;30130;6,90;63862;4,00
2016-10-14;656678;5204182,50;0;0,00;1;258506,30;0;21503,20;3;2454,10;77;130,90;158;103,60;230;34,40;1910;20,80;3562;13,00;10184;8,70;9346;11,90;43143;8,00;123006;3,60
2016-10-11;781492;7188987,50;1;168085323,00;0;183627,40;0;35640,70;8;3122,30;118;143,20;233;110,30;284;46,00;2863;21,20;4736;13,50;11114;10,30;14768;11,60;60781;8,00;145757;4,00
2016-10-07;1022989;9537825,00;0;0,00;0;195998,00;4;26429,00;7;3364,60;166;134,00;269;110,50;418;39,00;3373;21,90;5980;13,00;15265;9,80;17437;12,00;80800;7,80;191397;3,90
2016-10-04;710788;6589742,50;0;0,00;1;225641,20;1;33443,70;5;3213,20;97;142,70;240;107,80;188;54,40;2940;20,40;4362;12,50;9572;11,00;14419;11,40;57497;7,70;130468;4,10
2016-09-30;1164447;11350185,00;0;0,00;1;404891,90;2;37721,50;9;3294,70;118;194,70;292;117,90;305;67,60;4133;21,00;6298;15,90;15246;12,70;21271;11,30;89256;8,80;209449;4,60
2016-09-27;394396;2841810,00;0;0,00;0;293260,30;0;29272,90;1;4772,70;25;199,40;48;170,10;89;54,40;782;28,40;1432;16,20;3792;10,80;4140;15,50;21018;8,90;56028;3,90
2016-09-23;607508;4090476,00;0;23850387,00;0;221259,60;1;40229,00;5;5268,00;70;232,90;122;123,00;170;56,80;2784;17,00;3081;16,20;5717;14,40;14694;8,70;43363;8,50;81731;4,50
