Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2007-12-28;784115;5777446,00;0;0,00;0;895837,70;1;152534,50;7;6809,50;75;350,50;121;158,30;265;99,60;4106;33,20;4150;28,10;6035;19,50;24397;11,40;63501;9,90;0;0,00
2007-12-21;856156;6307658,00;0;27716872,00;1;490129,40;4;59610,30;17;6082,60;339;208,50;501;100,40;418;91,10;8773;25,60;5426;27,60;12629;17,00;25478;12,40;102406;8,30;0;0,00
2007-12-14;774608;5614946,00;0;0,00;1;909402,20;1;387110,40;9;7900,20;121;265,80;189;134,30;303;96,20;4750;31,00;4455;28,30;6767;19,90;23989;11,50;69596;9,60;0;0,00
2007-12-07;846719;6189492,00;0;27552424,00;0;2902747,90;1;274584,20;6;7951,20;104;364,80;154;173,00;258;115,30;4694;38,30;4512;31,80;7510;22,10;25416;12,50;71710;10,90;0;0,00
2007-11-30;777707;5629094,00;0;0,00;0;1365675,20;0;110730,40;5;6437,80;138;233,60;186;110,90;322;89,00;5366;28,10;4591;26,70;8678;16,30;23910;11,80;75540;9,00;0;0,00
2007-11-23;843829;6173926,00;0;27375964,00;2;476990,20;0;135362,10;6;6106,50;157;252,90;190;115,40;403;85,10;5854;27,60;5456;25,20;8872;16,50;29243;10,80;80900;9,00;0;0,00
2007-11-16;774573;5615314,00;0;0,00;0;248016,40;1;86023,70;5;4982,00;120;229,10;245;84,70;366;85,20;6030;27,60;5134;27,00;11219;13,80;24381;12,40;79997;9,40;0;0,00
2007-11-09;798202;5805336,00;0;7500000,00;1;228706,60;0;59910,60;9;4597,60;134;175,60;195;103,80;356;70,70;6170;21,80;5113;22,20;7702;17,00;25767;10,30;86030;7,60;0;0,00
2007-11-02;863448;6459918,00;0;41136124,00;2;446822,60;0;55475,40;3;5660,70;123;264,10;166;120,00;328;93,90;5602;27,80;4572;28,70;8396;17,00;23490;12,70;86137;9,00;0;0,00
2007-10-26;841929;6156266,00;0;0,00;0;972073,30;0;103447,00;4;8693,00;89;339,40;138;139,20;296;110,10;4684;35,00;4436;31,60;7865;19,10;24787;13,20;72741;10,40;0;0,00
2007-10-19;782203;5685730,00;0;0,00;1;395784,60;1;98277,50;5;7692,90;110;314,80;164;152,70;275;109,90;5294;31,70;4080;30,80;7675;20,50;21370;12,90;77441;9,40;0;0,00
2007-10-12;837417;6096524,00;0;7500000,00;0;708593,30;1;114907,00;4;5984,70;99;266,90;113;131,20;273;94,40;4347;29,50;4046;30,10;5773;20,10;24768;12,40;66285;10,20;0;0,00
2007-10-05;816672;6053760,00;0;3000000,00;0;210776,60;1;33496,30;18;2861,90;140;175,10;199;92,70;516;53,20;5559;24,70;7112;17,60;7542;17,80;40201;7,80;79416;8,40;0;0,00
2007-09-28;1811212;17309370,00;0;0,00;1;9839058,70;0;129318,90;14;6435,60;259;307,60;337;160,50;870;89,10;14066;30,00;13664;26,00;20206;20,70;74805;11,20;222240;9,10;0;0,00
2007-09-21;867326;6352456,00;0;27247062,00;1;404590,40;0;100464,10;5;8085,60;96;345,40;119;157,70;271;107,80;4709;34,80;4861;30,00;7534;20,60;26885;12,40;77098;10,40;0;0,00
2007-09-14;775590;5572540,00;0;0,00;0;526366,10;0;82985,60;10;4200,60;150;167,90;193;78,80;421;63,50;6955;20,40;5676;21,70;9586;12,80;25264;10,90;86660;7,70;0;0,00
2007-09-07;764162;5511642,00;0;15000000,00;0;448821,80;0;127368,30;7;6133,30;87;330,50;141;177,50;506;72,10;5768;31,80;7891;17,20;7557;22,10;37699;7,00;81523;8,80;0;0,00
2007-08-31;851074;6263498,00;0;39496528,00;0;494054,40;0;210306,90;8;5615,60;132;247,10;153;139,20;357;79,40;6551;25,50;5867;23,80;8359;19,00;29401;10,40;97941;8,10;0;0,00
