Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2018-12-28;899769;7646177,50;0;0,00;0;515846,00;2;24029,20;2;4639,50;75;228,40;132;156,60;135;68,80;2141;27,70;3235;19,40;8502;13,00;11621;14,40;47711;10,40;134732;4,30
2018-12-25;621795;5067420,00;0;0,00;0;270734,20;0;50445,60;3;3524,90;55;188,20;187;90,60;120;63,60;2614;16,50;3158;13,90;6705;11,90;13494;8,90;44877;7,50;93368;4,30
2018-12-21;878081;7338820,00;0;0,00;1;489376,40;1;31085,80;3;2883,70;90;149,50;161;116,60;162;63,80;2775;19,90;4413;13,70;8855;12,60;14889;10,50;64917;7,50;129637;4,50
2018-12-18;585326;4572697,50;0;0,00;0;333781,20;1;46644,80;4;2074,10;71;172,10;158;82,20;160;59,60;2374;13,60;2729;13,90;5704;12,80;12550;7,10;40063;7,40;81566;4,60
2018-12-14;754846;6053505,00;0;0,00;0;247404,10;1;26192,30;1;4546,00;78;186,70;139;138,80;257;53,60;1857;25,30;3628;16,00;9134;11,80;9624;13,90;47655;9,00;119994;4,30
2018-12-11;539181;4069387,50;0;0,00;0;180282,70;0;20994,90;3;1770,50;94;95,30;151;70,60;217;33,90;1877;14,80;3671;9,60;7966;8,60;8384;9,80;42509;6,30;91564;3,70
2018-12-07;734463;5805017,50;0;0,00;0;293511,30;0;14392,00;3;4053,00;66;188,70;127;138,30;173;56,70;1836;25,60;2887;16,20;7963;11,30;9690;13,50;41979;9,00;113684;4,00
2018-12-04;524386;3869127,50;0;0,00;0;840782,90;0;48956,90;0;5321,40;30;193,80;95;125,80;69;80,40;1339;21,70;2002;15,50;4267;14,40;7461;11,10;32698;7,80;65427;4,70
2018-11-30;860515;6907720,00;0;0,00;0;125154,20;2;10090,30;7;3290,30;129;124,00;221;109,50;343;28,30;2615;21,80;4358;13,10;13365;7,40;12397;12,50;54699;8,40;159448;3,30
2018-11-27;610185;4595745,00;0;0,00;1;386424,00;1;36001,00;3;3521,80;66;162,20;135;111,20;163;58,10;1820;20,40;2618;14,20;6358;11,20;9642;11,00;38962;7,80;90579;4,00
2018-11-23;656175;4945895,00;0;0,00;0;202600,40;1;23593,90;0;2564,50;74;120,20;149;97,10;190;43,10;1915;19,20;3069;12,00;7329;9,60;9726;11,00;41199;7,30;97925;3,80
2018-11-20;421389;2932687,50;0;0,00;0;353795,50;0;82403,00;3;5757,90;25;191,50;50;148,10;86;61,70;871;28,10;1381;17,10;3601;13,00;4263;15,00;20598;9,20;50906;4,60
2018-11-16;680104;5234527,50;1;50340148,00;1;223599,60;1;52078,90;3;5094,60;34;210,30;108;137,60;145;50,60;1705;24,10;2576;15,80;7877;9,80;8761;13,20;37242;9,00;113448;3,60
2018-11-13;465742;3322197,50;0;0,00;0;265931,30;0;30969,20;2;1854,80;66;117,90;104;71,50;148;43,60;1511;13,50;2544;10,40;5586;9,40;7645;8,00;33832;6,40;70847;3,80
2018-11-09;671879;5101965,00;0;0,00;0;283167,50;1;32976,40;3;3910,20;61;193,30;105;166,30;148;60,70;1410;28,30;2458;18,30;7251;12,00;7425;15,20;33294;10,20;102134;4,20
2018-11-06;447840;3155202,50;0;0,00;0;785872,50;0;61012,80;4;3315,90;41;191,30;94;107,90;63;72,40;1330;19,50;1546;16,70;3226;14,70;7925;9,50;23965;8,80;49109;5,10
2018-11-02;689746;5580032,50;0;87021202,00;0;616939,40;2;22106,40;8;2868,70;85;142,10;169;100,00;211;54,80;2394;18,20;3630;12,60;8361;11,30;11725;10,50;49148;7,30;110918;4,10
2018-10-30;510332;3911037,50;0;0,00;2;233212,40;0;21727,10;2;3428,10;45;191,40;99;135,50;164;40,20;1323;25,10;2119;16,50;7202;8,90;6638;13,40;28408;9,30;89786;3,60
2018-10-26;719203;5717047,50;0;0,00;1;86769,50;1;25721,30;4;3145,20;79;143,80;222;90,40;163;52,80;2662;16,50;3377;13,50;7128;11,60;13618;8,90;48357;7,60;102777;4,30
2018-10-23;498691;3686117,50;0;0,00;0;867769,10;3;40422,60;2;6178,70;37;190,00;70;148,60;117;61,30;1183;25,10;2262;13,80;4893;11,10;5685;14,30;29268;8,30;69423;4,10
2018-10-19;698087;5380655,00;0;0,00;0;0,00;0;692976,80;2;3370,10;36;240,00;102;162,40;99;72,60;1575;27,70;2288;17,90;5253;14,50;8341;14,50;37626;9,00;90672;4,60
2018-10-16;477418;3412177,50;0;0,00;0;197241,70;2;30626,50;2;2996,00;51;186,50;75;119,40;103;59,70;1363;21,20;1822;16,40;4276;13,00;6870;10,80;25433;9,00;59799;4,70
2018-10-12;665260;5032622,50;0;0,00;0;210510,90;0;35021,70;10;1965,70;72;147,30;230;66,90;187;52,20;3108;12,60;3368;12,70;7364;11,20;15325;6,80;46163;7,10;96920;4,20
2018-10-09;455430;3202670,00;0;0,00;0;378735,40;0;58807,80;3;5393,30;37;198,80;61;144,80;83;68,10;995;24,20;1639;16,50;4042;13,10;5337;12,40;24225;8,70;58517;4,50
2018-10-05;680005;5198777,50;1;17000000,00;1;156384,60;1;23178,70;7;3897,20;77;135,70;138;116,90;173;42,40;1728;22,80;2990;13,50;7139;10,50;8843;12,10;39924;8,20;94840;4,20
2018-10-02;843095;7562672,50;0;162403002,00;2;90587,70;4;11956,00;4;2618,50;183;104,70;237;95,40;467;37,70;2894;19,90;5731;11,90;13249;10,00;14304;11,20;65712;7,60;150405;4,20
2018-09-28;1045320;9421385,00;0;0,00;1;368793,10;1;71580,10;7;2838,80;162;131,80;347;86,10;256;54,70;5139;15,60;6441;12,00;12414;11,40;25777;8,70;88647;7,10;173025;4,30
2018-09-25;762678;6713915,00;0;0,00;0;678240,50;3;35104,40;1;2809,70;77;153,40;221;79,40;160;59,00;3044;15,40;4067;13,00;8349;11,80;16518;8,30;55750;7,50;116946;4,40
2018-09-21;1286916;12047952,50;0;0,00;0;297831,30;2;23122,70;10;2101,80;204;119,10;376;97,10;463;44,80;5022;18,70;8550;11,20;17556;10,20;24234;10,80;116484;6,70;241144;4,00
2018-09-18;469215;3355005,00;0;0,00;0;204869,90;1;95433,10;0;5186,50;41;187,80;83;145,30;75;60,60;1117;27,60;1576;16,80;4310;11,20;6040;14,70;24400;9,00;64905;4,00
2018-09-14;726950;5601912,50;0;0,00;0;1067133,30;1;22595,20;1;4192,10;55;203,20;119;130,50;114;75,80;1909;21,90;2839;15,40;5537;14,70;10644;11,10;45774;7,90;89555;4,80
2018-09-11;429438;3024192,50;0;0,00;0;185498,00;1;43204,60;0;4448,90;42;165,40;76;128,00;95;64,40;1028;22,40;1878;14,30;3571;13,60;5739;11,40;25927;7,90;51865;4,80
2018-09-07;607092;4583812,50;0;0,00;0;248009,90;0;25673,00;1;3645,70;73;151,00;111;101,90;135;55,60;1859;19,00;2945;11,90;6553;11,10;9405;10,40;38995;7,60;87987;4,10
2018-09-04;456072;3274457,50;0;45447459,00;0;814822,10;0;21086,80;4;3315,20;42;172,20;108;123,10;82;53,00;1238;22,50;1839;14,80;4115;11,50;6565;12,10;25592;8,40;61112;4,10
2018-08-31;620357;4739952,50;0;0,00;2;262978,40;2;7000,00;5;3744,90;45;234,50;158;101,70;85;82,40;2229;16,80;2452;16,50;5040;14,60;12190;8,50;37752;8,50;78740;4,80
2018-08-28;415468;2937190,00;0;0,00;0;146872,50;0;24434,40;1;5228,80;24;189,40;49;156,60;69;64,20;735;29,60;1284;17,40;3426;13,40;3894;15,30;19483;9,80;49736;4,70
2018-08-24;582543;4412770,00;0;0,00;1;250749,90;0;46722,00;1;5441,20;21;242,70;67;147,00;123;67,30;1257;25,40;1901;19,30;5160;13,20;7055;13,60;28410;10,20;79152;4,40
2018-08-21;560972;4568900,00;1;107839228,00;1;193673,80;0;54130,60;1;8274,00;38;261,90;68;156,10;114;65,00;1219;27,80;1900;19,10;5693;12,90;6675;14,60;29773;10,30;87014;4,30
