Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2021-12-31;723011;5533545,00;0;17571602,00;0;70556,70;0;15312,30;5;1059,80;93;86,40;171;52,20;163;32,10;2387;13,40;3608;9,70;6770;9,70;12169;6,50;50279;4,90;96800;4,20
2021-12-28;506378;3721185,00;0;79411191,00;0;123889,40;1;7238,70;1;1554,90;57;97,10;99;69,30;148;26,00;1287;17,90;2423;10,10;5958;7,00;6402;8,80;31469;5,40;76659;3,30
2021-12-24;745331;5811460,00;0;0,00;1;437555,90;1;29218,20;1;1990,70;51;162,50;126;75,00;152;52,70;2002;16,00;2702;13,50;6528;10,90;11213;7,20;42109;6,10;99527;4,30
2021-12-21;491143;3509350,00;0;0,00;0;65400,70;0;11463,90;2;1020,20;63;84,70;82;56,40;97;32,30;1353;14,20;2493;8,60;4783;8,60;7052;7,00;35136;4,60;66638;3,90
2021-12-17;653775;4927865,00;0;0,00;0;0,00;1;181673,90;3;1116,60;43;131,40;151;47,50;84;52,00;2451;10,70;2527;11,40;4892;10,80;13473;4,90;39937;5,30;79529;4,30
2021-12-14;457485;3171272,50;0;0,00;0;268761,20;0;25125,50;1;1397,40;24;134,70;79;59,60;76;47,70;1251;13,30;1624;12,40;3536;10,90;7145;5,80;25755;5,60;52898;4,30
2021-12-10;626661;4660785,00;0;0,00;0;702913,60;2;18253,60;4;1003,30;55;109,80;177;41,20;145;37,40;2830;10,20;2760;10,70;6358;9,20;14869;4,90;39242;5,40;87111;4,00
2021-12-07;680522;5517740,00;0;143469842,00;0;418527,20;0;24454,10;2;1603,50;60;150,80;125;71,20;106;52,20;1957;15,90;2800;12,90;5910;11,10;11049;7,10;39461;6,10;87808;4,60
2021-12-03;1064061;9297282,50;0;0,00;0;197329,20;0;30746,00;2;1915,30;96;154,20;182;80,10;224;49,10;2801;18,80;4566;12,90;10272;10,40;15363;8,80;70495;6,00;162178;4,10
2021-11-30;452901;3141600,00;0;0,00;0;523711,80;0;40800,00;1;1657,50;33;142,40;82;70,70;96;47,20;1109;16,30;1741;12,60;3870;10,10;5911;7,50;25579;5,80;57676;4,00
2021-11-26;864917;7301847,50;0;162289050,00;1;152675,60;0;35682,80;1;1852,30;83;154,60;181;62,80;143;52,20;3529;12,30;3590;13,70;7969;11,50;22686;4,70;53664;6,10;117795;4,60
2021-11-23;631365;5040502,50;0;0,00;0;397120,90;2;23203,40;1;1445,40;64;128,10;122;62,60;152;43,40;1821;15,40;2466;12,20;5268;10,40;9555;7,00;38293;5,80;85591;4,30
2021-11-19;797961;6524900,00;0;0,00;0;493896,80;1;46172,70;5;1467,50;56;154,30;182;57,70;177;43,40;2994;13,40;3463;12,50;7398;10,70;16911;6,00;48822;6,00;106664;4,40
2021-11-16;562703;4342265,00;0;0,00;0;180375,10;1;18736,20;0;1694,20;67;104,70;112;59,20;158;39,30;1542;14,90;2831;9,80;5679;9,20;8583;7,10;39645;4,90;78765;3,90
2021-11-12;712476;5662682,50;0;0,00;0;294755,30;0;20666,70;2;1693,90;70;134,90;186;55,60;128;49,30;2896;12,10;3136;11,80;6516;10,20;14305;5,80;47243;5,50;96361;4,10
2021-11-09;525187;3871865,00;0;0,00;1;651028,50;1;19019,50;2;2060,50;51;148,40;95;64,40;94;43,90;1398;15,60;1985;12,00;5170;9,20;7546;7,20;29848;5,70;71498;3,90
2021-11-05;683318;5257872,50;0;0,00;0;161374,40;0;17143,50;2;1957,90;61;122,20;108;69,10;155;36,40;1675;16,80;2674;11,60;6546;8,70;9038;7,90;39518;5,80;97487;3,80
2021-11-02;464246;3301700,00;0;0,00;0;286677,10;0;14889,10;2;1814,70;54;115,40;70;62,20;124;37,70;1167;15,70;2120;11,10;4911;8,70;6397;7,60;28768;5,40;65145;3,70
2021-10-29;686014;5220732,50;0;0,00;0;155676,20;0;30320,00;3;1049,30;54;120,20;162;48,80;117;44,00;2683;11,40;2668;11,10;5598;10,00;15053;5,20;42883;5,40;88783;4,10
2021-10-26;474785;3330952,50;0;0,00;0;181891,50;0;21255,50;2;1727,10;36;98,20;78;69,30;78;44,10;1139;16,30;1829;11,60;4032;9,60;6264;7,70;28036;5,40;61376;3,90
2021-10-22;633553;4711842,50;0;0,00;0;359277,20;0;13994,80;1;2011,80;60;111,30;99;69,20;155;31,30;1507;17,10;2839;11,00;7175;7,70;7765;8,70;39412;5,60;99036;3,50
2021-10-19;456055;3163852,50;0;0,00;0;135573,40;0;25348,50;5;1462,10;27;162,60;78;78,30;57;54,20;1104;17,10;1305;14,60;3192;11,70;6212;7,40;21958;6,50;49568;4,50
2021-10-15;1305310;12233410,00;0;220000000,00;0;4608445,70;1;33931,70;5;1416,40;109;155,20;315;60,60;274;52,50;4883;13,70;5903;12,60;13035;10,90;28416;6,10;93524;5,70;201872;4,30
2021-10-12;1140600;10656340,00;0;0,00;0;1315699,90;0;14703,30;4;1467,80;109;134,50;249;73,40;279;39,40;3393;17,50;5184;12,30;13148;9,10;18530;8,20;78425;6,00;194137;3,80
2021-10-08;1290667;12071182,50;0;0,00;1;166984,90;4;15271,40;10;1402,60;149;130,20;332;52,90;313;46,80;5402;12,00;6447;11,50;14472;10,20;29424;5,40;98586;5,40;209345;4,20
2021-10-05;858851;7486642,50;0;0,00;0;1033822,90;0;60405,30;5;1233,70;71;141,70;199;52,30;168;50,10;3309;11,60;4018;11,40;8397;10,60;18135;5,50;62106;5,20;127045;4,20
2021-10-01;985531;8716730,00;0;0,00;0;174231,40;3;17815,30;5;1644,10;120;129,00;218;68,00;271;40,40;2884;16,70;4324;12,40;10710;9,10;16129;8,00;63757;6,00;157415;3,80
2021-09-28;730275;6210727,50;0;0,00;0;225472,90;0;210786,90;3;1396,90;54;125,40;213;51,80;176;42,00;3023;11,90;3762;10,20;8127;9,00;14939;5,90;56883;4,90;122967;3,70
2021-09-24;1096288;9970765,00;0;0,00;0;259151,20;0;23295,30;7;1849,50;120;130,90;232;72,30;351;32,80;3312;17,70;5312;12,30;14606;8,00;17047;8,60;72842;6,30;200989;3,50
2021-09-21;468437;3279750,00;0;0,00;0;274869,50;0;42827,60;3;1333,90;46;118,70;116;46,00;65;46,80;1725;11,00;1751;11,60;3870;10,10;9488;5,00;25923;5,50;56533;4,10
