Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2012-12-28;719006;5151262,00;0;0,00;1;351110,30;1;53198,50;5;4876,50;79;232,70;151;130,30;306;43,80;4805;12,80;4273;13,90;7095;13,40;25209;6,90;64921;7,10;107389;4,30
2012-12-25;354984;2371680,00;0;0,00;0;345171,60;0;63920,60;2;6689,30;30;205,70;77;96,40;57;67,90;1071;21,90;1791;14,20;3938;11,00;5609;11,80;24872;8,20;57626;3,90
2012-12-21;896321;6832266,00;0;101835641,00;3;215116,30;3;39437,90;2;6465,20;123;221,60;245;111,80;227;73,00;3104;23,30;4937;15,20;10555;12,20;16327;12,60;72297;8,20;155585;3,90
2012-12-18;487500;3480430,00;0;0,00;0;360313,60;1;96083,60;2;4619,40;50;203,20;79;118,30;169;52,00;2957;15,50;2431;14,10;4332;13,40;15924;8,00;40808;7,50;68250;4,40
2012-12-14;780715;5737878,00;0;0,00;0;495632,20;0;41302,60;3;5696,90;68;243,30;173;113,90;176;83,70;2249;26,00;4151;15,50;8231;12,30;12461;13,80;58255;8,30;123492;3,90
2012-12-11;460111;3191344,00;0;0,00;1;432596,90;0;144198,90;2;5030,10;62;209,50;107;98,00;150;62,90;1994;19,40;2655;14,20;5201;11,30;10323;10,10;37373;7,90;71646;4,00
2012-12-07;746191;5398312,00;0;0,00;0;458225,90;0;55542,50;4;3916,40;92;196,80;210;109,40;325;47,30;4905;14,80;4825;13,50;7484;13,10;25430;7,80;66183;7,30;108336;4,40
2012-12-04;434303;2924864,00;0;0,00;0;602939,70;1;66993,30;1;4276,10;57;181,40;97;95,00;148;52,40;2135;16,80;2533;12,50;4642;11,20;10564;9,30;37246;7,10;68025;3,80
2012-11-30;746922;5270918,00;0;0,00;1;222092,80;0;84606,70;5;4626,90;76;191,50;144;110,10;187;58,70;3066;18,90;4232;13,00;7789;12,10;16752;10,50;63357;7,10;115834;4,00
2012-11-27;413219;2699870,00;0;0,00;0;224393,10;1;41554,20;3;3528,10;39;175,30;94;84,10;96;61,00;1488;19,30;1910;13,90;4034;11,60;8106;10,10;28888;7,70;57813;4,00
2012-11-23;696920;4881904,00;0;0,00;0;152903,30;4;37376,30;7;2355,60;111;118,80;198;76,30;237;41,10;3551;14,80;4763;10,50;7807;10,70;17123;9,30;59731;6,70;103531;3,90
2012-11-20;401129;2651470,00;1;22756968,00;1;1163545,00;0;55406,90;8;1292,80;46;234,00;90;131,90;89;79,70;1376;24,40;1663;17,80;3552;14,60;7339;12,50;25804;9,20;52693;4,60
2012-11-16;715292;5053746,00;0;0,00;1;224753,30;0;46103,20;7;3444,40;80;178,30;144;90,40;238;49,60;3494;15,80;4114;11,90;7576;11,00;18079;8,90;60155;7,00;108508;3,90
2012-11-13;764399;6202310,00;0;169837010,00;0;121209,10;1;33938,50;12;2438,10;146;148,80;236;83,30;370;42,10;4807;14,90;4975;12,20;9653;10,60;24056;8,80;73268;7,20;140366;3,80
2012-11-09;1053965;8487832,00;0;0,00;0;336582,10;0;72124,70;12;3658,50;165;195,70;279;106,00;393;54,40;5403;18,40;8249;11,70;14677;11,20;26797;10,20;106806;6,90;184515;4,00
2012-11-06;656967;5123198,00;0;0,00;0;1016014,10;1;48381,60;4;4770,00;78;238,70;150;118,30;227;62,90;3236;18,80;3318;16,20;6799;13,20;16880;9,70;50779;8,40;107017;4,10
2012-11-02;855994;6743520,00;0;0,00;2;226567,00;2;55383,00;1;4032,70;150;157,30;227;91,20;270;52,40;4099;17,90;5926;11,30;10330;10,90;20697;10,30;83070;6,70;148158;3,80
2012-10-30;546223;4111704,00;0;0,00;0;277226,20;1;61605,80;6;4544,60;59;237,30;150;117,40;153;64,20;2327;20,90;3326;14,10;6112;12,90;11826;11,10;49654;7,50;87491;4,20
2012-10-26;763833;5768912,00;0;0,00;0;545517,10;0;66123,20;4;5348,20;127;179,30;243;88,30;328;61,20;3525;20,40;5625;12,10;10967;10,10;17972;11,20;70469;7,30;141174;3,60
2012-10-23;420903;2976486,00;0;0,00;0;337503,80;0;90001,00;3;4787,20;53;225,50;107;100,60;118;75,40;1430;24,40;2241;16,40;4819;12,30;7028;13,00;30658;9,10;66092;4,10
2012-10-19;739613;5433276,00;0;0,00;0;655940,10;1;65594,00;4;8199,20;99;221,90;245;103,70;170;83,70;2243;27,00;4002;16,90;9071;13,00;11846;14,20;51342;9,50;115717;4,40
2012-10-16;406023;2780158,00;0;0,00;0;405752,60;0;33812,70;1;3559,20;37;284,40;64;140,10;119;63,50;1906;18,30;1728;18,40;3427;15,10;11979;8,60;25579;9,40;51648;4,70
2012-10-12;733806;5281650,00;0;0,00;0;304832,20;0;121932,80;9;3544,50;64;249,50;146;109,00;349;51,50;5075;14,80;4271;15,20;8192;12,50;26768;7,70;61648;7,90;119045;4,00
2012-10-09;393572;2618372,00;0;0,00;0;113637,10;0;22281,80;2;3507,30;74;114,30;137;69,60;103;54,80;1488;18,70;2855;10,00;4902;9,60;7479;11,10;34811;6,50;62706;3,70
2012-10-05;740132;5289420,00;0;0,00;0;296794,70;2;45660,70;4;3157,30;105;145,40;176;86,10;236;49,90;3231;18,40;5378;10,20;8701;10,70;15814;10,90;75644;6,20;120302;3,80
2012-10-02;380794;2511454,00;0;0,00;0;180306,90;0;51516,20;1;3836,30;37;160,60;64;103,30;92;66,40;1218;21,60;1885;13,20;3188;13,30;6824;11,20;29368;7,40;49089;4,40
2012-09-28;1113743;9565520,00;0;100000000,00;1;163925,60;4;31727,50;7;4639,40;153;201,30;300;104,40;364;57,70;5739;18,10;6717;14,60;13178;12,70;31000;9,70;104976;7,80;205799;4,10
2012-09-25;383206;2551666,00;0;0,00;0;1119328,80;1;31092,40;0;7175,10;34;237,20;60;114,50;92;71,70;1297;22,00;1741;15,60;3909;12,00;7077;11,60;27398;8,20;59720;3,90
2012-09-21;716478;5088480,00;0;0,00;0;345710,40;1;82312,00;3;6402,00;75;262,30;193;117,10;146;86,60;2136;26,10;3341;17,30;7648;13,60;11407;13,40;49843;9,10;112514;4,30
2012-09-18;362513;2362404,00;0;0,00;0;513168,70;0;85528,10;0;6335,40;34;273,10;53;161,60;88;65,40;1511;17,00;1528;16,70;2786;16,20;8824;8,20;27502;7,80;49150;4,60
2012-09-14;688089;4881950,00;0;26580854,00;1;193014,20;0;38602,80;4;2757,30;120;142,40;163;83,90;249;44,10;3458;14,60;4570;10,80;8125;10,60;17531;8,40;64929;6,50;114544;3,90
2012-09-11;367263;2404718,00;0;0,00;0;150406,50;1;26996,00;3;3509,40;55;183,20;95;96,60;110;56,90;1509;18,10;2073;14,10;3698;12,40;8165;9,60;26867;7,90;50134;4,20
2012-09-07;717552;5167784,00;0;47319633,00;0;267078,50;1;103863,80;2;4210,60;80;216,70;123;115,70;253;49,40;3832;15,70;3694;15,00;7403;12,50;20275;8,60;54507;8,00;109230;4,10
2012-09-04;398219;2672490,00;0;0,00;1;295265,80;0;98421,90;4;5964,90;45;250,30;74;114,50;94;77,90;1471;23,00;1929;15,50;3857;12,60;7756;12,20;30690;8,00;62489;3,90
2012-08-31;698115;4974614,00;0;0,00;0;599110,40;1;74888,80;0;5651,90;50;242,90;118;119,90;171;83,70;2092;25,50;3107;16,60;7112;13,00;11354;13,20;47684;8,80;107239;4,20
2012-08-28;370908;2431068,00;0;0,00;0;359462,10;1;44932,70;6;4279,30;40;214,20;75;117,20;121;64,00;1433;19,80;1949;14,20;3276;13,10;7270;10,40;28556;7,60;47871;4,40
2012-08-24;723672;5237382,00;0;47570390,00;0;315732,50;0;57405,90;15;1715,90;180;135,70;242;80,80;632;25,30;7258;9,60;6159;10,40;10823;10,10;32142;5,80;71474;6,50;129722;3,80
2012-08-21;413753;2808766,00;0;0,00;0;601468,40;0;400978,90;2;5569,10;56;227,20;95;128,30;123;68,60;1718;20,20;2132;14,70;4042;13,60;8781;10,60;33360;7,50;62182;4,20
2012-08-17;675941;4869564,00;0;0,00;2;198691,80;1;99345,90;8;3137,20;75;210,30;162;107,10;360;43,10;5466;13,40;4229;14,00;7831;12,10;26695;7,50;60582;7,70;111039;4,00
2012-08-14;415263;2795830,00;0;0,00;0;601187,40;0;57255,90;1;6910,20;36;292,70;78;140,20;113;62,30;1100;28,30;1572;19,50;3383;14,70;6297;14,20;24275;10,00;55436;4,50
2012-08-10;1722589;15034588,00;0;190000000,00;0;2640734,20;4;66975,10;6;6753,70;199;240,40;514;107,90;441;78,70;7229;24,20;9712;15,80;21500;12,10;37702;13,00;151719;8,40;336565;3,90
2012-08-07;1191362;10169560,00;0;0,00;0;2318241,10;1;54277,30;4;6194,70;219;225,30;380;115,30;335;74,80;5178;22,60;7376;15,60;13974;13,70;29203;11,50;109741;8,10;202438;4,40
2012-08-03;1139388;9304334,00;0;0,00;1;691478,20;1;104769,40;5;5649,30;120;269,70;209;137,10;307;73,90;5068;21,90;6022;17,30;11741;14,70;29013;10,80;94880;8,90;180988;4,60
2012-07-31;663197;5284364,00;0;0,00;1;384462,00;0;64077,00;1;6007,20;82;259,10;186;135,20;175;74,90;2550;22,40;3485;16,30;6693;14,60;14392;11,50;54536;8,30;103090;4,60
2012-07-27;844739;6657726,00;0;0,00;0;275299,90;0;58730,60;1;5206,60;93;236,10;209;105,20;194;69,60;2936;21,40;4789;15,40;10228;11,90;15834;11,50;70187;8,20;156722;3,80
2012-07-24;502949;3853812,00;0;0,00;0;541281,60;0;60142,40;5;4365,10;50;234,40;165;93,40;123;70,90;1861;23,20;2424;16,60;6274;10,90;9959;12,30;35616;9,30;91687;3,70
2012-07-20;816502;6235924,00;0;0,00;0;330815,60;0;110271,80;3;6541,50;65;220,40;201;96,70;169;82,90;2655;25,20;3959;15,40;9148;11,60;12921;14,30;60911;8,50;142352;3,80
2012-07-17;454961;3314048,00;0;0,00;1;699301,30;0;46620,00;1;8325,00;27;303,00;83;123,60;86;89,30;1323;27,40;1994;18,00;4850;13,00;7595;14,00;31812;9,30;74205;4,10
2012-07-13;885293;6528278,00;0;0,00;0;230432,80;0;59085,30;7;4129,60;89;224,10;174;113,40;284;55,40;4492;16,70;4240;15,90;8808;13,50;24283;8,70;65008;8,40;131834;4,30
2012-07-10;409445;2872890,00;0;0,00;0;413089,10;0;41308,90;2;5037,60;50;205,10;87;108,20;134;64,50;1752;20,20;2331;14,50;4641;12,40;8445;11,10;32366;7,90;64351;4,10
2012-07-06;704561;5154962,00;0;0,00;0;457323,80;0;152441,20;4;6351,70;86;283,10;169;141,70;153;82,70;2538;24,40;3246;19,40;6164;16,20;13938;11,60;49405;9,60;99307;4,80
2012-07-03;387087;2644430,00;0;0,00;0;283044,10;1;34308,30;1;3699,90;56;154,70;95;75,30;149;49,30;1920;16,10;2253;12,20;4570;10,30;9362;9,00;33868;7,00;64131;3,70
2012-06-29;706797;5112746,00;0;0,00;1;341031,20;5;29915,00;3;4899,80;100;194,40;305;66,30;191;72,10;2446;24,20;4040;15,20;12028;9,10;11761;13,50;51774;9,00;144201;3,40
2012-06-26;376313;2514536,00;0;0,00;0;517206,60;0;57467,40;3;5387,50;38;202,40;84;82,20;60;83,40;1015;26,70;1674;14,60;4228;9,70;5507;14,50;24263;8,50;57287;3,50
2012-06-22;676853;4808670,00;0;0,00;0;0,00;0;363305,80;3;4954,10;62;245,70;136;134,80;269;44,80;5076;12,00;3177;16,50;6203;14,90;29443;5,80;53150;8,00;102451;4,50
2012-06-19;361268;2381306,00;0;15000000,00;0;510269,00;0;37797,70;3;4859,70;48;179,30;95;86,30;85;67,70;1347;22,00;1852;14,00;3867;11,90;6951;12,10;27256;7,70;55795;3,90
2012-06-15;725641;5206764,00;0;13414228,00;0;295711,30;0;34789,50;3;2257,30;89;187,40;175;101,10;369;34,90;5820;11,00;4028;13,60;7775;12,20;30537;5,90;60173;7,50;114484;4,20
2012-06-12;379605;2528698,00;0;0,00;0;1096061,40;0;52193,40;2;5892,80;44;214,50;74;90,60;59;94,40;905;28,70;1668;15,90;3743;11,30;4942;15,20;23194;8,90;55687;3,80
2012-06-08;1202242;9818126,00;1;79026422,00;0;144240,30;0;30366,30;9;4507,50;164;185,60;377;82,00;259;73,30;4513;23,30;6994;14,50;16304;10,80;23700;12,60;97327;8,40;227843;3,70
2012-06-05;658558;5269310,00;0;0,00;0;373759,10;0;106788,30;4;4791,70;87;206,30;161;114,20;212;68,40;2643;22,50;4294;14,70;7756;13,40;13894;11,90;57534;8,30;106863;4,50
2012-06-01;940889;7426598,00;0;0,00;1;473810,30;2;67687,10;5;6768,70;107;221,90;216;97,20;186;83,50;2826;27,40;4749;15,80;11207;11,40;15801;14,40;71750;8,70;170078;3,80
2012-05-29;468560;3603712,00;0;0,00;0;169380,20;2;20164,30;2;5428,80;109;139,20;216;66,80;102;72,00;1678;23,70;3341;12,00;7441;9,20;8467;13,20;42175;7,40;92798;3,50
2012-05-25;771633;5864968,00;0;0,00;1;248846,70;0;67867,20;10;3010,20;102;196,20;213;97,50;320;47,30;4897;15,40;3861;15,10;7925;12,70;28340;7,90;60691;8,20;115732;4,30
2012-05-22;433971;3130574,00;0;0,00;0;458062,30;1;45806,20;0;6940,30;43;261,90;74;148,50;95;75,50;1573;22,20;1911;17,50;3355;15,90;9518;10,70;30406;8,90;56757;4,80
2012-05-18;692344;5133962,00;0;0,00;0;522515,80;0;69668,70;4;5048,40;74;232,40;197;113,10;169;76,50;2062;24,80;3511;16,30;7983;13,00;10791;13,70;48890;8,90;115341;4,20
2012-05-15;402670;2798460,00;0;0,00;0;287265,40;0;27358,60;3;2697,30;71;147,20;98;90,80;184;36,80;2715;13,00;2584;11,10;4288;11,30;13607;7,60;36610;6,50;60982;4,00
2012-05-11;689250;4950592,00;0;0,00;0;247546,50;0;64178,70;3;5776,00;80;246,70;183;102,70;172;83,30;2161;26,10;3784;16,10;8730;11,50;10592;14,20;54418;8,70;124087;3,70
2012-05-08;357999;2372764,00;0;0,00;0;164312,00;0;82156,00;3;1786,00;41;186,90;55;111,20;140;41,00;2192;13,00;1889;13,70;3250;13,60;11586;7,00;27892;7,60;47335;4,50
2012-05-04;684260;4830558,00;0;0,00;0;329061,70;0;137109,00;2;6529,00;37;279,00;93;138,80;147;80,20;2006;24,70;2918;17,50;5722;14,90;11988;12,00;46757;9,10;89095;4,60
2012-05-01;271118;1758558,00;0;0,00;0;425249,20;1;31499,90;0;5062,40;22;232,70;57;94,10;47;89,10;704;27,00;1210;15,50;2871;10,50;3554;14,60;17185;8,40;42738;3,50
2012-04-27;691443;4971228,00;0;44407281,00;1;432746,40;0;144248,80;6;3898,60;74;274,90;144;122,50;221;64,00;2972;20,50;3121;17,10;6824;13,40;16246;10,30;48286;8,80;102164;4,30
2012-04-24;348693;2312516,00;0;0,00;0;341799,60;1;113933,20;0;5893,00;32;246,30;62;125,30;117;51,20;2183;13,60;1859;15,10;3022;14,40;11219;6,80;28702;7,60;47320;4,50
2012-04-20;682938;4834968,00;0;0,00;3;275784,50;3;45964,00;3;7879,50;60;303,90;166;102,20;106;101,70;1828;29,60;2324;22,10;7735;11,60;10394;15,10;34194;11,80;118470;3,70
2012-04-17;322968;2094838,00;0;0,00;0;945977,50;0;63065,10;1;6306,50;35;255,40;44;118,50;61;87,80;776;28,50;1229;18,20;2778;13,10;4217;15,20;19548;9,70;47955;4,00
2012-04-13;870793;6195440,00;0;53763217,00;2;142395,40;0;27383,70;9;2524,70;144;147,30;243;91,90;438;39,40;6109;12,80;5989;12,00;9323;12,30;30569;7,00;82585;6,90;132998;4,20
2012-04-10;322588;2169204,00;0;0,00;1;169293,10;0;67717,20;2;3680,20;26;273,30;32;142,50;129;52,10;1745;14,70;1515;14,90;2622;14,50;9895;7,50;25607;7,40;44154;4,40
2012-04-06;701393;4994008,00;0;0,00;1;236476,90;1;42444,50;5;5517,70;92;184,20;117;101,60;176;67,70;2299;21,70;3419;13,60;5845;13,00;13015;11,70;52820;7,50;89415;4,40
2012-04-03;353380;2313696,00;0;0,00;0;335817,60;0;25832,10;3;5088,10;46;192,80;104;69,70;59;90,00;824;29,00;1738;14,30;4514;9,60;4410;15,80;22943;8,50;58040;3,60
2012-03-30;644205;4546122,00;0;0,00;0;317003,50;0;58704,30;2;5080,10;58;257,90;148;95,30;105;88,60;1744;28,00;2589;17,20;6997;11,80;9788;14,80;40746;9,40;104315;3,90
2012-03-27;316763;2039960,00;0;15000000,00;0;0,00;1;154453,20;1;6435,50;47;234,20;56;130,50;79;72,10;1050;21,70;1679;14,90;2637;14,70;5680;11,10;24454;7,50;41094;4,50
2012-03-23;660745;4680004,00;0;26096499,00;3;237782,10;0;50438,60;3;6451,40;103;202,20;243;83,70;153;77,00;2035;25,40;3262;15,20;8189;10,40;10434;13,80;46794;8,60;114499;3,60
2012-03-20;327180;2114272,00;0;0,00;0;468877,20;0;39073,10;4;4465,40;34;203,50;59;119,30;79;65,70;1213;20,50;1445;13,80;2685;13,00;6380;10,90;22252;7,60;41066;4,30
2012-03-16;679474;4885806,00;0;45758710,00;1;299014,00;0;66447,50;2;3114,70;143;159,70;252;82,90;363;38,10;4303;12,70;5819;10,60;11433;9,50;20056;7,60;68593;6,50;126671;3,70
2012-03-13;357138;2371710,00;0;0,00;0;218702,50;1;72900,80;2;10125,10;20;248,70;49;134,00;76;79,80;1083;23,90;1478;16,20;2817;14,50;5804;11,90;23242;8,30;44305;4,50
2012-03-09;682185;4840310,00;0;0,00;0;575403,00;0;143850,70;3;6393,30;78;263,60;158;145,50;185;68,70;2600;20,50;3165;17,10;5982;15,30;14540;10,00;47911;8,90;90979;4,80
2012-03-06;335512;2181806,00;0;0,00;0;986669,50;2;54814,90;4;5670,50;23;245,50;56;117,10;103;56,30;1733;17,10;1686;15,30;3444;12,00;9460;8,40;24434;8,40;48042;4,20
2012-03-02;703099;4989354,00;0;26670951,00;0;875321,20;0;83363,90;13;3071,30;104;165,10;185;93,80;312;41,60;4458;13,70;4057;12,40;7475;11,40;22310;7,70;57353;7,20;105794;3,90
2012-02-28;333613;2188558,00;0;0,00;0;199214,80;0;66404,90;2;4743,20;56;180,60;84;103,00;87;69,40;1245;21,10;1980;13,30;3464;12,80;6231;11,40;27784;7,20;45531;4,30
2012-02-24;707043;5149824,00;0;54897476,00;0;244616,90;3;40769,40;6;5623,30;104;182,10;312;65,90;179;81,40;2118;26,70;4060;13,90;11110;8,80;10855;14,60;56273;8,10;145843;3,30
2012-02-21;366617;2480296,00;0;0,00;0;567892,20;0;27042,40;5;4853,70;38;179,80;84;76,60;76;69,10;1196;22,60;1823;13,00;4167;10,10;5780;12,70;26816;7,60;60153;3,60
2012-02-17;691035;4936872,00;0;0,00;2;223465,80;2;39727,20;2;7639,80;79;253,60;258;69,70;132;90,30;1963;28,00;2602;19,50;9634;9,60;10481;15,00;36841;11,20;131042;3,40
2012-02-14;368724;2474764,00;0;0,00;0;368058,30;0;46007,20;1;5412,60;29;241,00;62;114,60;59;86,30;1116;26,30;1519;17,40;3165;13,20;5783;14,10;22422;9,40;51234;4,20
2012-02-10;689737;4874622,00;0;0,00;0;1696429,00;1;113095,20;1;7249,60;70;244,20;143;104,70;166;85,70;1930;26,90;3124;16,00;6867;12,00;10274;14,20;47914;8,50;109439;3,90
