Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2011-12-30;833630;6236866,00;0;0,00;0;1024725,90;0;113858,40;3;5023,10;58;276,40;132;151,70;177;77,80;2925;23,80;4338;17,30;7476;16,00;16325;11,80;64428;8,70;114051;5,00
2011-12-27;388299;2674652,00;0;0,00;0;1090268,90;0;72684,50;4;2839,20;29;232,10;73;131,70;175;36,70;2853;10,70;1846;14,20;3546;13,60;15579;5,60;30219;7,30;55723;4,20
2011-12-23;751219;5445364,00;0;0,00;0;594784,30;0;39652,20;2;6100,30;81;215,90;307;80,20;180;68,50;2449;22,80;4328;14,50;13484;8,80;12460;12,50;54590;8,60;161161;3,30
2011-12-20;343480;2273638,00;0;0,00;0;256896,00;0;48932,50;1;3495,10;49;162,00;68;100,50;104;47,00;1549;16,00;1976;11,90;3500;11,50;7906;9,40;28319;6,90;53427;3,90
2011-12-16;719408;5254588,00;0;46576447,00;0;142015,10;3;32389,40;29;940,90;198;125,40;304;80,50;643;21,40;6146;10,90;6136;9,90;8843;11,00;25885;7,50;72906;6,30;111830;4,10
2011-12-13;354766;2392812,00;0;0,00;1;372197,00;0;46524,60;0;6646,30;49;214,50;151;76,50;81;76,30;1238;23,50;1838;15,90;5872;9,60;5960;13,20;25273;8,80;73301;3,30
2011-12-09;691068;4952518,00;0;0,00;0;295613,20;0;49268,80;5;4767,90;96;208,70;222;98,20;176;70,70;2488;21,60;3959;14,40;7736;11,80;13062;11,50;56275;7,90;106797;4,00
2011-12-06;342030;2250578,00;0;0,00;0;247025,10;2;82341,70;3;3921,00;48;229,40;104;115,00;106;49,70;1552;15,70;1685;14,10;3059;12,80;8650;8,00;25870;7,50;48456;4,20
2011-12-02;715891;5131514,00;0;27094320,00;0;907073,90;0;67190,60;5;5124,70;87;193,20;183;99,00;179;78,00;2493;23,00;4420;13,70;8174;12,50;12949;12,10;61668;7,60;113657;4,20
2011-11-29;335832;2212964,00;0;0,00;0;1000861,80;0;83405,10;3;4633,60;28;214,60;58;113,40;97;56,30;1469;16,60;1574;14,70;2811;13,50;8639;8,30;22984;7,90;41144;4,40
2011-11-25;701764;5050144,00;0;35062896,00;1;179533,00;3;73143,10;7;2789,30;76;185,50;161;106,40;447;34,40;5686;11,30;5054;12,20;7880;12,20;26092;6,70;68046;6,90;108729;4,10
2011-11-22;347597;2313084,00;0;0,00;1;517285,20;0;86214,20;0;3748,40;38;222,20;71;117,40;101;57,20;1626;17,80;1808;15,00;3229;13,40;8403;9,40;26873;8,10;48223;4,30
2011-11-18;689643;4901200,00;0;0,00;1;240706,00;1;51058,80;14;2193,90;238;130,20;326;85,30;362;39,50;3938;15,50;6028;11,30;9165;11,60;18498;9,10;64604;7,30;110516;4,10
2011-11-15;345437;2285946,00;0;15000000,00;0;0,00;1;338091,20;1;5122,50;20;238,50;59;104,60;54;88,80;904;27,60;1388;16,70;2987;12,60;4603;14,70;21674;8,70;47578;4,00
2011-11-11;609511;4522176,00;0;67939184,00;1;253534,80;2;45072,80;11;1988,50;104;160,60;147;91,00;406;33,80;5464;10,90;3735;12,90;6787;11,80;28332;5,80;53178;7,20;98807;4,10
2011-11-08;396262;2751614,00;0;0,00;0;305503,60;1;50917,20;2;3338,80;40;176,00;62;103,00;134;50,00;1811;16,00;1895;13,00;3397;12,80;9616;9,20;29984;7,40;53406;4,30
2011-11-04;747054;5416340,00;0;0,00;0;471270,80;0;78545,10;8;3878,70;92;259,80;220;118,30;290;60,30;3345;18,70;3764;15,60;7564;13,10;18800;9,20;56528;8,30;107333;4,40
2011-11-01;286787;1946064,00;0;0,00;0;1007948,60;0;167991,40;0;6719,60;25;287,60;38;132,30;55;87,70;787;25,70;970;18,90;2572;12,80;4459;13,00;15119;10,20;39911;4,00
