Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2008-12-26;746973;5654266,00;0;0,00;1;906349,40;0;154324,30;6;5010,50;111;233,50;161;126,40;296;85,40;4722;27,50;4700;25,30;6913;18,20;24193;11,50;70650;9,20;0;0,00
2008-12-19;779756;5717170,00;0;0,00;0;356887,00;0;270076,70;5;5966,30;67;370,20;116;170,80;326;81,10;4180;34,30;5442;20,50;6036;22,80;32861;8,10;67325;9,90;0;0,00
2008-12-12;763537;5600554,00;2;7500000,00;1;713574,80;1;90000,40;18;4254,20;163;275,50;238;132,40;559;71,20;6041;30,20;6609;22,00;8277;20,10;31735;9,60;79039;9,40;0;0,00
2008-12-05;741508;5467494,00;0;15000000,00;0;157576,20;2;67076,30;13;2889,10;91;183,70;105;104,10;327;56,90;4335;24,40;5771;18,10;6162;17,20;31752;8,40;69688;8,40;0;0,00
2008-11-28;772473;5748606,00;0;28044446,00;0;377066,00;1;53502,60;6;4563,10;116;210,50;178;92,60;352;69,60;5628;24,60;5383;21,50;8640;14,90;26932;10,30;74617;8,60;0;0,00
2008-11-21;764084;5614100,00;0;0,00;0;314384,50;0;53530,30;7;5622,90;83;233,70;144;108,90;344;80,60;4858;26,50;5353;23,50;7607;16,00;28854;10,20;73648;8,60;0;0,00
2008-11-14;765806;5643288,00;0;15000000,00;2;222050,80;2;43115,10;8;3503,70;178;147,00;201;77,10;367;64,70;5740;20,50;4874;22,60;8217;13,30;24818;11,00;79877;7,60;0;0,00
2008-11-07;758186;5600210,00;0;15000000,00;1;419813,70;1;49056,10;7;4727,60;154;178,50;268;76,00;408;72,90;6549;22,00;5401;23,30;9793;13,40;25847;11,00;90785;7,60;0;0,00
2008-10-31;834583;6309222,00;0;21415653,00;1;280367,90;0;106085,10;15;3666,50;185;227,20;193;125,30;600;65,50;5987;28,60;8208;19,10;8067;19,30;42152;8,10;84376;9,10;0;0,00
2008-10-24;812693;6061126,00;0;0,00;0;511928,90;0;435831,40;7;7686,60;83;280,40;146;116,50;274;90,90;5057;28,80;4887;26,40;8792;15,00;25964;11,40;78270;9,00;0;0,00
2008-10-17;782985;5774926,00;0;0,00;0;593705,70;0;140403,30;17;4457,20;186;209,10;245;120,30;550;63,70;7751;22,60;5958;21,20;10603;16,30;29080;9,80;86545;8,10;0;0,00
2008-10-10;799025;5999044,00;0;29068081,00;0;1084414,50;1;83928,80;8;5151,80;112;251,70;159;101,40;336;83,30;4475;30,30;4901;26,10;7486;16,10;27472;11,20;64948;9,90;0;0,00
2008-10-03;795335;5994072,00;0;0,00;1;457530,90;1;56804,90;7;5501,60;192;168,80;224;93,30;394;81,50;7977;21,80;5108;26,80;10123;15,20;23937;12,50;104952;7,60;0;0,00
2008-09-26;1678609;15553454,00;0;0,00;1;9184504,50;6;81641,10;21;6506,20;297;277,10;462;121,90;834;100,60;14043;30,10;10700;30,20;21731;17,80;58897;12,60;201032;9,70;0;0,00
2008-09-19;810233;5994402,00;0;0,00;2;340865,60;1;108823,60;8;5922,30;82;270,70;128;115,30;302;91,10;4722;30,00;4660;27,40;7516;16,90;24893;11,80;70584;9,60;0;0,00
2008-09-12;761602;5654410,00;0;15000000,00;0;346165,60;1;80375,00;14;3650,30;125;229,80;182;108,10;688;49,10;6170;26,20;9234;15,70;8956;16,10;44049;7,20;81234;9,00;0;0,00
2008-09-05;1287770;10702726,00;0;59674853,00;2;500324,50;0;108576,00;16;5965,70;253;259,50;376;120,40;712;74,10;11014;26,50;11217;22,10;16017;16,00;58137;9,90;157555;8,40;0;0,00
2008-08-29;904771;7303096,00;0;0,00;1;473331,60;1;70696,70;12;6756,70;126;329,30;217;150,40;401;84,90;5640;32,60;7076;22,90;8318;21,10;41097;9,10;90456;9,70;0;0,00
2008-08-22;877522;6872848,00;0;0,00;1;480634,20;0;83936,10;19;2865,40;187;193,00;244;109,30;893;43,50;8971;22,20;9757;14,80;11122;16,60;43433;7,60;110705;7,80;0;0,00
2008-08-15;673934;5166860,00;0;0,00;1;530672,90;0;150596,30;8;6205,80;84;227,10;162;115,30;345;75,30;4848;25,70;4554;23,70;6634;17,30;23109;10,70;73109;8,20;0;0,00
