Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2017-12-29;698597;5496532,50;0;38906715,00;0;0,00;2;159959,50;0;4767,90;52;197,00;103;138,60;191;53,30;1789;25,00;2651;16,70;8756;10,30;8743;13,40;38003;9,40;118834;3,80
2017-12-26;417673;3019507,50;0;0,00;0;235210,50;0;18261,00;0;2977,30;31;173,90;94;113,60;93;59,60;1115;21,40;1749;15,60;3965;12,20;5656;11,70;24473;8,50;56532;4,30
2017-12-22;697052;5402395,00;0;0,00;0;391378,40;1;39067,00;3;2907,80;70;170,80;131;91,40;128;63,20;2309;15,90;2979;14,40;6156;13,20;12340;8,30;44438;7,80;92467;4,60
2017-12-19;664209;5652110,00;0;135346147,00;0;434845,80;2;43405,90;4;2359,00;77;165,60;158;92,90;179;57,80;2568;16,70;3146;14,70;7232;12,00;14331;8,40;44531;8,10;95028;4,60
2017-12-15;885204;7661310,00;0;0,00;0;0,00;0;395737,80;2;4353,20;64;230,70;176;131,90;156;75,30;2573;22,70;3524;17,60;8005;14,20;14219;11,70;55167;9,10;128412;4,70
2017-12-12;605991;5055122,50;0;0,00;0;402110,40;0;56193,60;9;3926,50;55;216,80;155;110,00;106;80,40;2100;19,40;2886;15,50;5733;14,40;11810;9,40;40655;8,80;85482;4,90
2017-12-08;872630;7445660,00;0;0,00;0;477524,40;1;66732,50;4;3400,00;104;187,50;179;112,20;176;70,60;3007;19,80;4520;14,30;8607;13,80;14606;10,70;66454;7,60;126569;4,70
2017-12-05;599402;4832615,00;0;0,00;1;538407,70;0;31350,30;1;4543,50;40;243,20;141;105,40;95;79,50;2035;17,20;2132;17,10;5134;15,10;12385;8,10;35793;8,70;76797;5,10
2017-12-01;789007;6499830,00;0;0,00;0;442968,40;0;61903,40;2;5406,90;48;242,80;110;179,30;117;69,80;1710;30,00;2403;20,10;6743;13,00;9364;15,40;38810;10,80;115223;4,30
2017-11-28;534768;4167472,50;0;0,00;0;157546,20;0;36694,30;2;2291,20;58;129,30;199;66,50;133;50,10;2389;13,20;2888;11,70;5677;11,10;11726;7,40;38987;7,00;78178;4,30
2017-11-24;753030;6051220,00;0;0,00;0;0,00;1;253061,50;1;2863,20;74;188,00;168;112,60;142;62,90;2176;20,20;3220;15,00;7277;12,30;12077;10,90;49527;8,00;116587;4,20
2017-11-21;495802;3699030,00;0;0,00;0;215153,10;1;33407,70;7;1256,90;75;95,30;135;54,50;151;40,00;2154;11,20;2863;10,20;5391;10,40;10337;6,60;35780;6,50;67943;4,30
2017-11-17;691484;5396287,50;0;0,00;0;0,00;0;296639,80;0;7613,90;56;221,10;79;170,10;119;77,00;1232;29,00;2191;19,10;5619;15,00;7290;14,90;35653;9,60;87559;4,80
2017-11-14;431109;3113395,00;0;0,00;0;264446,70;0;184778,00;1;6952,30;30;228,90;65;145,90;61;77,70;1013;24,50;1326;18,30;3132;14,90;5503;12,30;20600;9,50;49831;4,90
2017-11-10;705372;5469295,00;0;0,00;0;0,00;2;180379,30;4;2515,80;143;134,50;201;94,50;314;43,90;2801;17,90;3938;13,80;8540;11,40;13346;9,50;48034;8,00;105139;4,30
2017-11-07;431564;3045827,50;0;0,00;0;0,00;1;486971,70;1;4090,60;31;215,20;59;156,10;84;62,80;832;28,70;1598;17,00;4241;11,50;4432;15,30;23840;8,90;62422;4,00
2017-11-03;619645;4766422,50;0;28709464,00;0;356885,60;1;17812,00;15;1670,80;93;120,10;277;65,90;182;44,70;3348;13,40;3394;12,30;7030;10,60;16494;7,70;44665;7,30;91966;4,10
2017-10-31;438736;3100585,00;0;0,00;0;0,00;0;317035,60;1;5169,60;15;266,30;75;119,30;48;90,50;1278;17,40;1428;17,90;2847;16,20;7955;7,70;23089;8,60;47662;5,20
2017-10-27;637651;4873007,50;0;17000000,00;0;356433,10;0;15565,70;2;3205,70;99;136,30;131;116,00;227;44,70;1900;21,30;3358;14,10;7464;10,90;9356;11,40;42268;8,00;94211;4,20
2017-10-24;485234;3609857,50;0;65407072,00;0;148690,10;1;18889,90;0;1882,10;98;84,80;76;83,20;173;32,30;1326;17,70;2893;9,40;6499;8,20;6509;10,70;36326;6,40;81738;3,50
2017-10-20;705520;5516995,00;0;0,00;1;151492,30;0;18818,20;4;1643,60;97;96,50;244;60,40;182;40,50;3264;12,20;4161;9,90;8492;9,70;15859;7,50;54903;6,30;112318;3,90
2017-10-17;465977;3361995,00;0;0,00;0;0,00;1;130419,70;3;3213,60;53;131,30;90;96,80;97;53,80;1274;19,10;2401;10,90;4299;11,20;6828;10,90;34388;6,30;63761;4,10
2017-10-13;858408;6541610,00;0;0,00;1;737887,00;1;38191,60;4;3736,10;80;200,80;184;117,30;169;69,30;2472;21,40;3709;15,80;8414;13,50;13131;11,20;51147;8,60;115098;4,80
2017-10-10;468162;3375457,50;0;0,00;0;841908,40;0;49022,50;2;3688,90;27;219,50;96;104,90;72;81,80;1433;17,50;1807;16,50;3496;15,10;7244;8,60;26083;8,50;55287;5,00
2017-10-06;1339634;12458120,00;0;190000000,00;1;1291056,00;2;27910,60;12;1865,40;220;102,70;525;70,20;435;44,70;6258;14,60;8861;10,60;17836;10,50;29336;9,00;111217;6,80;232669;4,10
2017-10-03;1152974;10692150,00;0;0,00;0;1504612,30;2;29859,20;7;3546,90;127;180,20;289;123,20;307;59,90;3986;20,80;5709;15,50;13111;13,10;21604;10,40;81678;8,60;182877;4,70
2017-09-29;1253262;11402265,00;0;0,00;0;320207,60;2;26103,00;19;2059,30;205;134,20;647;59,80;481;55,10;8942;10,90;7660;12,50;16038;12,10;41460;6,10;105356;7,00;216484;4,50
2017-09-26;812373;7222022,50;0;0,00;0;199677,10;0;53150,90;0;4332,90;62;242,60;114;154,60;149;80,20;2243;26,50;2847;19,70;7652;15,00;12126;13,40;45749;10,00;115991;4,90
2017-09-22;1039568;9241737,50;0;0,00;0;963345,20;0;49860,90;7;3429,60;103;184,90;222;122,30;236;67,20;3323;19,80;5014;15,20;11226;12,80;18140;10,40;73182;8,10;161112;4,50
2017-09-19;738796;6438910,00;0;0,00;2;174307,00;0;29525,80;3;3874,60;95;161,50;138;113,10;172;60,70;2264;20,40;3563;13,70;7593;12,70;12215;11,00;53434;7,50;109242;4,50
