Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2022-12-30;627351;4711840,00;0;0,00;0;177017,30;0;23641,00;10;1145,40;40;165,10;157;68,40;109;49,70;1864;16,60;2472;13,40;5631;10,70;10284;7,10;35350;6,40;78817;4,40
2022-12-27;440803;3052250,00;0;26956990,00;0;259877,40;0;121475,20;2;1182,30;42;134,50;89;54,30;77;51,00;1415;12,30;1849;11,70;3507;11,00;7635;5,30;25161;5,60;51535;4,60
2022-12-23;631983;4690927,50;0;0,00;0;363954,60;0;17012,40;5;1558,50;73;121,10;110;55,80;128;39,90;1722;14,20;2626;10,10;6171;8,40;9510;7,00;37923;5,20;89054;3,70
2022-12-20;461047;3228995,00;0;51605931,00;1;81968,40;0;14900,10;3;803,20;52;71,40;108;42,40;133;26,00;1489;12,00;2539;7,80;5350;7,00;6795;6,40;32387;4,40;65338;3,50
2022-12-16;604744;4481160,00;0;0,00;0;354267,10;0;41399,00;0;937,80;59;117,30;156;40,90;78;45,10;2583;9,80;2724;10,40;5019;10,10;12838;4,90;40038;5,00;75835;4,20
2022-12-13;446789;3046250,00;0;0,00;0;131029,00;0;7205,50;1;1658,80;56;90,10;67;69,50;200;18,80;974;18,40;1955;10,20;6088;5,80;4699;9,10;24003;5,80;70707;3,10
2022-12-09;607845;4429732,50;0;0,00;0;343883,00;0;26790,30;2;1430,40;45;157,90;103;68,50;92;47,80;1636;15,90;2259;13,00;4609;10,90;8583;7,00;33698;6,00;73168;4,30
2022-12-06;640032;5137047,50;1;142897164,00;0;160293,30;0;46828,90;20;956,40;56;119,10;188;65,40;159;34,10;1724;16,40;3015;10,70;7665;7,90;8799;8,10;41925;5,40;104279;3,50
2022-12-02;1040512;8991125,00;0;0,00;0;1174364,10;3;21112,90;2;1378,80;80;140,30;207;65,10;207;42,00;3037;15,30;4458;12,10;10269;9,80;16393;7,20;66727;5,90;157809;4,00
2022-11-29;470157;3369367,50;0;0,00;0;614404,50;0;143596,40;0;1863,60;30;149,20;54;82,80;86;43,50;973;18,90;1549;13,10;3734;9,90;5207;8,80;24064;6,20;58499;4,00
2022-11-25;628590;4767475,00;0;0,00;1;192883,50;0;18032,00;5;1440,10;53;127,40;146;55,00;107;45,50;2480;12,70;2523;11,90;5455;10,20;13360;5,80;38557;5,70;83088;4,20
2022-11-22;436142;3054295,00;0;0,00;1;280000,80;0;43627,20;0;2038,30;28;149,20;85;65,30;67;47,60;1169;14,60;1700;11,60;3986;9,50;6139;6,90;25768;5,30;58163;3,80
2022-11-18;589160;4387230,00;0;0,00;1;245766,10;0;15665,30;4;1626,40;55;150,20;86;73,30;118;42,60;1469;17,20;2053;13,30;5248;9,60;7885;8,00;31223;6,20;79847;3,90
2022-11-15;437216;3004020,00;0;0,00;0;179655,80;0;20994,20;0;1569,40;47;121,40;76;64,90;156;27,70;1084;16,70;1633;11,40;5173;7,00;5356;8,30;22214;6,10;65192;3,30
2022-11-11;530051;3860812,50;0;0,00;0;230878,40;0;20235,00;2;1440,60;41;121,50;99;61,10;102;43,50;1499;14,60;2324;10,90;5017;9,00;7592;7,30;33954;5,30;74442;3,70
2022-11-08;424917;2889875,00;0;0,00;1;173618,20;0;40577,40;0;2527,70;22;154,80;62;75,40;81;46,80;1019;15,60;1421;12,90;3331;10,40;5785;7,20;22980;5,70;53649;4,00
2022-11-04;748945;6122722,50;0;160788895,00;0;572462,00;1;26758,70;4;1634,20;68;139,50;129;75,80;142;50,40;1911;16,70;3142;12,40;6112;11,30;11388;7,40;48240;5,60;96699;4,50
2022-11-01;495027;3795232,50;0;0,00;0;370898,30;1;21671,20;2;2160,00;30;158,90;75;78,00;79;51,30;1332;16,30;1643;14,20;4247;10,80;7765;7,30;26608;6,50;65752;4,30
2022-10-28;708865;5705100,00;0;0,00;0;948590,30;0;13856,30;1;945,90;175;54,80;158;68,40;546;12,70;1895;17,20;2961;11,70;8144;7,80;9967;8,20;40846;6,00;107648;3,70
2022-10-25;510019;3849207,50;0;0,00;0;357879,70;1;33456,90;2;1628,20;37;149,20;82;72,10;95;46,40;1395;16,10;1782;13,50;4572;10,10;7551;7,30;28426;6,20;69170;4,10
2022-10-21;664199;5194575,00;0;0,00;0;427941,30;0;18184,80;2;1780,10;56;138,40;118;70,00;128;45,70;1798;16,20;2626;13,00;6228;10,30;10436;7,30;39468;6,00;93667;4,10
2022-10-18;462207;3315140,00;0;0,00;0;155132,30;0;29005,50;1;1457,10;21;139,80;77;64,10;95;41,10;1294;14,40;1951;11,20;4491;8,70;6651;7,10;27915;5,40;66448;3,70
2022-10-14;620325;4688750,00;0;0,00;0;261311,70;0;45804,60;8;1214,20;38;153,60;207;50,60;103;51,80;3037;10,30;2338;12,90;4691;11,70;17569;4,20;37119;5,70;77411;4,50
2022-10-11;458996;3216090,00;0;0,00;0;592272,50;0;27684,70;2;1596,80;37;117,30;92;64,10;106;35,60;1146;15,70;1821;11,40;3993;9,40;6321;7,20;24755;5,90;57098;4,10
