Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2010-12-31;929207;7079232,00;0;15338239,00;0;506709,60;1;83880,90;4;8078,40;106;337,50;183;146,50;333;105,00;5564;34,00;5457;30,50;9179;20,20;29654;12,20;84795;10,60;0;0,00
2010-12-24;852697;6380446,00;1;19106757,00;0;552304,60;1;125388,00;7;5060,00;99;293,50;145;128,10;380;76,80;4600;32,40;6300;23,90;7634;18,70;37915;9,80;71636;10,50;0;0,00
2010-12-17;856928;6560840,00;0;43677118,00;0;494521,40;1;75566,10;8;5896,50;104;302,70;170;144,80;442;82,60;5348;31,30;6385;24,10;7633;20,00;33046;10,00;82675;9,50;0;0,00
2010-12-10;792136;5955166,00;0;0,00;0;792483,30;1;112446,90;5;7836,00;93;287,10;132;130,00;257;109,80;4750;29,90;3753;31,20;7095;17,90;20785;13,30;75469;9,10;0;0,00
2010-12-03;747930;5577992,00;0;0,00;0;756149,40;0;71527,60;10;4379,20;113;222,20;224;103,30;395;75,20;5567;27,30;5240;23,90;8783;16,60;27218;10,20;73930;9,30;0;0,00
2010-11-26;828081;6321498,00;0;45322973,00;0;436471,30;0;99090,70;11;5362,00;161;283,50;235;138,80;480;70,20;5414;31,50;6663;20,40;7660;20,70;36229;8,20;80580;9,50;0;0,00
2010-11-19;798420;5975408,00;0;0,00;0;148025,10;0;51342,00;1;6227,40;116;249,60;150;107,10;312;89,70;4513;29,10;4714;26,30;6956;17,60;25003;11,50;71391;9,50;0;0,00
2010-11-12;744120;5580038,00;0;0,00;0;373261,30;1;66203,40;9;4819,10;126;224,90;231;80,60;463;72,40;6035;26,30;5953;23,30;11088;13,50;28503;10,60;78034;9,00;0;0,00
2010-11-05;797468;5994026,00;0;29087861,00;0;651563,50;1;71116,60;11;4523,00;105;212,60;148;119,10;377;78,20;5674;25,10;4789;24,80;7635;17,90;25458;11,20;84942;8,30;0;0,00
2010-10-29;804070;5962776,00;0;0,00;0;621600,20;0;88200,00;4;8400,00;101;265,10;162;112,60;312;109,20;5211;29,30;3863;33,80;8294;16,40;20083;14,40;73851;9,80;0;0,00
