Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2015-12-29;469210;3033376,00;0;0,00;1;279268,80;0;37235,80;2;6005,70;29;290,90;78;144,20;103;77,30;1468;22,00;1821;16,70;3704;15,00;8546;10,70;30736;8,30;59678;4,50
2015-12-25;588901;4049062,00;0;0,00;2;212036,90;0;70678,90;7;2631,60;88;145,00;190;85,20;235;40,00;3339;13,60;3819;11,60;6247;11,20;16439;8,00;49975;7,00;88002;3,90
2015-12-22;434358;2757706,00;0;0,00;0;221867,10;0;61629,70;2;5964,10;30;259,20;67;134,50;77;85,00;1192;24,10;1681;17,60;3557;14,30;6298;12,20;26284;8,80;56414;4,30
2015-12-18;778596;5625414,00;0;83228800,00;1;457291,00;0;67746,80;4;4550,10;64;207,40;151;118,90;199;60,00;3357;18,60;4290;13,50;7261;13,40;17002;10,20;65252;7,30;111717;4,30
2015-12-15;492368;3350256,00;0;0,00;1;419210,10;1;32246,90;1;4192,10;66;156,60;156;62,00;137;65,30;1715;22,90;2685;12,50;6458;9,00;8788;12,90;36330;7,80;85564;3,40
2015-12-11;735260;5182044,00;0;0,00;0;841042,80;1;56069,50;2;7008,60;70;250,00;141;107,60;161;77,10;2099;24,70;3161;16,60;7713;11,90;11381;13,10;49614;8,80;119630;3,80
2015-12-08;466885;3066162,00;0;0,00;0;153645,20;2;59750,90;1;4979,20;65;203,40;132;92,70;108;72,20;1488;23,30;2534;15,00;5668;11,40;7864;12,50;33108;8,40;75284;3,80
2015-12-04;736850;5068956,00;0;0,00;1;322433,90;1;44782,40;5;2770,00;164;145,40;414;64,60;267;49,80;3352;16,40;5389;11,70;11751;9,70;15902;9,80;65601;7,00;132145;3,70
2015-12-01;451486;2875570,00;0;0,00;1;137599,80;2;24462,20;8;2184,10;171;53,80;311;22,40;115;71,70;1245;23,90;1821;15,70;3956;11,80;7332;12,40;25720;9,10;57428;4,10
2015-11-27;676904;4582246,00;0;0,00;0;279492,30;0;139746,10;2;5480,20;71;230,90;151;124,90;182;66,80;2703;19,70;3452;16,20;6465;14,10;14076;10,10;49846;8,40;93889;4,40
2015-11-24;403844;2552258,00;0;0,00;0;360953,00;3;32813,90;1;6223,30;28;236,00;134;74,60;89;73,90;1191;24,50;1565;17,00;5123;9,00;6514;13,10;22972;9,40;70165;3,20
2015-11-20;1079094;8679828,00;0;163553041,00;0;355600,10;2;118533,30;3;5782,10;96;273,40;188;137,40;249;75,60;3962;23,10;5229;17,00;9958;15,20;23602;11,20;85422;8,60;157911;4,80
2015-11-17;738087;5828128,00;0;0,00;0;1028955,20;2;76218,90;1;6351,50;74;257,10;214;108,70;188;73,50;3217;22,80;3823;17,00;11225;11,10;16311;12,10;58166;9,20;155401;3,60
2015-11-13;1154588;8909274,00;0;0,00;1;566130,10;3;52419,40;13;2859,20;162;192,50;315;98,20;601;45,00;8163;14,40;7346;13,80;14139;11,90;41322;7,90;103784;7,70;197238;4,00
2015-11-10;704711;5475528,00;0;0,00;1;449898,30;0;66651,60;7;4614,30;100;201,70;157;105,60;353;46,60;5063;15,20;4289;14,40;8144;12,20;25274;8,20;63801;7,90;122932;4,00
2015-11-06;1112114;9360282,00;0;0,00;0;328233,50;2;58352,60;10;4420,60;147;205,80;350;88,90;271;73,00;4331;23,40;6386;15,60;14870;11,60;22858;12,60;95738;8,70;213678;3,90
2015-11-03;449163;2927810,00;0;0,00;0;374555,40;1;93638,80;7;4355,20;54;233,00;118;120,00;137;61,60;1862;19,30;2093;16,50;4227;13,60;10308;9,50;29749;8,80;58863;4,40
2015-10-30;717715;4979506,00;0;0,00;0;192934,80;1;46772,00;5;3572,80;129;121,00;247;62,80;246;51,40;2934;18,20;5305;9,90;9516;9,90;14748;10,40;66998;6,40;121091;3,70
2015-10-27;421246;2675640,00;0;0,00;0;0,00;2;147157,10;7;3850,00;48;197,80;92;105,60;121;52,70;1736;16,70;2067;13,60;3955;11,80;8549;9,30;30313;7,50;59169;3,90
2015-10-23;641144;4341862,00;0;0,00;0;467506,10;0;66786,50;15;3246,50;77;237,20;155;111,20;345;48,40;4289;15,40;3528;14,90;6561;12,40;21485;7,90;50754;7,90;96361;4,10
2015-10-20;395742;2466798,00;0;0,00;0;471021,70;0;22429,60;1;5607,40;38;200,50;89;91,90;79;65,10;1232;22,10;1840;14,20;3756;10,70;6636;12,30;25857;8,20;57183;3,70
2015-10-16;626394;4197254,00;0;0,00;0;672570,70;0;448380,50;1;5337,80;59;268,70;145;119,20;146;72,00;2131;22,70;3094;16,20;7292;12,70;11001;11,90;45644;8,50;103703;4,00
2015-10-13;422818;2681726,00;0;15439214,00;0;973754,60;0;36064,90;0;4636,90;31;185,10;84;87,60;68;76,00;1143;24,70;1907;14,10;4016;11,00;6285;13,30;27529;8,10;58571;3,80
2015-10-09;641595;4314868,00;0;0,00;0;1408009,20;1;78222,70;2;7822,20;39;326,40;87;151,80;124;89,80;1610;27,70;2162;21,20;4303;17,10;9459;13,60;35186;10,60;76061;5,10
2015-10-06;395412;2439460,00;0;0,00;0;309701,60;1;30970,10;2;5339,60;47;193,50;66;90,10;107;58,40;1469;19,00;1977;13,40;3998;10,60;7701;10,50;27719;7,70;56230;3,70
2015-10-02;640582;4291208,00;0;15000000,00;2;104310,10;0;34770,00;6;4270,00;106;163,00;208;70,80;158;69,10;1883;23,30;3993;13,20;8976;9,50;10517;12,90;47833;8,20;105187;3,70
2015-09-29;396566;2455528,00;0;15000000,00;0;198039,50;0;36673,90;0;2292,10;61;160,00;99;80,80;123;43,10;1856;14,40;1920;12,40;3580;11,20;9325;8,00;28405;7,30;51861;4,00
2015-09-25;676102;4680074,00;0;47772431,00;0;388048,70;0;86233,00;8;2811,90;96;194,80;223;98,80;366;42,90;4978;14,10;4459;13,10;8484;11,10;23738;7,90;60451;7,30;112895;3,80
2015-09-22;417410;2667704,00;0;0,00;0;331822,50;1;25524,80;2;4608,60;47;160,00;108;79,30;92;55,30;1198;21,70;2199;12,50;4784;10,20;6320;12,10;30135;7,40;64315;3,70
2015-09-18;661752;4508808,00;0;0,00;0;704194,70;1;78243,80;0;6344,00;62;244,80;97;145,40;164;67,70;2541;20,70;3664;14,40;6144;14,10;12687;10,90;59125;7,20;96414;4,40
2015-09-15;415638;2613002,00;0;0,00;0;159968,70;1;39992,10;5;3554,80;39;205,50;61;122,10;210;38,40;2570;12,30;2345;13,20;3546;12,90;13046;6,90;32613;7,20;54373;4,20
2015-09-11;623772;4191670,00;0;0,00;1;190674,50;0;111226,80;10;3133,10;94;200,00;163;101,20;211;48,10;3114;15,90;3521;13,70;7116;11,40;15341;9,30;48528;7,60;101264;3,80
2015-09-08;417443;2646264,00;0;30904640,00;0;328474,60;0;82118,60;2;5474,50;31;269,10;57;126,10;79;78,20;1264;23,50;1545;18,20;3424;14,60;6828;11,90;24693;9,40;53489;4,50
2015-09-04;660597;4484084,00;0;0,00;0;466757,20;0;51861,90;1;5186,10;66;233,30;109;112,80;144;74,50;2030;24,30;3030;15,40;6582;11,90;11063;12,80;46234;8,40;101224;3,90
2015-09-01;393268;2448582,00;0;0,00;1;303314,40;0;75828,60;2;3990,90;38;180,20;89;90,90;97;54,80;1525;17,70;1836;13,10;4156;10,50;8017;10,00;27008;7,60;56228;3,70
2015-08-28;603636;4072260,00;1;15000000,00;1;353872,60;0;157276,70;16;3521,10;47;245,10;89;132,70;167;50,30;2730;15,30;2698;14,80;5080;13,50;15479;8,10;42585;7,80;80039;4,30
2015-08-25;398095;2528160,00;0;30507122,00;0;489052,30;1;163017,40;2;5094,20;31;268,60;91;133,50;114;63,50;2188;17,50;1914;16,00;3563;14,40;11609;8,50;29328;8,20;51447;4,50
2015-08-21;605611;4095224,00;0;0,00;0;224660,60;1;56165,10;1;5479,50;46;258,30;125;118,90;110;84,80;1699;25,50;2404;18,40;5609;13,60;9997;13,00;36820;9,50;87998;4,20
2015-08-18;361728;2250896,00;0;0,00;0;226425,60;1;25158,40;5;2067,80;76;107,30;157;53,80;138;35,70;2060;13,50;2883;8,80;5014;7,80;9134;8,80;34667;5,90;62011;3,20
2015-08-14;645258;4416678,00;0;40297743,00;1;206760,30;1;68920,10;3;5243,90;60;270,20;110;133,00;175;55,70;3917;13,10;2979;15,60;5288;14,10;20955;7,10;54189;7,50;90319;4,30
