Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2009-12-25;701016;5266598,00;0;0,00;0;565024,40;0;160344,70;14;2863,20;118;207,00;147;116,90;558;44,00;6050;22,10;7759;14,50;7723;16,00;37703;6,90;80044;7,80;0;0,00
2009-12-18;837164;6496408,00;0;59459744,00;0;1205678,40;1;93314,10;7;6375,50;100;317,10;150;141,20;341;92,90;4738;33,50;5557;26,10;7001;20,50;31576;10,70;74302;10,20;0;0,00
2009-12-11;853159;6409830,00;0;0,00;0;852556,90;0;120970,90;9;10317,30;89;400,00;102;179,00;225;126,80;3705;40,90;4014;34,10;5488;24,70;26783;12,50;61107;12,10;0;0,00
2009-12-04;784276;5827338,00;0;0,00;2;216936,80;0;115430,90;8;5589,80;83;304,90;106;129,80;303;92,80;4689;30,20;4474;26,90;7431;18,10;24330;11,40;74937;9,40;0;0,00
2009-11-27;776108;5715278,00;0;0,00;1;286554,20;0;52618,40;5;5704,80;182;140,40;251;67,10;305;88,80;6804;20,30;4176;29,60;11016;11,70;19610;14,10;87623;7,80;0;0,00
2009-11-20;753526;5581442,00;0;15000000,00;0;457717,10;0;151541,50;9;6695,50;108;296,10;145;131,30;383;87,60;4996;30,10;5062;26,40;7458;18,70;25708;11,50;73932;9,40;0;0,00
2009-11-13;922078;6773652,00;0;16569317,00;1;383165,40;0;77668,60;10;5143,60;134;219,50;195;112,80;447;75,70;6581;24,80;5926;24,00;9346;16,50;30191;10,90;95587;8,10;0;0,00
2009-11-06;1046455;8536954,00;0;51099838,00;1;582616,00;1;99202,10;9;5061,30;157;252,00;235;122,90;607;75,50;7679;29,20;8574;22,10;10884;18,90;45183;9,30;109316;9,30;0;0,00
2009-10-30;954128;7494482,00;0;0,00;0;726533,10;1;72768,80;15;5197,70;119;269,20;162;133,20;405;79,30;5340;31,80;7501;22,50;8016;19,30;42213;9,40;90002;9,80;0;0,00
2009-10-23;835696;6449610,00;0;0,00;0;421893,40;0;71835,90;16;4029,60;190;216,30;264;95,40;546;62,30;6087;27,30;7550;20,10;9717;15,60;39099;8,90;81882;9,30;0;0,00
2009-10-16;857369;6454618,00;0;0,00;3;502578,60;1;249591,40;15;5659,60;146;251,60;243;122,90;411;86,30;6337;27,30;5266;26,80;8905;18,00;27733;11,50;84875;9,00;0;0,00
2009-10-09;803597;5973790,00;0;0,00;0;649417,80;2;76789,20;5;4701,30;120;219,50;163;116,70;394;69,50;5528;25,90;6029;21,40;7720;17,20;30295;9,80;81071;8,70;0;0,00
2009-10-02;820697;6033554,00;0;0,00;0;1561130,30;0;73837,20;3;6879,20;120;304,60;167;157,40;394;86,90;5661;30,30;6093;23,80;7938;20,00;31897;9,50;86522;9,00;0;0,00
2009-09-25;787619;5884168,00;0;15000000,00;0;1051937,60;0;74630,70;7;4809,70;95;206,90;131;97,60;367;75,40;5251;25,10;5532;23,70;8163;14,90;27653;10,50;79864;8,60;0;0,00
2009-09-18;1537809;13607350,00;0;100000000,00;0;545313,90;2;89592,80;17;5735,30;204;269,30;375;119,10;806;81,30;10724;30,50;11371;24,80;16149;18,50;63825;10,40;157320;9,80;0;0,00
2009-09-11;866212;6466328,00;0;0,00;0;678345,70;0;87501,60;10;5413,40;111;312,40;175;139,70;404;74,90;5086;32,80;6340;21,80;7860;19,50;33987;9,40;77595;10,10;0;0,00
2009-09-04;779528;5759798,00;0;0,00;0;520670,70;0;147757,90;4;5025,70;96;240,80;140;120,70;362;73,90;5046;26,80;5402;23,20;7470;17,00;27708;10,70;75601;8,90;0;0,00
2009-08-28;749594;5498200,00;0;0,00;0;372985,40;0;169355,50;4;8285,40;68;377,90;83;181,80;328;89,50;4245;36,30;5066;23,50;5580;24,20;31311;8,50;65175;10,70;0;0,00
2009-08-21;871981;6878062,00;1;37570330,00;2;411410,20;0;68677,30;13;4211,80;159;202,60;222;107,20;671;55,90;6958;25,60;8663;17,50;9872;16,90;44891;7,60;98477;8,50;0;0,00
2009-08-14;800970;6157506,00;0;0,00;2;356394,20;2;77799,10;8;5643,90;132;249,20;173;109,70;385;83,40;5490;28,50;5310;25,60;8463;17,00;29041;11,00;80316;9,20;0;0,00
2009-08-07;780905;5936162,00;0;0,00;0;402868,60;1;70355,40;6;4505,50;110;181,50;181;87,50;382;65,40;5760;23,70;6155;21,00;7953;15,10;32766;9,50;79240;8,40;0;0,00
