Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2024-06-28;593979;4366777,50;0;0,00;0;653225,30;0;30533,90;4;1902,10;53;141,90;135;66,00;117;35,20;1551;17,00;2198;11,60;5868;8,10;7792;8,40;32596;5,90;83363;3,60
2024-06-25;915070;8392455,00;0;213887390,00;1;141110,20;1;17589,20;1;1494,10;86;134,90;225;59,30;201;48,90;3241;12,50;4456;12,50;9212;11,20;19234;5,40;64436;5,80;135108;4,60
2024-06-21;1026696;9361660,00;0;0,00;1;86983,10;2;6468,40;13;1197,90;253;53,40;326;53,30;461;18,80;3921;14,80;7624;7,40;16784;6,10;18714;7,60;89500;4,60;205560;3,20
2024-06-18;750922;6510965,00;0;0,00;0;185067,00;1;36044,30;3;1642,90;73;155,10;146;76,50;161;45,40;2358;17,30;3059;14,00;7984;9,40;12282;8,00;46496;6,60;123219;3,80
2024-06-14;937629;8286620,00;0;0,00;0;109895,20;2;13518,00;4;909,00;150;91,80;290;46,80;383;29,20;3675;12,70;5450;9,40;12916;7,90;18041;6,40;72057;5,10;162524;3,70
2024-06-11;734917;6238312,50;0;0,00;2;168413,40;0;19680,50;6;1094,60;73;119,40;169;50,50;169;44,90;2731;12,00;3519;11,30;7111;10,50;14820;5,60;51901;5,30;103028;4,40
2024-06-07;1104663;10091145,00;0;0,00;1;136127,50;2;57267,40;7;1128,90;120;125,20;346;45,40;319;41,90;4732;10,70;5349;11,10;12295;9,90;25152;5,20;80080;5,40;178545;4,10
2024-06-04;480554;3403080,00;0;0,00;0;279488,30;1;18663,10;2;1565,00;45;115,80;120;49,20;80;38,50;1537;13,20;2431;9,40;4800;8,50;6942;6,90;34045;4,60;66394;3,70
2024-05-31;631293;4790497,50;0;0,00;0;351238,00;0;54726,70;2;1763,30;56;113,70;129;57,10;124;45,40;1788;14,30;3255;9,30;6003;9,50;9561;6,90;45596;4,60;89174;4,00
2024-05-28;426669;2945152,50;0;0,00;0;250693,20;0;9765,10;4;2433,20;35;131,00;60;73,00;59;53,80;1022;16,20;1391;13,10;2978;12,10;6166;7,20;21787;5,90;45438;4,70
2024-05-24;576998;4255805,00;0;0,00;0;321429,70;0;25041,10;1;1613,70;61;107,30;144;51,80;131;36,30;1856;12,90;2827;9,60;6127;8,30;8835;6,60;38976;4,90;85572;3,60
2024-05-21;382182;2551425,00;0;0,00;1;461188,20;0;21557,40;5;1017,30;30;138,30;68;51,70;53;49,90;1130;11,30;1455;11,10;3046;10,30;6393;5,20;22115;5,00;43926;4,10
2024-05-17;551655;4001937,50;0;0,00;0;306136,50;0;47699,40;2;1782,80;28;187,80;83;86,00;82;55,00;1152;20,60;1763;15,50;4047;11,50;6469;9,20;25246;7,20;63964;4,50
2024-05-14;439262;3040417,50;0;48748900,00;1;104539,90;0;17451,90;1;884,90;69;81,80;121;43,40;124;30,50;1542;11,00;2236;8,90;4509;8,10;7665;5,40;29583;4,80;58560;3,80
