Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2006-12-29;961310;7373294,00;0;0,00;0;522022,50;0;115221,10;9;6071,30;143;229,30;169;113,50;405;77,60;6585;23,70;6088;23,60;9855;15,60;32989;10,90;102525;7,90;0;0,00
2006-12-22;985384;7316226,00;0;0,00;0;881182,60;1;90932,80;9;6615,40;157;267,20;186;134,90;321;103,30;6757;27,40;5205;30,10;9017;18,50;27719;12,80;102116;8,70;0;0,00
2006-12-15;993614;7143934,00;0;0,00;1;406071,10;2;57618,20;27;2913,60;199;208,00;306;101,60;860;51,90;7570;27,40;10547;17,20;11854;16,90;52403;7,40;94762;9,80;0;0,00
2006-12-08;882199;6261814,00;0;0,00;0;1510766,80;0;214365,50;4;9422,60;77;400,70;126;189,90;272;117,30;4238;37,90;3921;34,40;6357;22,60;22102;14,00;72285;10,50;0;0,00
2006-12-01;949270;6643564,00;0;0,00;1;641911,80;0;101202,30;6;4647,00;108;267,40;146;139,60;457;66,10;6154;27,00;7431;19,70;8267;18,50;42190;8,40;84641;9,30;0;0,00
2006-11-24;944762;6821944,00;0;7500000,00;1;189530,10;0;60508,70;30;2930,20;208;154,00;300;87,00;582;58,30;7767;21,70;7645;18,80;10318;15,70;35744;9,20;99516;7,90;0;0,00
2006-11-17;2340602;20867464,00;0;0,00;1;9652339,40;0;97247,10;33;3385,50;416;212,60;584;104,00;1645;59,10;20148;25,60;23426;20,40;29163;16,00;116613;9,40;283041;9,10;0;0,00
2006-11-10;1654469;14022992,00;0;0,00;0;617824,20;1;72549,70;12;7589,90;278;246,40;367;127,70;669;98,30;12798;27,10;10042;29,00;17990;18,30;54539;12,70;186736;8,50;0;0,00
2006-11-03;1454944;12002968,00;0;0,00;2;512739,20;1;116405,60;14;5470,10;246;251,70;345;118,40;758;76,10;11918;27,10;11297;23,40;17458;17,10;57943;10,60;165093;8,90;0;0,00
2006-10-27;1242672;10154324,00;0;0,00;1;393862,20;1;97800,20;7;7451,40;207;252,50;283;117,50;608;95,30;9650;27,30;7898;28,70;14268;16,50;39267;13,00;142823;8,50;0;0,00
2006-10-20;1014873;8112114,00;0;0,00;0;1582400,40;0;64151,30;9;5976,80;156;273,60;218;130,60;477;85,40;6457;30,50;6857;25,60;9713;18,80;38453;10,70;98943;9,50;0;0,00
2006-10-13;1120112;8482638,00;0;0,00;0;649447,20;1;215019,60;3;7143,50;147;344,10;152;172,30;530;80,90;6752;34,30;8983;20,80;9645;22,80;50995;8,00;104899;10,10;0;0,00
2006-10-06;811114;6139856,00;0;0,00;0;199361,70;2;36991,70;8;6245,30;145;167,50;217;77,40;252;104,20;5846;24,00;4001;32,50;8960;14,30;22125;14,00;83832;8,60;0;0,00
2006-09-29;785141;5851350,00;0;0,00;1;250022,40;2;29359,50;17;3167,50;199;164,80;286;68,80;500;56,40;6442;22,50;6729;19,50;9886;12,80;34294;8,80;83969;8,30;0;0,00
2006-09-22;756680;5545812,00;0;0,00;0;553842,30;0;261952,40;5;6035,70;54;297,20;108;137,00;267;97,90;3784;33,60;4677;26,40;5712;20,00;26988;10,90;62746;10,10;0;0,00
2006-09-15;681358;4880234,00;0;0,00;0;649507,80;0;67025,30;4;5485,70;74;218,60;137;95,80;231;85,00;4236;25,30;3619;27,00;6197;14,50;20223;11,70;59283;9,10;0;0,00
2006-09-08;622420;4433308,00;0;0,00;1;406808,30;0;230891,20;2;6184,50;94;246,10;116;117,10;306;85,20;4320;26,20;3843;26,30;6529;16,10;18341;12,40;63220;8,40;0;0,00
2006-09-01;601226;4255104,00;0;0,00;0;337100,50;0;55803,80;7;5034,90;58;236,50;147;96,40;238;85,90;3940;25,40;3553;26,50;6418;14,40;17774;12,20;58141;8,70;0;0,00
2006-08-25;653143;4835750,00;0;57414511,00;0;475698,80;1;101246,70;6;7513,60;89;303,40;111;147,50;219;98,60;3594;33,50;3640;28,40;5270;20,40;20171;12,00;54798;10,30;0;0,00
2006-08-18;616336;4492264,00;0;0,00;0;866860,30;0;73800,20;2;8785,70;78;357,80;97;154,50;181;105,30;3942;33,00;2843;32,30;5803;20,10;15595;13,60;58533;9,70;0;0,00
2006-08-11;609139;4381676,00;0;0,00;0;0,00;2;445391,90;8;6393,10;47;365,80;83;167,00;251;85,80;2606;36,30;4296;21,90;3807;23,70;27516;8,40;49805;10,00;0;0,00
2006-08-04;601347;4252270,00;0;0,00;2;586750,70;0;222013,70;7;4031,70;54;282,90;106;139,60;307;59,70;3342;29,90;5290;16,60;4947;17,50;31876;7,00;50498;9,10;0;0,00
2006-07-28;574853;4033566,00;0;0,00;0;1135174,40;1;49560,60;8;5002,20;144;193,80;161;96,30;279;83,60;5071;24,00;3471;26,90;7518;14,70;16272;12,40;62445;8,20;0;0,00
2006-07-21;546373;3849502,00;0;25042525,00;0;592212,20;0;74693,40;5;6488,80;72;304,20;134;117,40;225;93,60;3386;29,40;3043;28,50;5900;15,70;16198;12,20;50214;9,30;0;0,00
2006-07-14;605264;4240542,00;0;0,00;0;0,00;0;370709,40;2;4729,90;61;300,40;163;102,20;339;68,70;3536;31,40;5262;20,60;6278;15,50;27697;8,80;54652;9,80;0;0,00
2006-07-07;624560;4961656,00;1;34204133,00;1;249486,50;0;102267,00;14;3478,40;173;206,90;199;116,30;516;57,00;6345;25,30;6795;16,90;7755;18,50;31941;7,60;78991;8,30;0;0,00
2006-06-30;644007;5043446,00;0;0,00;1;1003962,50;0;122103,50;12;6293,90;80;300,50;150;146,70;203;106,90;3666;31,20;2978;32,00;5549;19,50;17035;13,60;60131;9,20;0;0,00
2006-06-23;597756;4590238,00;0;0,00;0;391601,00;0;97238,70;4;4831,70;74;237,70;128;101,80;275;78,00;3543;30,60;4365;22,40;5812;18,40;24235;9,30;53239;10,20;0;0,00
2006-06-16;578991;4363968,00;0;0,00;3;209527,70;1;59460,50;4;5046,10;75;235,90;140;107,60;250;80,50;3478;28,10;3534;25,90;5225;17,10;20372;10,70;48843;9,70;0;0,00
2006-06-09;568041;4234300,00;0;0,00;0;268609,00;1;85755,20;4;4224,30;71;230,30;118;96,40;293;59,90;3953;25,60;4579;19,80;6405;14,30;22739;9,00;55278;8,80;0;0,00
2006-06-02;607696;4448164,00;0;0,00;1;394788,80;1;112034,60;6;5784,90;72;313,80;133;132,50;325;81,80;3726;31,50;4389;24,10;6755;16,90;23433;9,80;55803;9,80;0;0,00
2006-05-26;541066;4015520,00;0;7500000,00;2;263416,60;0;39575,30;4;4004,60;84;252,60;116;109,80;340;56,60;3202;30,60;5568;16,70;4942;18,00;30350;7,10;49223;9,50;0;0,00
2006-05-19;586432;4306358,00;0;15000000,00;0;1248252,60;0;236155,90;6;6325,60;74;259,10;68;141,50;318;68,50;3844;27,00;4766;19,40;4934;18,60;26149;8,50;58365;8,50;0;0,00
2006-05-12;572797;4254324,00;0;12820188,00;0;233631,20;1;48620,50;5;3276,30;88;171,70;109;95,50;357;55,60;4454;22,80;4725;18,60;5986;16,60;22391;9,00;60812;7,90;0;0,00
2006-05-05;575126;4248660,00;0;0,00;0;615969,30;0;174802,10;10;4624,30;88;230,10;111;101,60;261;80,20;4001;25,70;3805;24,70;6695;14,30;20181;10,90;56449;8,70;0;0,00
2006-04-28;609539;4534116,00;0;6452983,00;0;131382,40;1;31070,10;12;1752,00;158;120,40;194;72,50;534;37,20;6083;18,30;6362;14,40;7482;13,70;28510;7,60;74332;7,20;0;0,00
2006-04-21;590831;4353096,00;0;0,00;0;502185,10;0;101794,20;5;5089,70;51;343,70;91;164,40;298;76,30;3202;34,90;4283;21,30;4951;20,20;23254;9,20;48784;10,60;0;0,00
