Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2014-12-30;470155;3044576,00;0;15000000,00;2;275335,50;0;61185,60;2;3399,20;37;241,80;96;117,60;97;76,10;1426;24,60;1969;17,30;4207;13,80;7611;13,10;30229;9,00;66044;4,20
2014-12-26;594793;4148002,00;1;25234535,00;6;139561,80;3;34115,10;0;7310,30;60;214,20;84;128,80;134;72,80;1987;22,40;2691;15,40;4744;14,00;10833;11,60;46436;7,70;79485;4,30
2014-12-23;447127;2865238,00;0;0,00;0;372069,30;0;37206,90;0;5637,40;46;212,70;109;85,40;101;71,00;1463;22,50;2098;14,30;5026;10,00;7731;12,10;31727;8,20;70182;3,60
2014-12-19;661907;4524098,00;0;15000000,00;1;294307,30;0;98102,40;7;3955,70;63;242,20;139;125,80;301;47,00;4286;14,40;3860;14,90;6405;13,60;21965;7,40;54126;7,90;93680;4,40
2014-12-16;421665;2744432,00;0;39580687,00;0;222312,00;1;33683,60;9;1414,10;115;85,80;196;44,00;292;25,70;3335;10,50;3857;7,90;7078;7,00;15095;6,80;42372;5,80;75034;3,20
2014-12-12;674813;4662314,00;0;0,00;0;517360,30;0;73908,60;0;3643,30;62;226,30;149;108,90;195;53,00;3168;16,80;3158;15,40;6716;12,50;17181;8,80;48516;8,40;100068;4,20
2014-12-09;419620;2678256,00;0;0,00;0;1023461,40;0;68230,70;1;5016,90;23;334,60;36;146,30;60;97,20;1124;27,60;1423;19,60;3034;14,70;6272;13,70;23738;9,70;54242;4,30
2014-12-05;683589;4676270,00;0;0,00;0;758715,90;0;126452,60;1;7025,10;70;269,50;123;137,90;149;82,70;2333;23,30;3006;17,10;5449;15,30;13412;11,60;53746;8,10;90108;4,60
2014-12-02;508315;3547230,00;0;72971665,00;0;436641,40;0;0,00;5;13645,00;62;221,60;106;108,90;120;57,50;2023;18,20;2165;15,30;4535;12,60;11617;9,90;35431;8,20;74662;4,10
2014-11-28;741757;5320296,00;0;0,00;0;279221,70;0;31024,60;4;4935,70;90;187,70;247;76,10;203;71,30;2291;24,00;3583;14,70;8875;10,30;11937;13,10;51589;8,30;123393;3,70
2014-11-25;442806;2948912,00;0;0,00;0;244414,60;0;81471,50;2;4073,50;37;206,00;103;91,90;107;61,60;1823;19,40;2154;14,70;4907;11,10;9261;10,30;30667;8,10;71059;3,80
2014-11-21;702214;4888646,00;0;0,00;0;1596840,20;0;106456,00;2;6653,50;80;224,70;210;95,60;257;63,80;3295;20,30;4218;14,90;9066;11,50;15585;10,90;60114;7,90;126748;3,80
2014-11-18;428554;2755576,00;0;0,00;0;354830,20;0;70966,00;4;5913,80;23;292,30;72;121,20;77;83,90;1276;26,00;1715;17,60;4336;12,30;6988;13,40;26516;9,10;64077;4,00
2014-11-14;707182;4854770,00;0;0,00;0;515956,40;0;257978,20;9;3793,70;60;257,00;115;138,10;361;50,70;4240;15,70;3825;16,20;6359;14,90;22472;7,90;54926;8,60;93110;4,80
2014-11-11;336675;2120764,00;0;0,00;0;0,00;0;186683,70;2;4804,30;30;232,40;65;117,60;59;76,10;927;23,30;1307;16,10;2789;13,40;5353;12,10;20591;8,70;41962;4,40
2014-11-07;714301;4949352,00;0;16506235,00;0;540288,80;1;41560,60;4;6282,40;64;242,10;198;93,90;112;90,00;1997;27,30;3054;17,70;8038;12,10;10386;14,40;44957;9,70;115370;4,00
2014-11-04;418210;2689264,00;0;0,00;1;180167,30;0;32757,60;4;1838,40;64;118,10;129;68,60;193;31,90;2454;11,60;2758;9,80;4759;9,80;12007;7,00;36205;6,30;60762;3,80
2014-10-31;714133;4881908,00;0;0,00;0;355794,20;1;59299,00;7;3369,20;99;160,20;188;85,30;247;44,00;3722;14,30;4147;12,40;7795;11,10;18553;8,30;59002;7,10;108572;3,90
2014-10-28;426813;2758198,00;0;15000000,00;0;556193,50;0;52970,80;2;5010,70;36;222,80;72;109,00;85;74,60;1342;21,60;1843;15,80;3498;12,90;7214;11,70;28461;8,00;54632;4,10
2014-10-24;1356990;11539438,00;0;190000000,00;1;2174634,30;1;50349,40;8;4110,10;194;202,00;430;92,70;539;59,40;6954;19,50;8547;14,40;18220;11,50;36029;10,60;122349;8,00;263672;3,90
2014-10-21;837827;7083814,00;0;0,00;0;333090,90;2;44412,10;5;4827,40;101;233,20;226;108,00;251;69,90;3600;21,60;4740;15,30;10567;12,00;19178;11,50;72280;8,20;156165;3,90
2014-10-17;1138302;9403686,00;0;0,00;0;764204,90;2;59937,60;2;5660,70;144;254,40;262;117,40;287;79,30;4289;24,70;5856;16,80;12760;13,30;23735;12,70;89112;9,20;193346;4,30
2014-10-14;742673;6018080,00;0;0,00;0;708398,50;1;41670,50;18;1967,70;109;158,30;227;86,10;396;34,40;5938;11,60;4996;12,00;10138;10,90;29699;6,70;69564;7,00;137451;3,90
2014-10-10;1059651;8558434,00;0;0,00;1;371747,20;1;78855,40;3;6473,20;100;282,10;204;135,60;240;85,20;3597;26,00;5073;17,90;10501;14,60;19287;13,60;79098;9,30;168809;4,50
2014-10-07;698665;5557902,00;0;0,00;0;454461,70;2;46611,40;6;4522,00;117;188,80;259;90,40;210;61,60;3120;20,00;4666;13,80;9539;11,10;16191;11,00;64754;7,80;133497;3,80
2014-10-03;1304206;10996838,00;0;0,00;1;296615,80;3;46834,00;11;4683,40;185;209,60;407;95,20;557;59,90;7381;19,40;9328;14,10;18494;11,50;34687;10,80;132048;7,80;257881;3,90
2014-09-30;413868;2644606,00;0;32929188,00;0;134275,00;0;59677,80;3;1598,50;85;115,90;146;73,20;217;25,90;2561;10,60;3275;9,30;5079;10,00;12323;6,40;37506;6,40;59542;4,00
2014-09-26;666486;4571946,00;0;0,00;1;269196,20;0;107678,40;2;5278,30;79;229,10;168;110,10;140;75,80;2076;24,40;3092;16,00;6257;12,70;11552;12,20;45683;8,60;91022;4,20
2014-09-23;383146;2407186,00;0;0,00;0;357328,70;0;178664,30;2;4962,80;46;190,80;69;111,30;103;54,40;1466;16,60;1808;13,10;3644;11,90;7715;9,20;28936;7,00;56741;3,80
2014-09-19;717607;5231676,00;0;86732923,00;0;909183,60;2;35654,20;3;4968,20;86;251,10;136;127,70;203;61,00;3274;18,00;3635;15,70;7275;13,50;18524;8,90;55204;8,40;105883;4,50
2014-09-16;462370;3183322,00;0;0,00;0;419829,30;0;69971,50;3;6173,90;44;268,10;50;141,90;105;69,40;1807;19,80;2023;16,70;3710;14,60;10849;9,70;33179;8,40;59815;4,40
2014-09-12;708654;5078810,00;0;0,00;0;278515,10;1;46419,10;1;3815,20;115;164,70;206;82,30;187;61,00;2755;20,20;4094;12,60;8726;10,30;13150;11,60;58751;7,30;126397;3,60
2014-09-09;456478;3054950,00;0;0,00;0;187027,80;0;26718,20;7;4561,60;82;195,90;120;87,60;136;71,10;1549;23,30;2464;13,90;4989;10,60;7387;13,10;33126;7,90;71988;3,60
2014-09-05;667018;4641020,00;0;0,00;1;299036,30;1;38337,90;19;2373,30;230;148,20;429;71,20;235;55,70;2964;17,30;3565;15,00;6609;13,20;17018;8,60;50104;8,10;92045;4,40
2014-09-02;412887;2651366,00;0;0,00;0;508288,30;0;48408,40;2;6051,00;35;249,50;92;108,10;75;72,20;1415;22,40;1748;15,40;3945;11,80;7528;11,50;25818;8,70;53876;4,20
2014-08-29;652730;4482284,00;0;0,00;0;285439,20;0;237866,00;8;2831,70;90;220,00;152;117,50;363;38,70;3785;14,80;3720;14,60;6730;13,40;16993;8,50;52258;7,90;97073;4,30
2014-08-26;384688;2432550,00;0;0,00;0;158311,70;0;105541,10;1;5277,00;38;219,10;73;109,40;79;84,20;981;26,80;1544;17,50;3214;13,20;5949;13,90;21356;9,40;48171;4,30
2014-08-22;604209;4097782,00;0;0,00;1;268532,80;2;37296,20;3;7459,20;69;210,90;143;106,10;148;74,30;1935;23,60;3238;15,40;6168;12,40;10258;11,90;44386;8,40;87277;4,20
2014-08-19;426281;2812494,00;0;54304297,00;1;220508,10;0;33410,30;4;3467,10;73;121,90;84;99,30;122;59,20;1539;19,20;2589;11,00;4068;11,80;7923;10,80;36356;6,70;60228;4,10
2014-08-15;525048;3641584,00;0;0,00;0;687788,00;0;38210,40;3;6368,40;56;211,60;150;81,70;116;76,10;1528;24,90;2581;14,30;6345;9,70;7885;13,70;38210;8,00;94323;3,30
2014-08-12;400847;2588142,00;0;0,00;0;513136,70;0;68418,20;8;1988,90;88;127,20;158;74,80;265;34,20;2992;12,30;3258;10,00;5161;10,00;12941;7,60;38575;6,30;61916;3,70
2014-08-08;632884;4349182,00;0;0,00;0;355306,90;0;43067,50;3;5639,70;60;282,70;110;126,20;158;71,90;2560;21,20;2493;18,30;5244;14,50;14145;10,30;38755;9,40;82889;4,50
2014-08-05;380534;2423482,00;0;0,00;1;194005,20;0;46191,70;3;3849,30;75;116,00;170;62,90;126;53,80;1644;19,40;2872;10,00;5787;8,70;7414;11,40;33078;6,60;65972;3,40
2014-08-01;610751;4161138,00;0;0,00;0;226316,90;2;32330,90;2;5519,90;80;209,30;171;110,00;137;80,30;2089;24,30;2444;18,00;4916;15,20;11766;11,90;37633;9,70;76073;4,90
2014-07-29;391700;2539800,00;0;37632166,00;0;1021863,30;0;85155,20;4;3475,70;40;206,90;80;108,70;101;56,60;1713;17,10;1748;14,90;3382;13,60;8777;9,00;27551;8,00;51120;4,40
2014-07-25;606257;4171370,00;0;0,00;0;1412166,80;0;58840,20;9;2674,50;109;162,20;178;97,60;351;38,30;4370;12,60;4577;11,30;7419;11,30;20049;7,30;58882;6,60;96745;3,90
2014-07-22;344547;2197802,00;0;0,00;0;0,00;0;256211,90;3;3724,00;34;248,80;55;133,10;107;59,40;1637;16,70;1478;17,10;2522;15,10;10283;7,50;22725;8,80;40158;4,80
2014-07-18;584626;3987234,00;0;0,00;0;685059,60;0;152235,40;2;5569,50;55;237,80;99;124,40;118;77,40;1625;26,20;2552;15,80;5501;12,90;8334;13,90;38412;8,80;83422;4,20
2014-07-15;424069;2875868,00;1;67902166,00;1;391019,80;1;55859,90;0;3989,90;50;178,30;100;90,10;123;58,50;1526;19,70;2298;13,20;4919;10,90;8344;10,60;31569;7,60;64378;3,80
2014-07-11;673212;4787382,00;0;0,00;0;269389,20;0;44898,20;2;5082,80;73;187,90;183;95,80;180;56,20;3059;17,20;3510;14,60;7057;12,60;17404;8,70;50430;8,00;97942;4,30
2014-07-08;411018;2716934,00;0;0,00;0;155893,90;2;33068,40;3;4133,50;58;162,20;149;66,80;99;70,20;1378;23,30;2488;12,40;6135;8,60;6825;13,20;31429;7,60;75490;3,30
2014-07-04;675120;4726096,00;0;0,00;0;385460,00;0;102789,30;3;5467,50;86;240,40;145;119,90;225;61,60;3343;18,10;3374;17,00;6502;14,20;18910;8,80;48596;8,90;95082;4,50
2014-07-01;417578;2714938,00;0;0,00;0;346045,00;0;49435,00;2;4119,50;62;187,10;113;93,00;123;58,30;1778;19,30;2521;13,10;4812;10,90;8625;10,80;32717;7,60;64410;3,80
2014-06-27;645780;4464062,00;0;0,00;1;1474696,70;0;163855,10;2;6302,10;61;298,20;125;128,70;117;91,00;1732;27,10;2444;19,70;5087;15,10;10369;13,30;37697;10,20;83759;4,70
2014-06-24;379367;2408644,00;0;0,00;0;312175,40;2;62435,00;3;3629,90;41;182,30;62;119,00;122;45,60;1875;13,60;2056;12,50;3391;12,50;9716;7,80;29481;7,00;52422;4,10
2014-06-20;668101;4625644,00;0;24974879,00;0;213747,30;0;45340,30;1;4617,90;74;176,60;177;86,90;176;64,60;2056;23,30;3850;13,20;7675;10,70;11854;11,90;49662;8,10;95431;4,10
2014-06-17;394121;2530802,00;0;0,00;1;1017907,20;0;113100,80;4;3609,60;51;227,30;77;122,50;67;80,50;1284;22,80;1937;15,50;3448;13,90;6606;11,70;29240;7,90;52302;4,30
