Datum;Spelers;Inzet;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
2013-09-20;722010;5113976,00;0;0,00;0;416730,50;0;61737,80;5;5787,90;80;182,30;140;110,90;184;70,40;2473;22,00;3828;13,10;7054;12,20;14061;11,30;57369;7,40;97668;4,30
2013-09-17;426567;2804070,00;0;0,00;0;363582,80;2;36358,20;0;4661,30;50;191,80;150;83,80;107;69,30;1422;22,60;2327;13,60;5416;10,10;6912;12,80;30919;7,90;72966;3,60
2013-09-13;848424;5870520,00;0;0,00;0;272629,40;0;53011,20;1;6116,60;103;187,20;230;83,50;273;63,90;3306;21,60;4963;13,20;11098;9,90;17035;11,90;66868;7,60;142838;3,60
2013-09-10;382906;2443642,00;0;0,00;1;59326,40;3;13447,30;0;3576,40;60;121,90;188;42,00;117;56,70;1313;21,20;2516;10,50;5907;7,20;6129;12,50;29438;7,30;67371;3,10
2013-09-06;684878;4763896,00;0;12801474,00;1;265073,60;0;40780,50;6;3193,60;111;207,40;166;112,50;314;43,40;3624;14,50;4170;13,30;7713;12,50;18395;8,00;58564;7,40;108760;4,10
2013-09-03;396472;2538200,00;0;0,00;0;203879,20;0;84949,60;5;2879,60;43;178,20;104;104,30;139;44,50;1868;14,70;2450;11,80;4424;11,50;9172;8,40;33331;6,80;59277;4,00
2013-08-30;662380;4614522,00;0;12821112,00;1;122794,80;1;35474,00;7;3455,20;81;189,80;123;112,30;229;49,40;3504;15,20;3428;14,30;6234;13,70;19533;7,90;51333;7,70;90784;4,50
2013-08-27;391008;2521586,00;0;0,00;0;513509,70;0;85584,90;1;5902,40;32;295,90;63;128,80;114;64,30;1898;17,90;1714;17,20;3219;14,70;10740;8,50;27166;8,70;52236;4,40
2013-08-23;796324;5959468,00;0;93948087,00;0;521220,40;0;77217,80;5;3341,10;85;237,70;161;118,50;288;52,60;4418;15,80;4319;15,20;8201;13,20;25499;7,90;63872;8,00;118474;4,30
2013-08-20;506513;3582092,00;0;0,00;0;340199,10;1;113399,70;1;6299,90;44;235,10;83;122,40;125;68,80;1807;22,90;2541;15,80;5121;12,80;9320;12,60;37228;8,60;79212;4,00
